id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,play_sound,characters/0/hide_char_id
d_ex_redash_01_2_1,d_ex_redash_01_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_01_2_1,False,redhood,3,idle,rapunzel_o,5,idle,Hospital,black,black,1.0,none,,,,
d_ex_redash_01_2_2,d_ex_redash_01_2,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_01_2_2,False,,3,idle,,5,idle,,4,4,1.0,bgm_recognition_underworld,,,,
d_ex_redash_01_2_3,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_3,True,,3,surprise,,5,idle,,4,4,1.0,,redhood,,,
d_ex_redash_01_2_4,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_4,True,,3,surprise,,5,idle,,4,4,1.0,,redhood,,,
d_ex_redash_01_2_5,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_5,True,,3,surprise,,5,idle,,4,4,1.0,,rapunzel_o,,,
d_ex_redash_01_2_6,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_6,True,,3,surprise,,5,idle,,4,4,1.0,,redhood,,,
d_ex_redash_01_2_7,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_7,True,,3,surprise,,5,idle,,4,4,1.0,,redhood,,,
d_ex_redash_01_2_8,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_8,True,,3,surprise,,5,no,,4,4,1.0,,rapunzel_o,,,
d_ex_redash_01_2_9,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_9,True,,3,surprise_02,,5,no,,4,4,1.0,,redhood,,,
d_ex_redash_01_2_10,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_10,True,,3,surprise_02,,5,idle,,4,5,1.0,,rapunzel_o,,,
d_ex_redash_01_2_11,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_11,True,,3,surprise_02,,5,idle,,5,5,1.0,,rapunzel_o,,,
d_ex_redash_01_2_12,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_12,True,,3,surprise_02,,5,idle,,5,5,1.0,,rapunzel_o,,,
d_ex_redash_01_2_13,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_13,True,,3,surprise_02,,5,idle,,5,5,1.0,,rapunzel_o,,,
d_ex_redash_01_2_14,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_14,True,,3,idle,,5,idle,,3,3,1.0,,redhood,,,
d_ex_redash_01_2_15,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_15,True,,3,smile,,5,idle,,3,30,1.0,,redhood,,,
d_ex_redash_01_2_16,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_16,True,,3,idle,,5,pain_01,,4,4,1.0,,rapunzel_o,,,
d_ex_redash_01_2_17,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_17,True,,3,idle,,5,pain_01,,4,4,1.0,,rapunzel_o,,,
d_ex_redash_01_2_18,d_ex_redash_01_2,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_2_18,True,,3,idle,,5,pain_01,,4,4,1.0,,rapunzel_o,,,
d_ex_redash_01_2_19,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_19,True,,3,idle,,5,pain_01,,4,4,1.0,,redhood,,,
d_ex_redash_01_2_20,d_ex_redash_01_2,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_2_20,True,,3,smile,,5,pain_01,,4,4,1.0,,redhood,,,
