id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_hospital_06_1,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_1,True,Corridor,XS_10,XS_10,1.0,bgm_story_orangepop,,,,rei,1,angry,nero,18,idle,,,,,
d_ex_hospital_06_2,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_2,True,,XS_10,XS_10,1.0,,,,,,1,angry,,18,idle,,,,,
d_ex_hospital_06_3,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_3,True,,XS_10,XS_10,1.0,,,,,,1,angry,,18,idle,,,,,
d_ex_hospital_06_4,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_4,True,,XS_10,XS_10,1.0,,,,,,1,angry,,18,idle,,,,,
d_ex_hospital_06_5,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_5,True,,XS_10,XS_10,1.0,,,,,,1,angry,,18,idle,,,,,
d_ex_hospital_06_6,d_ex_hospital_06,Choice,,,Locale_SuddenStory:d_ex_hospital_06_6,False,,XS_10,XS_10,1.0,,d_ex_hospital_06_8,,,,1,angry,,18,idle,,,,,
d_ex_hospital_06_7,d_ex_hospital_06,Choice,,,Locale_SuddenStory:d_ex_hospital_06_7,False,,XS_10,XS_10,1.0,,d_ex_hospital_06_11,,,,1,angry,,18,idle,,,,,
d_ex_hospital_06_8,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_8,True,,XS_10,XS_100,2.0,,,,,,1,idle,,18,idle,,,,,
d_ex_hospital_06_9,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_9,True,,XS_100,XS_100,1.0,,,,,,1,idle,,18,idle,,,,,
d_ex_hospital_06_10,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_10,True,,XS_100,XS_100,1.0,,d_ex_hospital_06_14,,,,1,idle,,18,idle,,,,,
d_ex_hospital_06_11,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_11,True,,XS_10,XS_100,2.0,,,,,,1,idle,,18,idle,,,,,
d_ex_hospital_06_12,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_12,True,,XS_100,XS_100,1.0,,,,,,1,idle,,18,idle,,,,,
d_ex_hospital_06_13,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_13,True,,XS_100,XS_100,1.0,,,,,,1,idle,,18,idle,,,,,
d_ex_hospital_06_14,d_ex_hospital_06,Speech,rei,rei,Locale_SuddenStory:d_ex_hospital_06_14,True,,XS_100,XS_100,1.0,,,,,,1,idle,,18,idle,,,,,
d_ex_hospital_06_15,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_15,True,,XS_100,XS_10,0.3,,,Low_2,,,1,surprise,,18,idle,,,,,
d_ex_hospital_06_16,d_ex_hospital_06,Narration,,Narration,Locale_SuddenStory:d_ex_hospital_06_16,False,,XS_10,XS_10,0.3,,,Low_2,,,1,surprise,,5,idle,,,,,
d_ex_hospital_06_17,d_ex_hospital_06,Self,,Self,Locale_SuddenStory:d_ex_hospital_06_17,False,,XS_10,XS_10,1.0,,,,,,1,surprise,,5,idle,,,,,
d_ex_hospital_06_18,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_18,True,,XS_10,2,1.0,,,,,,1,idle,,5,idle,,diesel,3,worry,
d_ex_hospital_06_19,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_19,True,,2,2,1.0,,,,,,1,idle,,5,idle,,,3,worry,
d_ex_hospital_06_20,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_20,True,,2,2,1.0,,,,,,1,idle,,5,idle,,,3,worry,
d_ex_hospital_06_21,d_ex_hospital_06,Speech,machinesound,machinesound,Locale_SuddenStory:d_ex_hospital_06_21,False,,2,2,1.0,,,,sfx_scn_bell,,1,idle,,5,idle,,,3,worry,
d_ex_hospital_06_22,d_ex_hospital_06,Speech,machinesound,machinesound,Locale_SuddenStory:d_ex_hospital_06_22,False,,2,2,1.0,,,,,,1,idle,,5,idle,,,3,worry,
d_ex_hospital_06_23,d_ex_hospital_06,Speech,diesel,diesel,Locale_SuddenStory:d_ex_hospital_06_23,True,,2,4,1.0,,,,,,1,idle,,5,idle,,,3,worry,
d_ex_hospital_06_24,d_ex_hospital_06,Speech,nero,nero,Locale_SuddenStory:d_ex_hospital_06_24,True,,4,4,1.0,,,,,,1,idle,,5,angry,,,3,worry,
