id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,play_sound,set_camera_shake,characters/3/hide_char_id,characters/4/hide_char_id
d_main_28_04_e_1,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_1,True,Sky2,5,13,1.0,bgm_destroyingcalamity_a,,,,,,,,,,,,,,,,,,,,,,,
d_main_28_04_e_2,d_main_28_04_e,Speech,hammering,hammering,Locale_MainScenario:d_main_28_04_e_2,True,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_28_04_e_3,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_3,True,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_28_04_e_4,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_4,True,CrystalCity,13,13,1.0,,rapi,3,idle,anis,1,void,elegg,13,idle,liveryn,15,idle,hammering,17,idle,,,,,,,,
d_main_28_04_e_5,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_5,True,,13,14,1.0,,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,,,,,,,
d_main_28_04_e_6,d_main_28_04_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_04_e_6,True,,14,14,1.0,,,3,idle,,1,void,,13,idle,,15,surprise,,17,smile,,,,,,,,
d_main_28_04_e_7,d_main_28_04_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_04_e_7,True,,14,14,1.0,,,3,idle,,1,void,,13,idle,,15,surprise,,17,smile,,,,,,,,
d_main_28_04_e_8,d_main_28_04_e,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_04_e_8,True,,14,14,1.0,,,3,idle,,1,void,,13,idle,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_9,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_9,True,,14,14,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_10,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_10,True,,14,14,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_11,d_main_28_04_e,Speech,anis,anis,Locale_MainScenario:d_main_28_04_e_11,True,,14,12,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_12,d_main_28_04_e,Speech,anis,anis,Locale_MainScenario:d_main_28_04_e_12,True,,12,12,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_13,d_main_28_04_e,Speech,anis,anis,Locale_MainScenario:d_main_28_04_e_13,True,,12,12,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_14,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_14,True,,12,12,1.0,,,3,idle,,1,void,,13,idle,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_15,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_15,True,,12,12,1.0,,,3,idle,,1,void,,13,idle,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_16,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_16,True,,12,12,1.0,,,3,idle,,1,void,,13,idle,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_17,d_main_28_04_e,Speech,rapi,rapi,Locale_MainScenario:d_main_28_04_e_17,True,,30,30,1.0,,,3,idle,,1,void,,13,idle,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_18,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_18,True,,13,S_130,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_19,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_19,True,,S_130,S_130,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_20,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_20,True,,S_130,S_130,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
d_main_28_04_e_21,d_main_28_04_e,Speech,elegg,elegg,Locale_MainScenario:d_main_28_04_e_21,True,,S_130,S_130,1.0,,,3,idle,,1,void,,13,delight,,15,idle,,17,smile,,,,,,,,
