id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,play_sound
d_ex_church_04_1,d_ex_church_04,Speech,volume,volume,Locale_SuddenStory:d_ex_church_04_1,True,volume,1,angry,Church,1,S_10,1.0,none,,,,,,,,
d_ex_church_04_2,d_ex_church_04,Speech,volume,volume,Locale_SuddenStory:d_ex_church_04_2,True,,1,angry,,S_10,S_10,1.0,,,,,,,,,
d_ex_church_04_3,d_ex_church_04,Self,volume,,Locale_SuddenStory:d_ex_church_04_3,False,,1,angry,,S_10,S_10,1.0,,,,,,,,,
d_ex_church_04_4,d_ex_church_04,Speech,volume,volume,Locale_SuddenStory:d_ex_church_04_4,True,,1,surprise,,S_10,S_100,2.0,,,,,,,,,
d_ex_church_04_5,d_ex_church_04,Speech,volume,volume,Locale_SuddenStory:d_ex_church_04_5,True,,1,surprise,,S_100,S_100,1.0,,,,,,,,,
d_ex_church_04_6,d_ex_church_04,Self,volume,,Locale_SuddenStory:d_ex_church_04_6,False,,1,surprise,,S_100,S_100,1.0,,,,,,,,,
d_ex_church_04_7,d_ex_church_04,Speech,volume,volume,Locale_SuddenStory:d_ex_church_04_7,True,,1,angry,,S_100,S_10,1.0,,,,,,,,,
d_ex_church_04_8,d_ex_church_04,Self,volume,,Locale_SuddenStory:d_ex_church_04_8,False,,1,angry,,S_10,S_10,1.0,,,,,,,,,
d_ex_church_04_9,d_ex_church_04,Speech,volume,volume,Locale_SuddenStory:d_ex_church_04_9,True,,1,surprise,,S_10,S_10,1.0,bgm_story_herecomestrouble,,,,,,,,
d_ex_church_04_10,d_ex_church_04,Speech,vesti,vesti,Locale_SuddenStory:d_ex_church_04_10,True,,1,surprise,,S_10,4,1.0,,vesti,3,delight,mica,5,delight,,
d_ex_church_04_11,d_ex_church_04,Speech,mica,mica,Locale_SuddenStory:d_ex_church_04_11,True,,1,surprise,,4,4,1.0,,,3,delight,,5,delight,,
d_ex_church_04_12,d_ex_church_04,Speech,volume,volume,Locale_SuddenStory:d_ex_church_04_12,True,,1,surprise,,4,S_10,0.5,,,3,idle,,5,idle,,
