id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_27_09_s_1,d_main_27_09_s,Monologue,Locale_MainScenario:d_main_27_09_s_1,False,ManyCrystalDesert_d,black,black,1.0,bgm_aztec,,,,liveryn,1,idle,elegg,13,idle,hammering,15,worry,rapi,3,idle,anis,5,idle,neon,7,idle,,,,
d_main_27_09_s_2,d_main_27_09_s,Monologue,Locale_MainScenario:d_main_27_09_s_2,False,,black,black,1.0,,,,,,1,idle,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_3,d_main_27_09_s,Monologue,Locale_MainScenario:d_main_27_09_s_3,False,,black,black,1.0,,,,,,1,idle,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_4,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_4,True,,150,150,1.0,,hammering,hammering,,,1,idle,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_5,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_5,True,,150,S_130,1.0,,elegg,elegg,,,1,idle,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_6,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_6,False,,S_130,10,1.0,,liveryn,liveryn,,,1,worry,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_7,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_7,True,,10,113,1.0,,elegg,elegg,,,1,worry,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_8,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_8,True,,113,113,1.0,,liveryn,liveryn,,,1,worry,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_9,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_9,True,,113,113,1.0,,liveryn,liveryn,,,1,worry,,13,idle,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_10,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_10,True,,113,113,1.0,,elegg,elegg,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_11,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_11,True,,113,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_12,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_12,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_13,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_13,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_14,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_14,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_15,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_15,True,,150,150,1.0,,hammering,hammering,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_16,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_16,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_17,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_17,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_18,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_18,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_19,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_19,True,,10,100,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_20,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_20,True,,100,100,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_21,d_main_27_09_s,Self,Locale_MainScenario:d_main_27_09_s_21,False,,100,100,1.0,,,,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_22,d_main_27_09_s,Self,Locale_MainScenario:d_main_27_09_s_22,False,,100,100,1.0,,,,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_23,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_23,True,,100,10,1.0,,liveryn,liveryn,,,1,idle,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_24,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_24,True,,10,10,1.0,,liveryn,liveryn,,,1,idle,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_25,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_25,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_26,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_26,True,,10,10,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_27,d_main_27_09_s,Self,Locale_MainScenario:d_main_27_09_s_27,False,,10,10,1.0,,,,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_28,d_main_27_09_s,Self,Locale_MainScenario:d_main_27_09_s_28,False,,10,10,1.0,,,,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_29,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_29,True,,10,100,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_30,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_30,True,,100,100,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_31,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_31,True,,100,100,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_32,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_32,True,,100,300,1.0,,rapi,rapi,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_33,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_33,True,,300,300,1.0,,rapi,rapi,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_34,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_34,True,,300,300,1.0,,rapi,rapi,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_35,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_35,True,,S_1300,S_1300,1.0,,elegg,elegg,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_36,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_36,True,,S_1300,S_1300,1.0,,elegg,elegg,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_37,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_37,True,,S_1300,1500,1.0,,hammering,hammering,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_38,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_38,True,,1500,1500,1.0,,hammering,hammering,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_39,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_39,False,,100,100,1.0,,liveryn,liveryn,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_40,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_40,False,,100,300,1.0,,rapi,rapi,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,,,
d_main_27_09_s_41,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_41,True,,300,300,1.0,none,shifty,shifty,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,shifty,OP_leftup,think,
d_main_27_09_s_42,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_42,True,,300,300,1.0,,shifty,shifty,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,OP_leftup,think,
d_main_27_09_s_43,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_43,True,,300,30,1.0,,rapi,rapi,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,OP_leftup,think,
d_main_27_09_s_44,d_main_27_09_s,Speech,Locale_MainScenario:d_main_27_09_s_44,True,,30,30,1.0,,shifty,shifty,,,1,worry,,13,think,,15,worry,,3,idle,,5,idle,,7,idle,,OP_leftup,worry,
