id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id
d_subquest_1350_s_1,d_subquest_1350_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_s_1,True,anis,3,void,rapi,1,idle,neon,13,idle,DestroyedStreet,S_130,S_130,1.0,bgm_inark,
d_subquest_1350_s_2,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_2,True,,3,void,,1,idle,,13,idle,,30,30,1.0,,
d_subquest_1350_s_3,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_3,True,,3,void,,1,idle,,13,idle,,30,30,1.0,,
d_subquest_1350_s_4,d_subquest_1350_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_s_4,True,,3,void,,1,idle,,13,surprise,,S_130,S_130,1.0,,
d_subquest_1350_s_5,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_5,True,,3,sad,,1,idle,,13,surprise,,30,30,1.0,,
d_subquest_1350_s_6,d_subquest_1350_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_s_6,True,,3,sad,,1,idle,,13,worry,,S_130,S_130,1.0,,
d_subquest_1350_s_7,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_7,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,
d_subquest_1350_s_8,d_subquest_1350_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1350_s_8,True,,3,void,,1,idle,,13,idle,,30,2,1.0,,
d_subquest_1350_s_9,d_subquest_1350_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1350_s_9,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1350_s_10,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_10,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1350_s_11,d_subquest_1350_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1350_s_11,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1350_s_12,d_subquest_1350_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1350_s_12,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1350_s_13,d_subquest_1350_s,Self,rapi,,Locale_SubScenario:d_subquest_1350_s_13,False,,3,void,,1,idle,,13,idle,,2,2,1.0,,m_subquest_1350
d_subquest_1350_s_14,d_subquest_1350_s,Self,rapi,,Locale_SubScenario:d_subquest_1350_s_14,False,,3,void,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1350_s_15,d_subquest_1350_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1350_s_15,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1350_s_16,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_16,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1350_s_17,d_subquest_1350_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_s_17,True,,3,idle,,1,idle,,13,idle,,2,12,1.0,,
d_subquest_1350_s_18,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_18,True,,3,void,,1,idle,,13,idle,,30,30,1.0,,
d_subquest_1350_s_19,d_subquest_1350_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_s_19,True,,3,void,,1,idle,,13,surprise,,S_130,S_130,1.0,,
d_subquest_1350_s_20,d_subquest_1350_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_s_20,True,,3,void,,1,idle,,13,surprise,,30,30,1.0,,
d_subquest_1350_s_21,d_subquest_1350_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_s_21,True,,3,void,,1,idle,,13,surprise,,S_130,S_130,1.0,,
