id,group_id,speech_window,scenario_localkey,play_lipSync,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,set_filter_02,characters/2/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,fade
d_ex_theater_08_1,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_1,False,leona,1,idle,CommanderRoom,black,black,1.0,bgm_story_languor,,,,,,,,,,,,,,,
d_ex_theater_08_2,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_2,True,,1,idle,,L_10,L_10,1.0,,leona,leona,Grey,Vignetting,,,,,,,,,,,
d_ex_theater_08_3,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_3,True,,1,idle,,L_10,L_10,1.0,,leona,leona,Grey,Vignetting,,,,,,,,,,,
d_ex_theater_08_4,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_4,True,,1,idle,,L_10,L_10,1.0,,leona,leona,Grey,Vignetting,,,,,,,,,,,
d_ex_theater_08_5,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_5,True,,1,idle,,L_10,L_10,1.0,,leona,leona,Grey,Vignetting,,,,,,,,,,,
d_ex_theater_08_6,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_6,False,,1,idle,Theater,black,black,1.0,none,,,Grey,Vignetting,leona,,,,,,,,,,
d_ex_theater_08_7,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_7,True,,,,,XS_30,XS_30,1.0,,timi,timi,,,,timi,3,idle,sfx_scn_lionroar,Low_2,,,,,
d_ex_theater_08_8,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_8,False,,,,,XS_30,XS_30,1.0,bgm_story_orangepop,,,,,,,3,idle,,,,,,,
d_ex_theater_08_9,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_9,False,,,,,XS_30,XS_30,1.0,,,,,,,,3,idle,,,,,,,
d_ex_theater_08_10,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_10,False,,,,,XS_30,XS_30,1.0,,,,,,,,3,idle,,,,,,,
d_ex_theater_08_11,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_11,True,,,,,XS_30,XS_30,1.0,,timi,timi,,,,,3,think,sfx_scn_lionask,,,,,,
d_ex_theater_08_12,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_12,False,,,,,black,black,1.0,,,,,,,,3,think,,,,,,,
d_ex_theater_08_13,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_13,False,,,,,black,black,1.0,,,,,,,,3,think,,,,,,,
d_ex_theater_08_14,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_14,False,,,,,black,black,1.0,,,,,,,,3,think,,,,,,,
