id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/hide_char_id,characters/6/hide_char_id,jump_target
d_main_14_14_1,d_main_14_14,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_14_14_1,True,snowwhite,1,idle,marian_p,13,idle,CityForest_04,1,1,1.0,bgm_story_thepilgrim,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_2,d_main_14_14,Self,,,Locale_MainScenario:d_main_14_14_2,False,,1,idle,,13,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_3,d_main_14_14,Narration,,,Locale_MainScenario:d_main_14_14_3,False,,1,idle,,13,idle,,1,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_4,d_main_14_14,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_14_14_4,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_5,d_main_14_14,Speech,marian_p,marian_p,Locale_MainScenario:d_main_14_14_5,False,,1,idle,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_6,d_main_14_14,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_14_14_6,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_7,d_main_14_14,Speech,marian_p,marian_p,Locale_MainScenario:d_main_14_14_7,True,,1,idle,,13,angry,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_8,d_main_14_14,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_14_14_8,True,,1,idle,,13,angry,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_9,d_main_14_14,Speech,marian_p,marian_p,Locale_MainScenario:d_main_14_14_9,True,,1,idle,,13,angry,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_10,d_main_14_14,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_14_14_10,True,,1,idle,,13,angry,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_11,d_main_14_14,Speech,marian_p,marian_p,Locale_MainScenario:d_main_14_14_11,True,,1,idle,,13,angry,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_12,d_main_14_14,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_14_14_12,False,,1,pain,,13,angry,,113,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_14_14_13,d_main_14_14,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_14_14_13,True,,1,pain,,13,angry,,1,L_10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
