id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_40_10_1,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_1,True,WhaleyBack,S_1300,S_130,0.7,bgm_chapter40_field_turningpoint_b,leviathan,1,no,,ziz,13,sad,,,,,
d_main_40_10_2,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_2,False,,S_130,113,1.0,,,1,no,,,13,sad,,,,,
d_main_40_10_3,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_3,True,,113,113,1.0,,,1,no,,,13,sad,,,,,
d_main_40_10_4,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_4,True,,113,113,1.0,,,1,no,,,13,sad,,,,,
d_main_40_10_5,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_5,True,,113,113,1.0,,,1,no,,,13,sad,,,,,
d_main_40_10_6,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_6,True,,black,black,1.0,,,1,no,,,13,sad,,liberalio,3,idle,
d_main_40_10_7,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_7,True,,S_30,3,1.0,,,1,no,,,13,sad,,,3,idle,
d_main_40_10_8,d_main_40_10,Narration,liberalio,,Locale_MainScenario:d_main_40_10_8,False,,3,3,1.0,,,1,no,,,13,sad,,,3,idle,
d_main_40_10_9,d_main_40_10,Narration,ziz,,Locale_MainScenario:d_main_40_10_9,False,,3,113,1.5,,,1,no,,,13,sad,,,3,idle,
d_main_40_10_10,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_10,True,,113,113,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_11,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_11,True,,113,113,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_12,d_main_40_10,Self,leviathan,,Locale_MainScenario:d_main_40_10_12,False,,S_10,S_100,0.7,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_13,d_main_40_10,Self,leviathan,,Locale_MainScenario:d_main_40_10_13,False,,S_100,S_100,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_14,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_14,False,,S_100,S_100,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_15,d_main_40_10,Narration,leviathan,,Locale_MainScenario:d_main_40_10_15,False,,black,black,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_16,d_main_40_10,Narration,leviathan,,Locale_MainScenario:d_main_40_10_16,False,,black,black,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_17,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_17,True,,S_1300,S_1300,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_18,d_main_40_10,Narration,ziz,,Locale_MainScenario:d_main_40_10_18,False,,black,black,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_19,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_19,True,,S_300,S_300,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_20,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_20,True,,S_300,S_100,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_21,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_21,True,,S_100,S_1300,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_22,d_main_40_10,Narration,ziz,,Locale_MainScenario:d_main_40_10_22,False,,black,black,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_23,d_main_40_10,Self,ziz,,Locale_MainScenario:d_main_40_10_23,False,,113,113,1.0,,,1,pain,,,13,sad,,,3,idle,
