id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_subquest_1241_1,d_subquest_1241,Speech,anis,anis,Locale_SubScenario:d_subquest_1241_1,True,rapi,3,idle,anis,1,void,neon,13,idle,Desert_01,1,1,1.0,bgm_story_whosdumber,
d_subquest_1241_2,d_subquest_1241,Speech,neon,neon,Locale_SubScenario:d_subquest_1241_2,True,,3,idle,,1,void,,13,worry,,1,12,2.0,,
d_subquest_1241_3,d_subquest_1241,Speech,anis,anis,Locale_SubScenario:d_subquest_1241_3,True,,3,idle,,1,idle,,13,worry,,12,12,1.0,,
d_subquest_1241_4,d_subquest_1241,Self,Self,Self,Locale_SubScenario:d_subquest_1241_4,False,,3,idle,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1241_5,d_subquest_1241,Self,Self,Self,Locale_SubScenario:d_subquest_1241_5,False,,3,idle,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1241_6,d_subquest_1241,Speech,anis,anis,Locale_SubScenario:d_subquest_1241_6,True,,3,idle,,1,idle,,13,idle,,12,10,2.0,,
d_subquest_1241_7,d_subquest_1241,Speech,anis,anis,Locale_SubScenario:d_subquest_1241_7,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,
d_subquest_1241_8,d_subquest_1241,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1241_8,True,,3,idle,,1,worry,,13,idle,,10,30,1.0,,
d_subquest_1241_9,d_subquest_1241,Narration,Narration,Narration,Locale_SubScenario:d_subquest_1241_9,False,,3,idle,,1,idle,,13,idle,,6001,6001,1.0,,sfx_scn_shutter
d_subquest_1241_10,d_subquest_1241,Speech,anis,anis,Locale_SubScenario:d_subquest_1241_10,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1241_11,d_subquest_1241,Speech,neon,neon,Locale_SubScenario:d_subquest_1241_11,True,,3,idle,,1,idle,,13,surprise,,12,12,1.0,,
d_subquest_1241_12,d_subquest_1241,Speech,anis,anis,Locale_SubScenario:d_subquest_1241_12,False,,3,idle,,1,no,,13,surprise,,12,10,1.0,,
d_subquest_1241_13,d_subquest_1241,Speech,neon,neon,Locale_SubScenario:d_subquest_1241_13,True,,3,idle,,1,no,,13,no,,10,S_130,1.0,,
d_subquest_1241_14,d_subquest_1241,Speech,neon,neon,Locale_SubScenario:d_subquest_1241_14,True,,3,idle,,1,no,,13,no,,S_130,S_130,1.0,,
d_subquest_1241_15,d_subquest_1241,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1241_15,False,,3,think,,1,no,,13,no,,30,30,1.0,,
