id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,highlight,speaker,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_maidcafe_02_1,d_ex_maidcafe_02,Narration,Locale_SuddenStory:d_ex_maidcafe_02_1,False,MaidCafe,black,black,1.0,sfx_scn_chimebell,,,,,biscuit,1,idle,cocoa,13,idle,
d_ex_maidcafe_02_2,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_2,True,,12,12,1.0,,biscuit,biscuit,bgm_story_orangepop,,,1,idle,,13,idle,
d_ex_maidcafe_02_3,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_3,True,,12,12,1.0,,cocoa,cocoa,,,,1,idle,,13,idle,
d_ex_maidcafe_02_4,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_4,False,,12,12,1.0,,,,,,,1,idle,,13,idle,
d_ex_maidcafe_02_5,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_5,True,,12,XS_10,1.0,,biscuit,biscuit,,,,1,sad,,13,idle,
d_ex_maidcafe_02_6,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_6,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad,,13,idle,
d_ex_maidcafe_02_7,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_7,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad,,13,idle,
d_ex_maidcafe_02_8,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_8,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad,,13,idle,
d_ex_maidcafe_02_9,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_9,True,,XS_10,XS_130,1.0,,cocoa,cocoa,,,,1,sad,,13,serious,
d_ex_maidcafe_02_10,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_10,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,serious,
d_ex_maidcafe_02_11,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_11,False,,XS_130,XS_130,1.0,,cocoa,,,,,1,idle,,13,serious,
d_ex_maidcafe_02_12,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_12,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,serious,
d_ex_maidcafe_02_13,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_13,False,,XS_130,XS_130,1.0,,cocoa,,,,,1,idle,,13,serious,
d_ex_maidcafe_02_14,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_14,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,serious,
d_ex_maidcafe_02_15,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_15,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,serious,
d_ex_maidcafe_02_16,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_16,False,,XS_130,XS_130,1.0,,cocoa,,,,,1,idle,,13,serious,
d_ex_maidcafe_02_17,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_17,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,idle,
d_ex_maidcafe_02_18,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_18,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,idle,
d_ex_maidcafe_02_19,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_19,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,delight,
d_ex_maidcafe_02_20,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_20,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,delight,
d_ex_maidcafe_02_21,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_21,False,,XS_130,XS_130,1.0,,cocoa,,,,,1,idle,,13,delight,
d_ex_maidcafe_02_22,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_22,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,sad,
d_ex_maidcafe_02_23,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_23,True,,XS_130,XS_130,1.0,,cocoa,cocoa,,,,1,idle,,13,sad,
d_ex_maidcafe_02_24,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_24,True,,XS_130,12,1.0,,biscuit,biscuit,,,,1,sad,,13,sad,
d_ex_maidcafe_02_25,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_25,True,,12,12,1.0,,cocoa,cocoa,,,,1,sad,,13,idle,
d_ex_maidcafe_02_26,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_26,True,,12,12,1.0,,biscuit,biscuit,,,,1,sad,,13,idle,
d_ex_maidcafe_02_27,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_27,False,,12,12,1.0,,,,,,,1,sad,,13,idle,
d_ex_maidcafe_02_28,d_ex_maidcafe_02,Speech,Locale_SuddenStory:d_ex_maidcafe_02_28,True,,12,12,1.0,,cocoa,cocoa,,,,1,sad,,13,idle,
d_ex_maidcafe_02_29,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_29,False,,12,12,1.0,,,,,,,1,sad,,13,idle,
d_ex_maidcafe_02_30,d_ex_maidcafe_02,Self,Locale_SuddenStory:d_ex_maidcafe_02_30,False,,12,12,1.0,,,,,,,1,sad,,13,idle,
