id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_main_08_04_1,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_1,True,rapi,3,idle,anis,1,void,neon,13,idle,exia_op_r,OP_rightup,idle,WasteLand_03,1,1,1.0,bgm_story_heynewbie,
d_main_08_04_2,d_main_08_04,Speech,anis,anis,Locale_MainScenario:d_main_08_04_2,True,,3,idle,,1,angry,,13,idle,,OP_rightup,idle,,1,10,1.0,,
d_main_08_04_3,d_main_08_04,Speech,anis,anis,Locale_MainScenario:d_main_08_04_3,True,,3,idle,,1,angry,,13,idle,,OP_rightup,idle,,10,10,1.0,,
d_main_08_04_4,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_4,True,,3,idle,,1,angry,,13,idle,,OP_rightup,sad,,10,10,1.0,,
d_main_08_04_5,d_main_08_04,Speech,neon,neon,Locale_MainScenario:d_main_08_04_5,True,,3,idle,,1,angry,,13,angry,,OP_rightup,sad,,10,S_130,1.0,,
d_main_08_04_6,d_main_08_04,Speech,anis,anis,Locale_MainScenario:d_main_08_04_6,False,,3,idle,,1,sad,,13,angry,,OP_rightup,sad,,S_130,1,1.0,,
d_main_08_04_7,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_7,True,,3,idle,,1,sad,,13,idle,,OP_rightup,good,,1,1,1.0,,
d_main_08_04_8,d_main_08_04,Speech,anis,anis,Locale_MainScenario:d_main_08_04_8,True,,3,idle,,1,sad,,13,idle,,OP_rightup,good,,1,1,1.0,,
d_main_08_04_9,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_9,True,,3,idle,,1,sad,,13,idle,,OP_rightup,idle,,1,3,1.0,,
d_main_08_04_10,d_main_08_04,Speech,rapi,rapi,Locale_MainScenario:d_main_08_04_10,False,,3,idle,,1,idle,,13,idle,,OP_rightup,idle,,3,3,1.0,,
d_main_08_04_11,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_11,True,,3,idle,,1,idle,,13,idle,,OP_rightup,idle,,3,3,1.0,,
d_main_08_04_12,d_main_08_04,Speech,rapi,rapi,Locale_MainScenario:d_main_08_04_12,False,,3,angry,,1,idle,,13,idle,,OP_rightup,idle,,3,30,0.5,,
d_main_08_04_13,d_main_08_04,Speech,anis,anis,Locale_MainScenario:d_main_08_04_13,False,,3,angry,,1,angry,,13,idle,,OP_rightup,idle,,10,10,1.0,,
d_main_08_04_14,d_main_08_04,Speech,neon,neon,Locale_MainScenario:d_main_08_04_14,False,,3,angry,,1,angry,,13,surprise,,OP_rightup,idle,,S_130,S_130,1.0,,
d_main_08_04_15,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_15,True,,3,angry,,1,angry,,13,surprise,,OP_center,good,,S_130,12,2.0,,
d_main_08_04_16,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_16,True,,3,angry,,1,angry,,13,surprise,,OP_center,good,,12,2,2.0,,
d_main_08_04_17,d_main_08_04,Choice,,,Locale_MainScenario:d_main_08_04_17,False,,3,angry,,1,angry,,13,surprise,,OP_center,good,,2,2,1.0,,d_main_08_04_19
d_main_08_04_18,d_main_08_04,Choice,,,Locale_MainScenario:d_main_08_04_18,False,,3,angry,,1,angry,,13,surprise,,OP_center,good,,2,2,1.0,,d_main_08_04_19
d_main_08_04_19,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_19,True,,3,idle,,1,idle,,13,surprise,,OP_center,idle,,2,2,1.0,,
d_main_08_04_20,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_20,True,,3,idle,,1,idle,,13,idle,,OP_center,idle,,2,2,1.0,,
d_main_08_04_21,d_main_08_04,Speech,rapi,rapi,Locale_MainScenario:d_main_08_04_21,False,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,2,30,1.0,,
d_main_08_04_22,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_22,True,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,30,30,1.0,,
d_main_08_04_23,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_23,True,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,30,30,1.0,,
d_main_08_04_24,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_24,True,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,30,30,1.0,,
d_main_08_04_25,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_25,True,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,30,30,2.0,,
d_main_08_04_26,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_26,True,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,30,30,1.0,,
d_main_08_04_27,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_27,True,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,30,30,1.0,,
d_main_08_04_28,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_28,True,,3,worry,,1,idle,,13,idle,,OP_rightup,idle,,30,30,1.0,,
d_main_08_04_29,d_main_08_04,Speech,anis,anis,Locale_MainScenario:d_main_08_04_29,True,,3,worry,,1,worry,,13,idle,,OP_rightup,idle,,30,2,1.0,,
d_main_08_04_30,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_30,True,,3,worry,,1,worry,,13,idle,,OP_rightup,idle,,2,2,1.0,,
d_main_08_04_31,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_31,True,,3,worry,,1,worry,,13,idle,,OP_rightup,idle,,2,2,1.0,,
d_main_08_04_32,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_32,True,,3,worry,,1,worry,,13,idle,,OP_rightup,idle,,2,2,1.0,,
d_main_08_04_33,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_33,False,,3,worry,,1,worry,,13,idle,,OP_rightup,idle,,2,2,1.0,,
d_main_08_04_34,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_34,True,,3,worry,,1,worry,,13,idle,,OP_rightup,good,,2,2,1.0,,
d_main_08_04_35,d_main_08_04,Speech,rapi,rapi,Locale_MainScenario:d_main_08_04_35,True,,3,angry,,1,void,,13,idle,,OP_rightup,good,,2,30,1.0,,
d_main_08_04_36,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_36,True,,3,angry,,1,void,,13,idle,,OP_rightup,good,,30,30,1.0,,
d_main_08_04_37,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_37,True,,3,angry,,1,void,,13,idle,,OP_rightup,good,,30,30,1.0,,
d_main_08_04_38,d_main_08_04,Speech,rapi,rapi,Locale_MainScenario:d_main_08_04_38,True,,3,idle,,1,void,,13,idle,,OP_rightup,good,,30,30,1.0,,
d_main_08_04_39,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_39,True,,3,idle,,1,void,,13,idle,,OP_rightup,good,,30,30,1.0,,
d_main_08_04_40,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_40,True,,3,idle,,1,void,,13,idle,,OP_rightup,good,,30,30,1.0,,
d_main_08_04_41,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_41,True,,3,idle,,1,void,,13,idle,,OP_rightup,good,,30,30,1.0,,
d_main_08_04_42,d_main_08_04,Speech,anis,anis,Locale_MainScenario:d_main_08_04_42,True,,3,idle,,1,angry,,13,idle,,OP_rightup,idle,,30,10,1.0,,
d_main_08_04_43,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_43,True,,3,idle,,1,angry,,13,idle,,OP_rightup,sad,,10,10,1.0,,
d_main_08_04_44,d_main_08_04,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_04_44,True,,3,idle,,1,angry,,13,idle,,OP_rightup,sad,,10,10,1.0,,
