id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_main_23_08_e_1,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_1,True,EventScene_OverZone_02,black,black,1.0,bgm_story_facetoface,,,,,,,,,
d_main_23_08_e_2,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_2,True,,goddesssquadlady_02,goddesssquadlady_02,1.0,,Grey,,,,,,,,
d_main_23_08_e_3,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_3,True,,goddesssquadlady_02,goddesssquadlady_02,1.0,,Grey,,,,,,,,
d_main_23_08_e_4,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_4,True,,goddesssquadlady_02,goddesssquadlady_02,1.0,,Grey,,,,,,,,
d_main_23_08_e_5,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_5,True,GoddessOfVictory,black,black,1.0,,Grey,,,,,,,,
d_main_23_08_e_6,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_6,True,,16,16,1.0,,Grey,,,,,,,,
d_main_23_08_e_7,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_7,True,,16,16,1.0,,Grey,,,,,,,,
d_main_23_08_e_8,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_8,True,,16,16,1.0,,Grey,,,,,,,,
d_main_23_08_e_9,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_9,True,,16,16,1.0,,Grey,,,,,,,,
d_main_23_08_e_10,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_10,True,ArkRuinIndoor,16,1,1.0,,,crow,1,idle,,,,,
