id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_21_09_e_1,d_main_21_09_e,Narration,Narration,Locale_MainScenario:d_main_21_09_e_1,False,none,black,black,1.0,sfx_scn_distantexplosion,bgm_disaster,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_2,d_main_21_09_e,Monologue,Monologue,Locale_MainScenario:d_main_21_09_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_3,d_main_21_09_e,Monologue,Monologue,Locale_MainScenario:d_main_21_09_e_3,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_4,d_main_21_09_e,Monologue,Monologue,Locale_MainScenario:d_main_21_09_e_4,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_5,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_5,True,,black,black,1.0,,,noah,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_6,d_main_21_09_e,Speech,neon,Locale_MainScenario:d_main_21_09_e_6,True,,black,black,1.0,,,neon,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_7,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_7,True,,black,black,1.0,,,noah,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_8,d_main_21_09_e,Speech,isabel,Locale_MainScenario:d_main_21_09_e_8,True,,black,black,1.0,,,isabel,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_9,d_main_21_09_e,Monologue,Monologue,Locale_MainScenario:d_main_21_09_e_9,False,,black,black,1.0,sfx_scn_machinewing,,isabel,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_10,d_main_21_09_e,Monologue,Monologue,Locale_MainScenario:d_main_21_09_e_10,False,,black,black,1.0,,,isabel,,,,,,,,,,,,,,,,,,,,,,
d_main_21_09_e_11,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_11,True,Launcher,XS_130,XS_1300,1.0,,,noah,anis,5,void,rapi,3,idle,johan,1,idle,noah,13,surprise,neon,15,idle,isabel,17,idle,,,,
d_main_21_09_e_12,d_main_21_09_e,Speech,neon,Locale_MainScenario:d_main_21_09_e_12,True,,S_150,S_1500,1.0,,,neon,,5,void,,3,idle,,1,idle,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_13,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_13,True,,XS_130,XS_1300,2.0,,,noah,,5,void,,3,idle,,1,idle,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_14,d_main_21_09_e,Speech,johan,Locale_MainScenario:d_main_21_09_e_14,True,,XS_1300,L_10,2.0,,,johan,,5,void,,3,idle,,1,idle,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_15,d_main_21_09_e,Self,Self,Locale_MainScenario:d_main_21_09_e_15,False,,L_10,L_10,1.0,,,johan,,5,void,,3,idle,,1,idle,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_16,d_main_21_09_e,Speech,anis,Locale_MainScenario:d_main_21_09_e_16,True,,50,500,0.5,,,anis,,5,angry,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,,,
d_main_21_09_e_17,d_main_21_09_e,Speech,neon,Locale_MainScenario:d_main_21_09_e_17,True,,S_150,S_150,1.0,,,neon,,5,angry,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,,,
