id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_maidcafe_01_1,d_ex_maidcafe_01,Narration,Locale_SuddenStory:d_ex_maidcafe_01_1,False,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,bgm_story_orangepop,,,,,cocoa,1,idle,emma,13,delight
d_ex_maidcafe_01_2,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_2,True,,130,130,1.0,,,emma,emma,,,,1,idle,,13,delight
d_ex_maidcafe_01_3,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_3,True,,130,XS_10,1.0,,,cocoa,cocoa,,,,1,idle,,13,delight
d_ex_maidcafe_01_4,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_4,True,,XS_10,XS_10,1.0,,,cocoa,cocoa,,,,1,idle,,13,idle
d_ex_maidcafe_01_5,d_ex_maidcafe_01,Self,Locale_SuddenStory:d_ex_maidcafe_01_5,False,,XS_10,XS_10,1.0,,,,,,,,1,idle,,13,idle
d_ex_maidcafe_01_6,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_6,True,,XS_10,XS_100,1.0,,,cocoa,cocoa,,,,1,delight,,13,idle
d_ex_maidcafe_01_7,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_7,True,,XS_100,1300,1.0,,,emma,emma,,,,1,delight,,13,delight
d_ex_maidcafe_01_8,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_8,True,,1300,1300,1.0,,,emma,emma,,,,1,idle,,13,idle
d_ex_maidcafe_01_9,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_9,True,,1300,1300,1.0,,,emma,emma,,,,1,idle,,13,idle
d_ex_maidcafe_01_10,d_ex_maidcafe_01,Speech,Locale_SuddenStory:d_ex_maidcafe_01_10,True,,1300,130,1.0,,,emma,emma,,,,1,idle,,13,idle
