id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,set_filter_01,set_filter_02
d_main_30_06_e_1,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_1,True,rapi,1,idle,grave,3,idle,CrystalField_1,10,2,1.0,bgm_chapter30_field_whitecity,,,,,
d_main_30_06_e_2,d_main_30_06_e,Speech,grave,unknown_grave,Locale_MainScenario:d_main_30_06_e_2,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_3,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_3,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_4,d_main_30_06_e,Speech,grave,unknown_grave,Locale_MainScenario:d_main_30_06_e_4,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_5,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_5,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_6,d_main_30_06_e,Choice,rapi,,Locale_MainScenario:d_main_30_06_e_6,False,,1,idle,,3,idle,,2,2,1.0,,d_main_30_06_e_8,,,,
d_main_30_06_e_7,d_main_30_06_e,Choice,rapi,,Locale_MainScenario:d_main_30_06_e_7,False,,1,idle,,3,idle,,2,2,1.0,,d_main_30_06_e_8,,,,
d_main_30_06_e_8,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_8,True,,1,think,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_9,d_main_30_06_e,Speech,grave,unknown_grave,Locale_MainScenario:d_main_30_06_e_9,True,,1,think,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_10,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_10,True,,1,think,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_11,d_main_30_06_e,Self,rapi,,Locale_MainScenario:d_main_30_06_e_11,False,,1,think,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_12,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_12,True,,1,idle,,3,idle,,2,L_30,1.0,,,,,,
d_main_30_06_e_13,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_13,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_14,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_14,True,,1,idle,,3,idle,,L_30,10,1.0,,,,,,
d_main_30_06_e_15,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_15,True,,1,idle,,3,idle,,10,10,1.0,,,,,,
d_main_30_06_e_16,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_16,True,,1,idle,,3,idle,,10,2,1.0,,,,,,
d_main_30_06_e_17,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_17,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_18,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_18,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_19,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_19,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_20,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_20,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_21,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_21,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_22,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_22,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_23,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_23,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_24,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_24,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_25,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_25,True,,1,idle,,3,idle,,2,L_30,1.0,,,,,,
d_main_30_06_e_26,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_26,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_27,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_27,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_28,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_28,True,,1,worry,,3,idle,,10,10,1.0,,,,,,
d_main_30_06_e_29,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_29,True,,1,worry,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_30,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_30,True,,1,worry,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_31,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_31,True,,1,idle,,3,idle,,L_30,10,1.0,,,,,,
d_main_30_06_e_32,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_32,True,,1,idle,,3,idle,,10,10,1.0,,,,,,
d_main_30_06_e_33,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_33,True,,1,idle,,3,idle,,10,2,1.0,,,,,,
d_main_30_06_e_34,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_34,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_35,d_main_30_06_e,Self,grave,,Locale_MainScenario:d_main_30_06_e_35,False,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_36,d_main_30_06_e,Self,grave,,Locale_MainScenario:d_main_30_06_e_36,False,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_37,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_37,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_38,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_38,True,,1,idle,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_39,d_main_30_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_30_06_e_39,True,,1,worry,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_40,d_main_30_06_e,Self,rapi,,Locale_MainScenario:d_main_30_06_e_40,False,,1,worry,,3,idle,,2,2,1.0,,,,,,
d_main_30_06_e_41,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_41,True,,1,idle,,3,idle,,2,L_30,1.0,,,,,,
d_main_30_06_e_42,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_42,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_43,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_43,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_44,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_44,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_45,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_45,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_46,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_46,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_47,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_47,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,,,,
d_main_30_06_e_48,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_48,True,,1,idle,,3,idle,,L_30,L_300,1.0,,,,,,
d_main_30_06_e_49,d_main_30_06_e,Speech,grave,grave,Locale_MainScenario:d_main_30_06_e_49,True,,1,idle,,3,idle,Laboratory,black,black,1.0,,,rapi,grave,Grey,
