id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/hide_char_id
d_ex_maidcafe_10_1,d_ex_maidcafe_10,Narration,ade,Locale_SuddenStory:d_ex_maidcafe_10_1,False,flora,2,idle,ade,12,delight,MaidCafe,120,120,1.0,sfx_scn_toyshopbell,bgm_story_girlstalk,,
d_ex_maidcafe_10_2,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_2,True,,2,idle,,12,delight,,120,120,1.0,,,ade,
d_ex_maidcafe_10_3,d_ex_maidcafe_10,Self,ade,Locale_SuddenStory:d_ex_maidcafe_10_3,False,,2,idle,,12,delight,,120,120,1.0,,,,
d_ex_maidcafe_10_4,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_4,True,,2,idle,,12,idle,,120,120,1.0,,,ade,
d_ex_maidcafe_10_5,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_5,True,,2,idle,,12,idle,,120,1,1.3,,,flora,
d_ex_maidcafe_10_6,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_6,True,,2,idle,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_7,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_7,True,,2,idle,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_8,d_ex_maidcafe_10,Monologue,flora,Locale_SuddenStory:d_ex_maidcafe_10_8,False,,2,idle,,12,idle,,1,15,2.0,,,,
d_ex_maidcafe_10_9,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_9,False,,2,idle,,12,idle,,15,1,2.0,,,flora,
d_ex_maidcafe_10_10,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_10,True,,2,idle,,12,idle,,1,20,1.3,,,flora,
d_ex_maidcafe_10_11,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_11,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_12,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_12,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_13,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_13,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_14,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_14,True,,2,idle,,12,idle,,20,120,1.3,,,ade,
d_ex_maidcafe_10_15,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_15,True,,2,idle,,12,idle,,120,120,1.0,,,ade,
d_ex_maidcafe_10_16,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_16,True,,2,idle,,12,idle,,120,120,1.0,,,ade,
d_ex_maidcafe_10_17,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_17,True,,2,delight,,12,idle,,120,1,1.3,,,flora,
d_ex_maidcafe_10_18,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_18,True,,2,delight,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_19,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_19,True,,2,delight,,12,delight,,1,1,1.0,,,ade,
d_ex_maidcafe_10_20,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_20,True,,2,delight,,12,delight,,1,1,1.0,,,ade,
d_ex_maidcafe_10_21,d_ex_maidcafe_10,Monologue,ade,Locale_SuddenStory:d_ex_maidcafe_10_21,False,,2,delight,,12,delight,,black,black,1.0,,,,
d_ex_maidcafe_10_22,d_ex_maidcafe_10,Self,ade,Locale_SuddenStory:d_ex_maidcafe_10_22,False,,2,delight,,12,delight,,1,1,1.0,,,,
d_ex_maidcafe_10_23,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_23,True,,2,delight,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_24,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_24,True,,2,delight,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_25,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_25,True,,2,idle,,12,idle,,1,20,1.3,,,flora,
d_ex_maidcafe_10_26,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_26,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_27,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_27,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_28,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_28,True,,2,idle,,12,idle,,120,120,1.0,,,ade,
d_ex_maidcafe_10_29,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_29,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_30,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_30,True,,2,delight,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_31,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_31,True,,2,delight,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_32,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_32,True,,2,delight,,12,idle,,20,120,1.3,,,ade,
d_ex_maidcafe_10_33,d_ex_maidcafe_10,Monologue,ade,Locale_SuddenStory:d_ex_maidcafe_10_33,False,,2,delight,,12,idle,,120,120,1.0,,,,ade
d_ex_maidcafe_10_34,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_34,True,,2,delight,,,,,20,20,1.0,,,flora,
d_ex_maidcafe_10_35,d_ex_maidcafe_10,Self,flora,Locale_SuddenStory:d_ex_maidcafe_10_35,False,,2,delight,,,,,20,20,1.0,,,,
d_ex_maidcafe_10_36,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_36,True,,2,idle,,,,,20,20,1.0,,,flora,
d_ex_maidcafe_10_37,d_ex_maidcafe_10,Monologue,flora,Locale_SuddenStory:d_ex_maidcafe_10_37,False,,2,idle,,,,,20,200,1.0,,,,
d_ex_maidcafe_10_38,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_38,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_39,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_39,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_40,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_40,True,,2,delight,,,,,200,200,1.0,,,flora,
