id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_21_10_s_1,d_main_21_10_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_10_s_1,True,anis,7,void,neon,5,idle,rapi,3,idle,johan,1,idle,harran,13,idle,isabel,15,idle,noah,17,idle,cecil_op_l,OP_leftup,idle,Desert_02,1,1,1.0,bgm_disaster
d_main_21_10_s_2,d_main_21_10_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_10_s_2,True,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,1,1,1.0,
d_main_21_10_s_3,d_main_21_10_s,Speech,johan,johan,Locale_MainScenario:d_main_21_10_s_3,True,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,1,1,1.0,
d_main_21_10_s_4,d_main_21_10_s,Speech,anis,anis,Locale_MainScenario:d_main_21_10_s_4,True,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,75,75,1.0,
d_main_21_10_s_5,d_main_21_10_s,Speech,neon,neon,Locale_MainScenario:d_main_21_10_s_5,True,,7,void,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,75,75,1.0,
d_main_21_10_s_6,d_main_21_10_s,Speech,anis,anis,Locale_MainScenario:d_main_21_10_s_6,False,,7,no,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,75,75,1.0,
d_main_21_10_s_7,d_main_21_10_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_10_s_7,True,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,75,3,1.0,
d_main_21_10_s_8,d_main_21_10_s,Self,rapi,Self,Locale_MainScenario:d_main_21_10_s_8,False,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,3,3,1.0,
d_main_21_10_s_9,d_main_21_10_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_10_s_9,True,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,3,30,1.0,
d_main_21_10_s_10,d_main_21_10_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_10_s_10,True,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,OP_leftup,idle,,30,300,1.0,
