id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id
d_main_37_03_1,d_main_37_03,Narration,Locale_MainScenario:d_main_37_03_1,False,GoodOffice,15,1,1.0,bgm_inark,,,,,,,,,,,,,,,,,,,,,,,
d_main_37_03_2,d_main_37_03,Narration,Locale_MainScenario:d_main_37_03_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_main_37_03_3,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_3,True,,1,1,1.0,,dorothy,dorothy,neon,5,idle,anis,3,void,dorothy,1,think,eyeri,13,void,avistar,15,idle,,,,,,
d_main_37_03_4,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_4,True,,1,1,1.0,,dorothy,dorothy,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_5,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_5,True,,1,1,1.0,,dorothy,dorothy,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_6,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_6,True,,1,1,1.0,,dorothy,dorothy,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_7,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_7,True,,1,1,1.0,,dorothy,dorothy,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_8,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_8,True,,4,4,1.0,,anis,anis,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_9,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_9,True,,4,4,1.0,,neon,neon,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_10,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_10,True,,1,1,1.0,,dorothy,dorothy,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_11,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_11,True,,1,1,1.0,,dorothy,dorothy,,5,idle,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_12,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_12,True,,4,4,1.0,,neon,neon,,5,delight,,3,void,,1,think,,13,void,,15,idle,,,,,,
d_main_37_03_13,d_main_37_03,Speech,Locale_MainScenario:d_main_37_03_13,True,,4,4,1.0,,anis,anis,,5,delight,,3,worry,,1,think,,13,void,,15,idle,,,,,,
