id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
d_main_40_05_1,d_main_40_05,Speech,raptilion,raptilion,Locale_MainScenario:d_main_40_05_1,True,RaptilionHouse,rap_100,rap_10,1.0,none,,,raptilion,1,idle,,leviathan,13,no,,ziz,15,sad,,,,,,,,,,,,,,,
d_main_40_05_2,d_main_40_05,Self,raptilion,,Locale_MainScenario:d_main_40_05_2,False,,rap_10,rap_10,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_3,d_main_40_05,Monologue,raptilion,,Locale_MainScenario:d_main_40_05_3,False,,black,black,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_4,d_main_40_05,Monologue,raptilion,,Locale_MainScenario:d_main_40_05_4,False,,black,black,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_5,d_main_40_05,Speech,ziz,ziz,Locale_MainScenario:d_main_40_05_5,True,,S_150,S_150,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_6,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_6,True,,S_150,S_130,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_7,d_main_40_05,Speech,raptilion,raptilion,Locale_MainScenario:d_main_40_05_7,True,,S_130,raptogether_02,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_8,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_8,True,,raptogether_02,raptogether_02,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_9,d_main_40_05,Speech,raptilion,raptilion,Locale_MainScenario:d_main_40_05_9,True,,raptogether_02,raptogether_02,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_10,d_main_40_05,Speech,raptilion,raptilion,Locale_MainScenario:d_main_40_05_10,True,,raptogether_02,raptogether_02,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_11,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_11,True,,raptogether_02,raptogether_02,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_12,d_main_40_05,Speech,raptilion,raptilion,Locale_MainScenario:d_main_40_05_12,True,,raptogether_02,raptogether_02,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_13,d_main_40_05,Narration,raptilion,,Locale_MainScenario:d_main_40_05_13,False,,black,black,1.0,bgm_chapter40_field_turningpoint_b,sfx_scn_metalpunch,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_14,d_main_40_05,Monologue,raptilion,,Locale_MainScenario:d_main_40_05_14,False,,black,black,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_15,d_main_40_05,Monologue,raptilion,,Locale_MainScenario:d_main_40_05_15,False,,black,black,1.0,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_16,d_main_40_05,Speech,raptilion,raptilion,Locale_MainScenario:d_main_40_05_16,True,,rap_10,rap_100,0.7,,,,,1,idle,,,13,no,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_17,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_17,True,,rap_100,S_1300,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_18,d_main_40_05,Speech,ziz,ziz,Locale_MainScenario:d_main_40_05_18,True,,S_1300,S_1500,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_19,d_main_40_05,Speech,raptilion,raptilion,Locale_MainScenario:d_main_40_05_19,True,,rap_100,rap_10,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_20,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_20,True,,rap_10,raptogether_02,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_21,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_21,True,,raptogether_02,raptogether_02,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_22,d_main_40_05,Speech,ziz,ziz,Locale_MainScenario:d_main_40_05_22,True,,S_1500,S_150,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_23,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_23,True,,S_150,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_24,d_main_40_05,Speech,ziz,ziz,Locale_MainScenario:d_main_40_05_24,True,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_25,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_25,True,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_26,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_26,True,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_27,d_main_40_05,Speech,ziz,ziz,Locale_MainScenario:d_main_40_05_27,False,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_28,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_28,True,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_29,d_main_40_05,Speech,ziz,ziz,Locale_MainScenario:d_main_40_05_29,True,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_30,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_30,False,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_31,d_main_40_05,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_05_31,True,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_32,d_main_40_05,Speech,ziz,ziz,Locale_MainScenario:d_main_40_05_32,True,,1315,1315,1.0,,,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,
d_main_40_05_33,d_main_40_05,Monologue,ziz,,Locale_MainScenario:d_main_40_05_33,False,,black,black,1.0,,,,,1,idle,,,13,angry,leviathan,,15,sad,ziz,,,,,,,,,,,,,,
