id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_ex_mysteryclub_08_1,d_ex_mysteryclub_08,Narration,Locale_SuddenStory:d_ex_mysteryclub_08_1,False,Bar,black,black,1.0,sfx_scn_toyshopbell,none,,,,,
d_ex_mysteryclub_08_2,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_2,False,,3,1,1.0,,,,,,,
d_ex_mysteryclub_08_3,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_3,False,,1,1,1.0,,,,,,,
d_ex_mysteryclub_08_4,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_4,False,,1,1,1.0,,,,,,,
d_ex_mysteryclub_08_5,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_5,False,,1,1,1.0,,,,,,,
d_ex_mysteryclub_08_6,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_6,False,,1,1,1.0,,,,,,,
d_ex_mysteryclub_08_7,d_ex_mysteryclub_08,Narration,Locale_SuddenStory:d_ex_mysteryclub_08_7,False,,black,black,1.0,sfx_scn_poke,bgm_story_languor,,,,,
d_ex_mysteryclub_08_8,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_8,False,,1,10,1.0,,,,,,,
d_ex_mysteryclub_08_9,d_ex_mysteryclub_08,Narration,Locale_SuddenStory:d_ex_mysteryclub_08_9,False,,10,10,1.0,sfx_scn_heavytrip,,,,,,
d_ex_mysteryclub_08_10,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_10,True,,10,10,1.0,,,sora,unknown,,,
d_ex_mysteryclub_08_11,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_11,True,,10,10,1.0,,,sora,unknown,,,
d_ex_mysteryclub_08_12,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_12,False,,10,100,1.0,,,sora,,,,
d_ex_mysteryclub_08_13,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_13,False,,100,100,1.0,,,sora,,sora,1,surp2
d_ex_mysteryclub_08_14,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_14,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_15,d_ex_mysteryclub_08,Narration,Locale_SuddenStory:d_ex_mysteryclub_08_15,False,,100,100,1.0,sfx_scn_poke,,sora,,,1,idle
d_ex_mysteryclub_08_16,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_16,False,,100,100,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_17,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_17,True,,100,10,1.0,,,sora,sora,,1,delight
d_ex_mysteryclub_08_18,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_18,True,,10,10,1.0,,,sora,sora,,1,delight
d_ex_mysteryclub_08_19,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_19,True,,10,10,1.0,,,sora,sora,,1,delight
d_ex_mysteryclub_08_20,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_20,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_21,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_21,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_22,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_22,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_23,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_23,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_24,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_24,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_25,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_25,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_26,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_26,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_27,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_27,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_28,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_28,False,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_29,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_29,True,,10,10,1.0,,,sora,sora,,1,idle2
d_ex_mysteryclub_08_30,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_30,False,,10,10,1.0,,,sora,,,1,idle2
d_ex_mysteryclub_08_31,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_31,True,,10,10,1.0,,,sora,sora,,1,delight
d_ex_mysteryclub_08_32,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_32,False,,10,10,1.0,,,sora,,,1,delight
d_ex_mysteryclub_08_33,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_33,True,,10,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_34,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_34,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_35,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_35,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_36,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_36,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_37,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_37,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_38,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_38,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_39,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_39,False,,100,100,1.0,,,,,,1,idle
d_ex_mysteryclub_08_40,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_40,False,,100,100,1.0,,,,,,1,idle
d_ex_mysteryclub_08_41,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_41,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_42,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_42,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_43,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_43,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_44,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_44,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_45,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_45,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_46,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_46,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_47,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_47,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_48,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_48,False,,100,100,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_49,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_49,True,,100,10,0.5,,,sora,sora,,1,delight
d_ex_mysteryclub_08_50,d_ex_mysteryclub_08,Narration,Locale_SuddenStory:d_ex_mysteryclub_08_50,False,,10,10,1.0,sfx_scn_poke2,,sora,,,1,delight
d_ex_mysteryclub_08_51,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_51,False,,10,10,1.0,,,sora,,,1,delight
d_ex_mysteryclub_08_52,d_ex_mysteryclub_08,Narration,Locale_SuddenStory:d_ex_mysteryclub_08_52,False,,10,10,1.0,sfx_scn_heavytrip,,sora,,,1,delight
d_ex_mysteryclub_08_53,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_53,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_54,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_54,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_55,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_55,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_56,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_56,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_57,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_57,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_58,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_58,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_59,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_59,False,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_60,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_60,False,,black,black,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_61,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_61,False,,300,100,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_62,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_62,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_63,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_63,False,,100,100,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_64,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_64,True,,100,100,1.0,,,sora,sora,,1,sad
d_ex_mysteryclub_08_65,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_65,True,,100,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_66,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_66,False,,100,100,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_67,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_67,True,,100,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_68,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_68,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_69,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_69,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_70,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_70,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_71,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_71,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_72,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_72,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_73,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_73,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_74,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_74,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_75,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_75,False,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_76,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_76,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_77,d_ex_mysteryclub_08,Self,Locale_SuddenStory:d_ex_mysteryclub_08_77,False,,10,10,1.0,,,sora,,,1,idle
d_ex_mysteryclub_08_78,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_78,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_79,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_79,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_80,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_80,True,,10,10,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_81,d_ex_mysteryclub_08,Speech,Locale_SuddenStory:d_ex_mysteryclub_08_81,True,,10,100,1.0,,,sora,sora,,1,idle
d_ex_mysteryclub_08_82,d_ex_mysteryclub_08,Monologue,Locale_SuddenStory:d_ex_mysteryclub_08_82,False,,black,black,1.0,,,sora,,,1,idle
