id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_toyshop_10_1,d_ex_toyshop_10,Narration,Locale_SuddenStory:d_ex_toyshop_10_1,False,ToyShop,2,2,1.0,sfx_scn_toyshopbell,bgm_story_overjoy,,,,,,,,,,
d_ex_toyshop_10_2,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_2,True,,2,S_20,1.3,,,mast_m,mast_m,mast_m,2,surprise,,,,,
d_ex_toyshop_10_3,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_3,False,,S_20,S_20,1.0,,,mast_m,,,2,surprise,,,,,
d_ex_toyshop_10_4,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_4,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,surprise,,,,,
d_ex_toyshop_10_5,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_5,False,,S_20,S_20,1.0,,,mast_m,,,2,surprise,,,,,
d_ex_toyshop_10_6,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_6,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle,,,,,
d_ex_toyshop_10_7,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_7,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle,,,,,
d_ex_toyshop_10_8,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_8,False,,S_20,S_20,1.0,,,mast_m,,,2,idle,,,,,
d_ex_toyshop_10_9,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_9,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle,,,,,
d_ex_toyshop_10_10,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_10,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle,,,,,
d_ex_toyshop_10_11,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_11,False,,S_20,S_20,1.0,,,mast_m,,,2,idle,,,,,
d_ex_toyshop_10_12,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_12,False,,S_20,S_20,1.0,,,morgan,morgan,,2,idle,,,,,
d_ex_toyshop_10_13,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_13,False,,S_20,S_20,1.0,,,mast_m,,,2,idle,,,,,
d_ex_toyshop_10_14,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_14,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle2,,,,,
d_ex_toyshop_10_15,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_15,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle2,,,,,
d_ex_toyshop_10_16,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_16,False,,S_20,S_20,1.3,,,mast_m,,,2,idle2,,,,,
d_ex_toyshop_10_17,d_ex_toyshop_10,Narration,Locale_SuddenStory:d_ex_toyshop_10_17,False,,XS_120,XS_120,1.0,sfx_scn_toyshopbell,,mast_m,,,2,idle2,biscuit,12,idle,,
d_ex_toyshop_10_18,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_18,True,,XS_120,XS_120,1.0,,,biscuit,biscuit,,2,idle2,,12,idle,,
d_ex_toyshop_10_19,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_19,False,,XS_120,XS_120,1.0,,,biscuit,,,2,idle2,,12,idle,,
d_ex_toyshop_10_20,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_20,True,,XS_120,XS_120,1.0,,,biscuit,biscuit,,2,idle2,,12,delight,,
d_ex_toyshop_10_21,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_21,True,,XS_120,1,1.3,,,mast_m,mast_m,,2,idle,,12,delight,,
d_ex_toyshop_10_22,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_22,True,,1,1,1.0,,,biscuit,biscuit,,2,idle,,12,idle,,
d_ex_toyshop_10_23,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_23,False,,1,1,1.0,,,biscuit,,,2,idle,,12,idle,,
d_ex_toyshop_10_24,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_24,True,,1,1,1.0,,,biscuit,biscuit,,2,idle,,12,idle,,
d_ex_toyshop_10_25,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_25,True,,1,1,1.0,,,biscuit,biscuit,,2,idle,,12,idle,,
d_ex_toyshop_10_26,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_26,False,,1,1,1.0,,,biscuit,,,2,idle,,12,idle,,
d_ex_toyshop_10_27,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_27,True,,1,1,1.0,,,biscuit,biscuit,,2,idle,,12,idle,,
d_ex_toyshop_10_28,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_28,True,,1,1,1.0,,,mast_m,mast_m,,2,idle2,,12,idle,,
d_ex_toyshop_10_29,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_29,True,,1,1,1.0,,,biscuit,biscuit,,2,idle2,,12,sad,,
d_ex_toyshop_10_30,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_30,True,,1,1,1.0,,,mast_m,mast_m,,2,surprise,,12,sad,,
d_ex_toyshop_10_31,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_31,True,,1,1,1.0,,,biscuit,biscuit,,2,surprise,,12,sad,,
d_ex_toyshop_10_32,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_32,True,,1,1,1.0,,,mast_m,mast_m,,2,idle2,,12,sad,,
d_ex_toyshop_10_33,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_33,True,,1,1,1.0,,,biscuit,biscuit,,2,idle2,,12,angry,,
d_ex_toyshop_10_34,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_34,True,,1,1,1.0,,,mast_m,mast_m,,2,idle2,,12,angry,,
d_ex_toyshop_10_35,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_35,True,,1,1,1.0,,,biscuit,biscuit,,2,idle2,,12,idle,,
d_ex_toyshop_10_36,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_36,True,,1,1,1.0,,,mast_m,mast_m,,2,idle2,,12,idle,,
d_ex_toyshop_10_37,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_37,True,,1,1,1.0,,,mast_m,mast_m,,2,idle2,,12,idle,,
d_ex_toyshop_10_38,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_38,True,,1,1,1.0,,,biscuit,biscuit,,2,idle2,,12,sad,,
d_ex_toyshop_10_39,d_ex_toyshop_10,Monologue,Locale_SuddenStory:d_ex_toyshop_10_39,False,,1,1,1.0,,,biscuit,,,2,idle2,,12,sad,,
d_ex_toyshop_10_40,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_40,True,,1,S_20,1.3,,,mast_m,mast_m,,2,surprise,,12,sad,,
d_ex_toyshop_10_41,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_41,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,surprise,,12,sad,,
d_ex_toyshop_10_42,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_42,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,surprise,,12,sad,,
d_ex_toyshop_10_43,d_ex_toyshop_10,Self,Locale_SuddenStory:d_ex_toyshop_10_43,False,,S_20,S_20,1.0,,,mast_m,,,2,surprise,,12,sad,,
d_ex_toyshop_10_44,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_44,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle,,12,sad,,
d_ex_toyshop_10_45,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_45,True,,S_20,S_20,1.0,,,mast_m,mast_m,,2,idle,,12,sad,,
d_ex_toyshop_10_46,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_46,False,,S_20,S_20,1.0,,,morgan,morgan,,2,idle,,12,sad,,
d_ex_toyshop_10_47,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_47,True,,S_20,1,1.3,,,biscuit,biscuit,,2,idle,,12,idle,,
d_ex_toyshop_10_48,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_48,True,,1,1,1.0,,,mast_m,mast_m,,2,idle2,,12,idle,,
d_ex_toyshop_10_49,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_49,True,,1,1,1.0,,,biscuit,biscuit,,2,idle2,,12,idle,,
d_ex_toyshop_10_50,d_ex_toyshop_10,Monologue,Locale_SuddenStory:d_ex_toyshop_10_50,False,,1,1,1.0,sfx_scn_grab,,biscuit,,,2,idle2,,12,idle,,
d_ex_toyshop_10_51,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_51,True,,1,1,1.0,,,mast_m,mast_m,,2,idle,,12,idle,,
d_ex_toyshop_10_52,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_52,True,,1,1,1.0,,,biscuit,biscuit,,2,idle,,12,delight,,
d_ex_toyshop_10_53,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_53,True,,1,XS_120,1.3,,,biscuit,biscuit,,2,idle,,12,idle,,
d_ex_toyshop_10_54,d_ex_toyshop_10,Narration,Locale_SuddenStory:d_ex_toyshop_10_54,False,,XS_120,XS_120,1.0,,,biscuit,,,2,idle,,12,idle,,
d_ex_toyshop_10_55,d_ex_toyshop_10,Monologue,Locale_SuddenStory:d_ex_toyshop_10_55,False,,XS_120,XS_120,1.0,,,biscuit,,,2,idle,,12,idle,,
d_ex_toyshop_10_56,d_ex_toyshop_10,Speech,Locale_SuddenStory:d_ex_toyshop_10_56,True,,XS_120,XS_120,1.0,,,biscuit,biscuit,,2,idle,,12,idle,,
