id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_31_01_s_1,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_1,False,CrystalCity,13,130,1.0,bgm_chapter31_field_beast,,rapi,13,idle,anis,1,void,neon,3,idle,,,,
d_main_31_01_s_2,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_2,True,,130,130,1.0,,rapi,,13,idle,,1,void,,3,idle,,,,
d_main_31_01_s_3,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_3,False,,130,130,1.0,,,,13,idle,,1,void,,3,idle,,,,
d_main_31_01_s_4,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_4,False,,130,130,1.0,,rapi,,13,think,,1,void,,3,idle,,,,
d_main_31_01_s_5,d_main_31_01_s,Speech,neon,Locale_MainScenario:d_main_31_01_s_5,True,,2,2,1.0,,neon,,13,think,,1,void,,3,idle,,,,
d_main_31_01_s_6,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_6,True,,2,2,1.0,,anis,,13,think,,1,void,,3,idle,,,,
d_main_31_01_s_7,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_7,False,,130,130,1.0,,,,13,think,,1,void,,3,idle,,,,
d_main_31_01_s_8,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_8,False,,130,130,1.0,,,,13,think,,1,void,,3,idle,,,,
d_main_31_01_s_9,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_9,True,,130,13,1.0,,rapi,,13,idle,,1,void,,3,idle,,,,
d_main_31_01_s_10,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_10,True,,13,13,1.0,,rapi,,13,idle,,1,void,,3,idle,,,,
d_main_31_01_s_11,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_11,True,,13,13,1.0,,rapi,,13,idle,,1,void,,3,idle,,,,
d_main_31_01_s_12,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_12,True,,10,10,1.0,,anis,,13,idle,,1,angry,,3,idle,,,,
d_main_31_01_s_13,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_13,False,,13,13,1.0,,,,13,idle,,1,angry,,3,idle,,,,
d_main_31_01_s_14,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_14,True,,13,13,1.0,,rapi,,13,idle,,1,angry,,3,idle,,,,
d_main_31_01_s_15,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_15,True,,13,13,1.0,,rapi,,13,idle,,1,angry,,3,idle,,,,
d_main_31_01_s_16,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_16,True,,13,13,1.0,,rapi,,13,idle,,1,angry,,3,idle,,,,
d_main_31_01_s_17,d_main_31_01_s,Self,shifty,Locale_MainScenario:d_main_31_01_s_17,False,,13,130,1.0,,,,13,idle,,1,void,,3,idle,shifty,OP_leftup,worry,
d_main_31_01_s_18,d_main_31_01_s,Speech,shifty,Locale_MainScenario:d_main_31_01_s_18,True,,130,130,1.0,,shifty,,13,idle,,1,void,,3,idle,,OP_leftup,worry,
d_main_31_01_s_19,d_main_31_01_s,Speech,shifty,Locale_MainScenario:d_main_31_01_s_19,True,,130,130,1.0,,shifty,,13,idle,,1,void,,3,idle,,OP_leftup,worry,
d_main_31_01_s_20,d_main_31_01_s,Speech,shifty,Locale_MainScenario:d_main_31_01_s_20,True,,130,130,1.0,,shifty,,13,idle,,1,void,,3,idle,,OP_leftup,worry,
d_main_31_01_s_21,d_main_31_01_s,Speech,shifty,Locale_MainScenario:d_main_31_01_s_21,True,,130,130,1.0,,shifty,,13,idle,,1,void,,3,idle,,OP_leftup,worry,
d_main_31_01_s_22,d_main_31_01_s,Speech,shifty,Locale_MainScenario:d_main_31_01_s_22,True,,130,130,1.0,,shifty,,13,idle,,1,void,,3,idle,,OP_leftup,worry,
d_main_31_01_s_23,d_main_31_01_s,Speech,neon,Locale_MainScenario:d_main_31_01_s_23,True,,2,2,1.0,,neon,,13,idle,,1,void,,3,idle,,OP_leftup,worry,
d_main_31_01_s_24,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_24,True,,2,2,1.0,,anis,,13,idle,,1,void,,3,idle,,OP_leftup,worry,
d_main_31_01_s_25,d_main_31_01_s,Speech,neon,Locale_MainScenario:d_main_31_01_s_25,True,,2,2,1.0,,neon,,13,idle,,1,void,,3,worry,,OP_leftup,worry,
d_main_31_01_s_26,d_main_31_01_s,Speech,neon,Locale_MainScenario:d_main_31_01_s_26,True,,2,2,1.0,,neon,,13,idle,,1,void,,3,worry,,OP_leftup,worry,
d_main_31_01_s_27,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_27,True,,2,2,1.0,,anis,,13,idle,,1,void,,3,worry,,OP_leftup,worry,
d_main_31_01_s_28,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_28,True,,2,12,1.0,,anis,,13,idle,,1,worry,,3,worry,,OP_leftup,worry,
d_main_31_01_s_29,d_main_31_01_s,Speech,shifty,Locale_MainScenario:d_main_31_01_s_29,True,,12,12,1.0,,shifty,,13,idle,,1,worry,,3,worry,,OP_leftup,worry,
