id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
d_main_33_05_e_1,d_main_33_05_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_05_e_1,True,EventScene_Chap_33_02,Chap_33_02_01_1,Chap_33_02_01_1,1.0,bgm_disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_2,d_main_33_05_e,Monologue,grave_p,,Locale_MainScenario:d_main_33_05_e_2,False,,Chap_33_02_01_1,Chap_33_02_01_2,1.0,,sfx_scn_machacharge,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_3,d_main_33_05_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_05_e_3,True,,Chap_33_02_01_2,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_4,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_4,False,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,sfx_scn_3energyballfire,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_5,d_main_33_05_e,Monologue,grave_p,,Locale_MainScenario:d_main_33_05_e_5,False,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_6,d_main_33_05_e,Monologue,grave_p,,Locale_MainScenario:d_main_33_05_e_6,False,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_7,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_7,True,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_8,d_main_33_05_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_05_e_8,True,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_9,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_9,False,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,sfx_scn_3energyballfire,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_10,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_10,True,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_11,d_main_33_05_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_05_e_11,True,,Chap_33_02_01_3,Chap_33_02_01_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_12,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_12,True,,Chap_33_02_01_1,Chap_33_02_01_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_13,d_main_33_05_e,Speech,cinderella,cinderella,Locale_MainScenario:d_main_33_05_e_13,True,,Chap_33_02_01_1,Chap_33_02_01_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_14,d_main_33_05_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_05_e_14,True,,Chap_33_02_01_1,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_15,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_15,True,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_16,d_main_33_05_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_05_e_16,True,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_17,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_17,True,,Chap_33_02_01_3,Chap_33_02_01_3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_18,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_18,False,,black,black,1.0,,sfx_scn_crystalgrowuplarge,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_05_e_19,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_19,False,BlackPuddle,black,black,1.0,,,,grave_p,3,idle,behemoth,5,surprise,leviathan,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_20,d_main_33_05_e,Self,grave_p,,Locale_MainScenario:d_main_33_05_e_20,False,,L_300,L_30,0.7,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_21,d_main_33_05_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_05_e_21,False,,L_30,L_30,1.0,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_22,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_22,False,,L_30,L_300,2.0,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_23,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_23,False,,L_300,L_300,1.0,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_24,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_24,False,,L_300,L_300,1.0,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_25,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_25,False,,L_300,L_300,1.0,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_26,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_26,True,,L_300,53,2.0,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_27,d_main_33_05_e,Speech,grave_p,grave_p,Locale_MainScenario:d_main_33_05_e_27,True,,53,53,1.0,,,,,3,idle,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_28,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_28,True,,53,53,1.0,,,,,3,idle,,5,angry,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_29,d_main_33_05_e,Narration,behemoth,,Locale_MainScenario:d_main_33_05_e_29,False,,black,black,1.0,,sfx_scn_crystalgrowuplarge2,,,3,idle,,5,angry,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_30,d_main_33_05_e,Narration,behemoth,,Locale_MainScenario:d_main_33_05_e_30,False,,black,black,1.0,,,,,3,idle,,5,angry,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_31,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_31,False,,black,black,1.0,,,,,3,idle,,5,angry,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_32,d_main_33_05_e,Narration,grave_p,,Locale_MainScenario:d_main_33_05_e_32,False,,black,black,1.0,,,,,3,idle,,5,angry,,7,no,grave_p,,,,,,,,,,,,,,,,
d_main_33_05_e_33,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_33,True,,75,75,1.0,,,,,,,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_34,d_main_33_05_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_33_05_e_34,True,,75,75,1.0,,,,,,,,5,surprise,,7,no,,,,,,,,,,,,,,,,,
d_main_33_05_e_35,d_main_33_05_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_33_05_e_35,True,,75,75,1.0,,,,,,,,5,idle,,7,no,,,,,,,,,,,,,,,,,
