id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_ex_tower_03_1,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_1,True,Police,S_90,XS_10,2.0,bgm_story_shopperholic,,,,epinel,1,idle,,,,,fx_Eventscene_camera_recording,rec,True,
d_ex_tower_03_2,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_2,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_3,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_3,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_4,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_4,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_5,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_5,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_6,d_ex_tower_03,Choice,epinel,,Locale_SuddenStory:d_ex_tower_03_6,False,,XS_10,XS_10,1.0,,d_ex_tower_03_8,,,,1,idle,,,,,,,,
d_ex_tower_03_7,d_ex_tower_03,Choice,epinel,,Locale_SuddenStory:d_ex_tower_03_7,False,,XS_10,XS_10,1.0,,d_ex_tower_03_13,,,,1,idle,,,,,,,,
d_ex_tower_03_8,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_8,True,,XS_10,XS_10,1.0,,,,,,1,think,,,,,,,,
d_ex_tower_03_9,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_9,True,,XS_10,XS_10,1.0,,,,,,1,think,,,,,,,,
d_ex_tower_03_10,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_10,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_11,d_ex_tower_03,Self,epinel,,Locale_SuddenStory:d_ex_tower_03_11,False,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_12,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_12,True,,XS_10,1,2.0,,d_ex_tower_03_14,,,,1,idle,,,,,,,,
d_ex_tower_03_13,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_13,True,,1,1,1.0,,d_ex_tower_03_14,,,,1,idle,,,,,,,,
d_ex_tower_03_14,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_14,True,,1,1,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_15,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_15,True,,1,1,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_16,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_16,True,,1,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_17,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_17,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_18,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_18,True,,XS_10,XS_10,1.0,,,,,,1,delight,,,,,,,,
d_ex_tower_03_19,d_ex_tower_03,Monologue,epinel,,Locale_SuddenStory:d_ex_tower_03_19,False,,XS_10,XS_10,1.0,,,,,,1,delight,,,,,,,,
d_ex_tower_03_20,d_ex_tower_03,Choice,epinel,,Locale_SuddenStory:d_ex_tower_03_20,False,,XS_10,XS_10,1.0,,d_ex_tower_03_22,,,,1,delight,,,,,,,,
d_ex_tower_03_21,d_ex_tower_03,Choice,epinel,,Locale_SuddenStory:d_ex_tower_03_21,False,,XS_10,XS_10,1.0,,d_ex_tower_03_27,,,,1,delight,,,,,,,,
d_ex_tower_03_22,d_ex_tower_03,Narration,epinel,,Locale_SuddenStory:d_ex_tower_03_22,False,,black,black,1.0,,,,,,1,idle,,,,,,,,fx_Eventscene_camera_recording
d_ex_tower_03_23,d_ex_tower_03,Monologue,epinel,,Locale_SuddenStory:d_ex_tower_03_23,False,,black,black,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_24,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_24,True,,1,XS_10,2.0,,,,,,1,idle,,,,,fx_Eventscene_camera_recording,rec,True,
d_ex_tower_03_25,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_25,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,,
d_ex_tower_03_26,d_ex_tower_03,Speech,epinel,epinel,Locale_SuddenStory:d_ex_tower_03_26,True,,XS_10,XS_10,1.0,,d_ex_tower_03_33,,,,1,idle,,,,,,,,
