id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_tower_07_1,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_1,False,black,black,black,1.0,bgm_story_tuffguys,,,,,,,,,,,,,
d_ex_tower_07_2,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_2,False,,black,black,1.0,,,,,,,,,,,,,,
d_ex_tower_07_3,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_3,False,,black,black,1.0,,,,,,,,,,,,,,
d_ex_tower_07_4,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_4,False,,black,black,1.0,,,,,,,,,,,,,,
d_ex_tower_07_5,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_5,False,,black,black,1.0,,,,,,,,,,,,,,
d_ex_tower_07_6,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_6,True,Police,S_120,S_120,1.0,,tove,12,idle,signal,16,shy,exia,14,delight,,,,
d_ex_tower_07_7,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_7,True,,S_160,S_160,1.0,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_8,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_8,True,,S_140,S_140,1.0,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_9,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_9,True,,S_140,S_140,1.0,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_10,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_10,True,,S_140,S_140,1.0,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_11,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_11,False,,16,12,1.5,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_12,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_12,False,,12,12,1.0,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_13,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_13,False,,12,12,1.0,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_14,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_14,False,,12,12,1.0,,,12,idle,,16,shy,,14,delight,,,,
d_ex_tower_07_15,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_15,True,,12,S_120,0.6,,,12,delight,,16,shy,,14,delight,,,,
d_ex_tower_07_16,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_16,False,,S_120,S_120,1.0,,,12,delight,,16,shy,,14,delight,,,,
d_ex_tower_07_17,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_17,False,,S_120,S_120,1.0,,,12,delight,,16,shy,,14,delight,,,,
d_ex_tower_07_18,d_ex_tower_07,Narration,,,Locale_SuddenStory:d_ex_tower_07_18,False,,black,black,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_19,d_ex_tower_07,Narration,,,Locale_SuddenStory:d_ex_tower_07_19,False,,black,black,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_20,d_ex_tower_07,Narration,,,Locale_SuddenStory:d_ex_tower_07_20,False,,black,black,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_21,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_21,False,,S_120,S_120,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_22,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_22,True,,S_120,S_120,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_23,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_23,False,,S_120,S_120,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_24,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_24,True,,S_120,S_120,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_25,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_25,True,,S_120,S_120,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_26,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_26,True,,S_120,S_120,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_27,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_27,True,,S_120,S_120,1.0,,,12,shy,,16,idle,,14,idle,,,,
d_ex_tower_07_28,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_28,True,,S_120,S_120,1.0,,,12,shy,,16,idle,,14,idle,,,,
d_ex_tower_07_29,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_29,False,,S_120,S_120,1.0,,,12,shy,,16,idle,,14,idle,,,,
d_ex_tower_07_30,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_30,False,,S_120,S_120,1.0,,,12,shy,,16,idle,,14,idle,,,,
d_ex_tower_07_31,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_31,False,,S_120,S_120,1.0,,,12,shy,,16,idle,,14,idle,,,,
d_ex_tower_07_32,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_32,True,,S_120,16,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_33,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_33,True,,16,16,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_34,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_34,True,,16,16,1.0,,,12,idle,,16,idle,,14,idle,,,,
d_ex_tower_07_35,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_35,True,,16,16,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_36,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_36,True,,16,S_160,0.6,,,12,idle,,16,angry,,14,idle,,,,
