id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_main_19_08_s_1,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_1,True,harran,1,idle,WasteLand_04,1,1,1.0,ambient_scn_wind,,
d_main_19_08_s_2,d_main_19_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_19_08_s_2,False,,1,idle,,1,16,2.0,,,
d_main_19_08_s_3,d_main_19_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_19_08_s_3,False,,1,idle,,16,16,1.0,,,
d_main_19_08_s_4,d_main_19_08_s,Self,,Self,Locale_MainScenario:d_main_19_08_s_4,False,,1,idle,,16,1,1.0,,,
d_main_19_08_s_5,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_5,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_6,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_6,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_7,d_main_19_08_s,Self,,Self,Locale_MainScenario:d_main_19_08_s_7,False,,1,idle,,1,1,1.0,,,
d_main_19_08_s_8,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_8,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_9,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_9,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_10,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_10,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_11,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_11,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_12,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_12,True,,1,idle,,1,10,2.0,bgm_story_crawlinganxiety,,
d_main_19_08_s_13,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_13,True,,1,idle,,10,10,1.0,,,
d_main_19_08_s_14,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_14,True,,1,idle,,10,10,1.0,,,
d_main_19_08_s_15,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_15,True,,1,idle,,10,10,1.0,,,
d_main_19_08_s_16,d_main_19_08_s,Self,,Self,Locale_MainScenario:d_main_19_08_s_16,False,,1,idle,,10,10,1.0,,,
d_main_19_08_s_17,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_17,True,,1,special,,10,10,1.0,,,
d_main_19_08_s_18,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_18,True,,1,special,,10,10,1.0,,,
d_main_19_08_s_19,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_19,True,,1,idle,,10,10,1.0,,,
d_main_19_08_s_20,d_main_19_08_s,Narration,,Narration,Locale_MainScenario:d_main_19_08_s_20,True,,1,idle,,10,1,0.3,,sfx_scn_rapturehowl,Low_2
d_main_19_08_s_21,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_21,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_22,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_22,True,,1,idle,,1,1,1.0,,,
d_main_19_08_s_23,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_23,True,,1,"expression_0,idle_alt",,1,1,1.0,,,
d_main_19_08_s_24,d_main_19_08_s,Speech,harran,harran,Locale_MainScenario:d_main_19_08_s_24,True,,1,idle_alt,,1,1,1.0,,,
