id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_subquest_1263_1,d_subquest_1263,Speech,neon,neon,Locale_SubScenario:d_subquest_1263_1,True,neon,4,idle,anis,2,idle,rapi,12,idle,CityForest_02,9,3,2.0,bgm_distress,,,,,
d_subquest_1263_2,d_subquest_1263,Speech,anis,anis,Locale_SubScenario:d_subquest_1263_2,True,,4,idle,,2,idle,,12,idle,,3,3,1.0,,,,,,
d_subquest_1263_3,d_subquest_1263,Speech,anis,anis,Locale_SubScenario:d_subquest_1263_3,True,,4,idle,,2,idle,,12,idle,,3,3,1.0,,,,,,
d_subquest_1263_4,d_subquest_1263,Narration,,Narration,Locale_SubScenario:d_subquest_1263_4,False,,4,idle,,2,idle,,12,idle,,black,black,1.0,,,,,,
d_subquest_1263_5,d_subquest_1263,Self,,Self,Locale_SubScenario:d_subquest_1263_5,False,,4,idle,,2,idle,,12,idle,,3,3,1.0,,,,,,
d_subquest_1263_6,d_subquest_1263,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1263_6,False,,4,idle,,2,idle,,12,idle,,3,1,0.5,,,,,,
d_subquest_1263_7,d_subquest_1263,Speech,neon,neon,Locale_SubScenario:d_subquest_1263_7,True,,4,surprise,,2,idle,,12,idle,,1,3,1.0,,,,,,
d_subquest_1263_8,d_subquest_1263,Speech,anis,anis,Locale_SubScenario:d_subquest_1263_8,True,,4,surprise,,2,idle,,12,idle,,3,20,1.0,,,,,,
d_subquest_1263_9,d_subquest_1263,Speech,anis,anis,Locale_SubScenario:d_subquest_1263_9,True,,4,surprise,,2,no,,12,idle,,20,20,1.0,,,,,,
d_subquest_1263_10,d_subquest_1263,Speech,anis,anis,Locale_SubScenario:d_subquest_1263_10,True,,4,idle,,2,no,,12,idle,,20,20,1.0,,,,,,
d_subquest_1263_11,d_subquest_1263,Self,anis,Self,Locale_SubScenario:d_subquest_1263_11,False,,4,idle,,2,no,,12,idle,,20,20,1.0,,,,,,
d_subquest_1263_12,d_subquest_1263,Speech,neon,neon,Locale_SubScenario:d_subquest_1263_12,True,,4,worry,,2,idle,,12,idle,,20,3,1.0,,,,,,
d_subquest_1263_13,d_subquest_1263,Speech,anis,anis,Locale_SubScenario:d_subquest_1263_13,True,,4,worry,,2,delight,,12,idle,,3,3,1.0,,,,,,
d_subquest_1263_14,d_subquest_1263,Narration,,Narration,Locale_SubScenario:d_subquest_1263_14,False,,4,idle,,2,idle,,12,idle,ArkRuinIndoor,4,12,2.0,bgm_inark,sfx_scn_autodooropen,black,,,
d_subquest_1263_15,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_15,True,,4,idle,,2,idle,,12,idle,,12,13,2.0,,,,refugee,14,idle
d_subquest_1263_16,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_16,True,,4,idle,,2,idle,,12,idle,,13,13,1.0,,,,,14,idle
d_subquest_1263_17,d_subquest_1263,Self,refugee,Self,Locale_SubScenario:d_subquest_1263_17,False,,4,idle,,2,idle,,12,idle,,13,13,1.0,,,,,14,idle
d_subquest_1263_18,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_18,False,,4,idle,,2,idle,,12,idle,,13,140,2.0,,,,,14,idle
d_subquest_1263_19,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_19,True,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_20,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_20,True,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_21,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_21,True,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_22,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_22,True,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_23,d_subquest_1263,Self,refugee,Self,Locale_SubScenario:d_subquest_1263_23,False,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_24,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_24,True,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_25,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_25,True,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_26,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_26,True,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_27,d_subquest_1263,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1263_27,True,,4,idle,,2,idle,,12,think,,140,13,1.0,,,,,14,idle
d_subquest_1263_28,d_subquest_1263,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1263_28,True,,4,idle,,2,idle,,12,idle,,13,13,1.0,,,,,14,idle
d_subquest_1263_29,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_29,True,,4,idle,,2,idle,,12,idle,,13,13,1.0,,,,,14,idle
d_subquest_1263_30,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_30,True,,4,idle,,2,void,,12,idle,,13,13,1.0,,,,,14,idle
d_subquest_1263_31,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_31,True,,4,idle,,2,void,,12,idle,,13,14,1.0,,,,,14,idle
d_subquest_1263_32,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_32,True,,4,idle,,2,void,,12,idle,,14,18,2.0,,,,,14,idle
d_subquest_1263_33,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_33,True,,4,idle,,2,void,,12,idle,,18,18,1.0,,,,,14,idle
d_subquest_1263_34,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_34,True,,4,idle,,2,void,,12,idle,,18,14,1.0,,,,,14,idle
d_subquest_1263_35,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_35,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_36,d_subquest_1263,Speech,anis,anis,Locale_SubScenario:d_subquest_1263_36,False,,4,idle,,2,worry,,12,idle,,14,2,2.0,,,,,14,idle
d_subquest_1263_37,d_subquest_1263,Self,refugee,Self,Locale_SubScenario:d_subquest_1263_37,False,,4,idle,,2,worry,,12,idle,,2,14,1.0,,,,,14,idle
d_subquest_1263_38,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_38,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_39,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_39,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_40,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_40,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_41,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_41,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_42,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_42,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_43,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_43,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_44,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_44,True,,4,idle,,2,void,,12,idle,,14,14,1.0,,,,,14,idle
d_subquest_1263_45,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_45,False,,4,idle,,2,void,,12,idle,,14,140,2.0,,,,,14,idle
d_subquest_1263_46,d_subquest_1263,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1263_46,True,,4,idle,,2,void,,12,idle,,140,140,1.0,,,,,14,idle
d_subquest_1263_47,d_subquest_1263,Self,refugee,Self,Locale_SubScenario:d_subquest_1263_47,False,,4,idle,,2,void,,12,idle,,140,140,1.0,,,,,14,idle
