id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_contents_elysiontower_01_1,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_1,True,ingrid,1,idle,MachineRoom,1,1,1.0,bgm_story_fairytalesend_a
d_contents_elysiontower_01_2,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_2,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_3,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_3,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_4,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_4,True,,1,angry,,1,1,1.0,
d_contents_elysiontower_01_5,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_5,True,,1,angry,,1,L_10,1.0,
d_contents_elysiontower_01_6,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_6,True,,1,angry,,L_10,L_100,0.5,
d_contents_elysiontower_01_7,d_contents_elysiontower_01,Self,ingrid,,Locale_SubScenario:d_contents_elysiontower_01_7,False,,1,angry,,L_100,L_100,1.0,
d_contents_elysiontower_01_8,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_8,True,,1,idle,,L_100,1,1.0,
d_contents_elysiontower_01_9,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_9,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_10,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_10,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_11,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_11,True,,1,angry,,1,L_10,1.0,
d_contents_elysiontower_01_12,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_12,True,,1,angry,,L_10,L_100,0.5,
d_contents_elysiontower_01_13,d_contents_elysiontower_01,Self,ingrid,,Locale_SubScenario:d_contents_elysiontower_01_13,False,,1,angry,,L_100,L_100,1.0,
d_contents_elysiontower_01_14,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_14,True,,1,idle,,L_100,1,1.0,
d_contents_elysiontower_01_15,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_15,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_16,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_16,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_17,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_17,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_18,d_contents_elysiontower_01,Self,ingrid,,Locale_SubScenario:d_contents_elysiontower_01_18,False,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_19,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_19,True,,1,idle,,1,1,1.0,
d_contents_elysiontower_01_20,d_contents_elysiontower_01,Speech,ingrid,ingrid,Locale_SubScenario:d_contents_elysiontower_01_20,True,,1,idle,,1,1,1.0,
