id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
d_main_35bf_01_1,d_main_35bf_01,Narration,Locale_MainScenario:d_main_35bf_01_1,False,rapi_red,13,idle,ingrid,1,idle,anis,3,void,neon,5,idle,Laboratory,black,black,1.0,bgm_story_fairytalesend_a,,
d_main_35bf_01_2,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_2,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,rapi_red,rapi_red
d_main_35bf_01_3,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_3,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_4,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_4,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_5,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_5,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_6,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_6,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_7,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_7,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_8,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_8,True,,13,idle,,1,idle,,3,worry,,5,surprise,,4,4,1.0,,anis,anis
d_main_35bf_01_9,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_9,True,,13,idle,,1,idle,,3,worry,,5,surprise,,4,4,1.0,,neon,neon
d_main_35bf_01_10,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_10,True,,13,idle,,1,angry,,3,worry,,5,surprise,,L_10,L_10,1.0,,ingrid,ingrid
d_main_35bf_01_11,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_11,False,,13,idle,,1,angry,,3,void,,5,worry,,4,4,1.0,,anis,anis
d_main_35bf_01_12,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_12,True,,13,idle,,1,angry,,3,void,,5,worry,,4,4,1.0,,neon,neon
d_main_35bf_01_13,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_13,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_14,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_14,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_15,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_15,True,,13,idle,,1,idle,,3,void,,5,idle,,12,12,1.0,,ingrid,ingrid
d_main_35bf_01_16,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_16,True,,13,idle,,1,idle,,3,void,,5,idle,,4,4,1.0,,anis,anis
d_main_35bf_01_17,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_17,True,,13,idle,,1,idle,,3,void,,5,idle,,4,4,1.0,,neon,neon
d_main_35bf_01_18,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_18,True,,13,idle,,1,idle,,3,void,,5,idle,,4,2,1.0,,ingrid,ingrid
d_main_35bf_01_19,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_19,True,,13,idle,,1,idle,,3,worry,,5,idle,,2,2,1.0,,anis,anis
d_main_35bf_01_20,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_20,True,,13,idle,,1,idle,,3,worry,,5,idle,,2,12,1.0,,rapi_red,rapi_red
d_main_35bf_01_21,d_main_35bf_01,Speech,Locale_MainScenario:d_main_35bf_01_21,True,,13,idle,,1,idle,,3,worry,,5,idle,,12,12,1.0,,ingrid,ingrid
