id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_29_06_s_1,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_1,True,CrystalCity,1,1,1.0,bgm_chapter29_field_drifting,shifty,OP_leftup,idle,,,,,anis,5,void,rapi,3,idle,elegg,1,delight,drilley,13,idle
d_main_29_06_s_2,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_2,True,,1,1,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,delight,,13,idle
d_main_29_06_s_3,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_3,True,,1,1,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,delight,,13,idle
d_main_29_06_s_4,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_4,True,,1,1,1.0,,,OP_leftup,delight,,,,,,5,void,,3,idle,,1,delight,,13,idle
d_main_29_06_s_5,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_5,True,,1,1,1.0,,,OP_leftup,delight,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_6,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_6,True,,1,1,1.0,,,OP_leftup,delight,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_7,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_7,True,,1,1,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_8,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_8,True,,1,1,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_9,d_main_29_06_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_06_s_9,True,,1,1,1.0,,,OP_leftup,idle,trony_op_r,OP_rightup,idle,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_10,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_10,True,,1,1,1.0,,,OP_leftup,idle,,OP_rightup,idle,trony_op_r,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_11,d_main_29_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_06_s_11,True,,1,3,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_12,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_12,True,,3,3,1.0,,,OP_leftup,worry,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_13,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_13,True,,3,3,1.0,,,OP_leftup,pain,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_14,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_14,True,,3,3,1.0,,,OP_leftup,pain,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_15,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_15,True,,3,3,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_16,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_16,True,,3,3,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,idle,,13,idle
d_main_29_06_s_17,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_17,True,,3,3,1.0,,,OP_leftup,idle,,,,,,5,void,,3,idle,,1,idle,,13,idle
