id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_observationpost_01_1,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_1,True,BriefingRoom,1,1,1.0,bgm_story_leisuretime,,signal,1,sad,delta,3,idle,,,,,
d_ex_observationpost_01_2,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_2,True,,1,1,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_3,d_ex_observationpost_01,Self,,,Locale_SuddenStory:d_ex_observationpost_01_3,True,,1,1,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_4,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_4,True,,1,XS_10,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_5,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_5,True,,XS_10,XS_10,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_6,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_6,True,,XS_10,XS_10,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_7,d_ex_observationpost_01,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_01_7,False,,XS_10,2,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_8,d_ex_observationpost_01,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_01_8,True,,2,2,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_9,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_9,True,,2,2,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_10,d_ex_observationpost_01,Narration,,,Locale_SuddenStory:d_ex_observationpost_01_10,True,,2,13,1.0,,sfx_scn_knock,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_11,d_ex_observationpost_01,Speech,unknown,unknown,Locale_SuddenStory:d_ex_observationpost_01_11,True,,13,13,1.0,,,,1,sad,,3,idle,,,,,
d_ex_observationpost_01_12,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_12,True,,13,13,1.0,,,,1,delight,,3,idle,,,,,
d_ex_observationpost_01_13,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_13,True,,13,13,1.0,,,,1,delight,,3,idle,,,,,
d_ex_observationpost_01_14,d_ex_observationpost_01,Narration,,,Locale_SuddenStory:d_ex_observationpost_01_14,True,,13,13,1.0,,,,1,delight,,3,idle,,julia,13,idle,
d_ex_observationpost_01_15,d_ex_observationpost_01,Speech,julia,julia,Locale_SuddenStory:d_ex_observationpost_01_15,True,,13,S_130,1.0,,,,1,delight,,3,idle,,,13,idle,
d_ex_observationpost_01_16,d_ex_observationpost_01,Speech,julia,julia,Locale_SuddenStory:d_ex_observationpost_01_16,True,,S_130,S_130,1.0,,,,1,delight,,3,idle,,,13,idle,
d_ex_observationpost_01_17,d_ex_observationpost_01,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_01_17,True,,S_30,S_30,1.0,,,,1,delight,,3,idle,,,13,idle,
d_ex_observationpost_01_18,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_18,True,,S_30,XS_10,0.5,,,,1,delight,,3,idle,,,13,idle,
d_ex_observationpost_01_19,d_ex_observationpost_01,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_01_19,True,,XS_10,XS_10,1.0,,,,1,delight,,3,idle,,,13,idle,
d_ex_observationpost_01_20,d_ex_observationpost_01,Speech,julia,julia,Locale_SuddenStory:d_ex_observationpost_01_20,True,,XS_10,S_130,1.0,,,,1,delight,,3,idle,,,13,idle,
d_ex_observationpost_01_21,d_ex_observationpost_01,Speech,julia,julia,Locale_SuddenStory:d_ex_observationpost_01_21,True,,S_130,S_130,1.0,,,,1,delight,,3,idle,,,13,idle,
