id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id,play_sound,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,set_camera_shake
d_main_12_07_s_1,d_main_12_07_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_07_s_1,True,vesti,9,idle,emma,7,idle,eunhwa,5,idle,rapi,3,idle,anis,1,void,neon,13,idle,laplace,15,idle,maxwell,17,idle,drake,19,idle,Factory,170,170,1.0,bgm_enemyclose,,,,,,,,,
d_main_12_07_s_2,d_main_12_07_s,Speech,emma,emma,Locale_MainScenario:d_main_12_07_s_2,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,70,70,1.0,,,,,,,,,,
d_main_12_07_s_3,d_main_12_07_s,Speech,emma,emma,Locale_MainScenario:d_main_12_07_s_3,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,70,70,1.0,,,,,,,,,,
d_main_12_07_s_4,d_main_12_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_12_07_s_4,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,30,30,1.0,,shifty,OP_leftup,idle,,,,,,
d_main_12_07_s_5,d_main_12_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_12_07_s_5,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,30,30,1.0,,,OP_leftup,think,,,,,,
d_main_12_07_s_6,d_main_12_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_12_07_s_6,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,30,30,1.0,,,OP_leftup,think,shifty,,,,,
d_main_12_07_s_7,d_main_12_07_s,Narration,rapi,,Locale_MainScenario:d_main_12_07_s_7,False,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,none,,,,,sfx_scn_fireblindly,,,,
d_main_12_07_s_8,d_main_12_07_s,Self,rapi,,Locale_MainScenario:d_main_12_07_s_8,False,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,,,,,
d_main_12_07_s_9,d_main_12_07_s,Monologue,rapi,,Locale_MainScenario:d_main_12_07_s_9,False,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,,,,,
d_main_12_07_s_10,d_main_12_07_s,Monologue,rapi,,Locale_MainScenario:d_main_12_07_s_10,False,,9,idle,,7,worry,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,,,,,
