id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id
d_main_03_07_1,d_main_03_07,Speech,mihara,mihara,Locale_MainScenario:d_main_03_07_1,True,rapi,1,idle,anis,3,void,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_02,1719,1719,1.0,bgm_risk,,
d_main_03_07_2,d_main_03_07,Speech,rapi,rapi,Locale_MainScenario:d_main_03_07_2,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1719,1719,1.0,,,
d_main_03_07_3,d_main_03_07,Speech,mihara,mihara,Locale_MainScenario:d_main_03_07_3,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1719,1719,1.0,,,
d_main_03_07_4,d_main_03_07,Speech,mihara,mihara,Locale_MainScenario:d_main_03_07_4,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1719,170,1.0,,,
d_main_03_07_5,d_main_03_07,Self,mihara,Self,Locale_MainScenario:d_main_03_07_5,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,,
d_main_03_07_6,d_main_03_07,Speech,mihara,mihara,Locale_MainScenario:d_main_03_07_6,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,,
d_main_03_07_7,d_main_03_07,Narration,mihara,Narration,Locale_MainScenario:d_main_03_07_7,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,sfx_scn_phonevibration,
d_main_03_07_8,d_main_03_07,Monologue,,,Locale_MainScenario:d_main_03_07_8,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,,
d_main_03_07_9,d_main_03_07,Monologue,,,Locale_MainScenario:d_main_03_07_9,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,,m_main_03_07
d_main_03_07_10,d_main_03_07,Monologue,,,Locale_MainScenario:d_main_03_07_10,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,,
d_main_03_07_11,d_main_03_07,Monologue,,,Locale_MainScenario:d_main_03_07_11,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,,,
d_main_03_07_12,d_main_03_07,Speech,neon,neon,Locale_MainScenario:d_main_03_07_12,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,S_130,S_130,1.0,,,
d_main_03_07_13,d_main_03_07,Self,neon,Self,Locale_MainScenario:d_main_03_07_13,False,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,S_130,S_130,1.0,,,
d_main_03_07_14,d_main_03_07,Speech,mihara,mihara,Locale_MainScenario:d_main_03_07_14,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,1700,1.0,,,
d_main_03_07_15,d_main_03_07,Self,mihara,Self,Locale_MainScenario:d_main_03_07_15,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1700,1700,1.0,,,
d_main_03_07_16,d_main_03_07,Speech,rapi,rapi,Locale_MainScenario:d_main_03_07_16,False,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,10,10,1.0,,,
d_main_03_07_17,d_main_03_07,Speech,rapi,rapi,Locale_MainScenario:d_main_03_07_17,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,10,100,1.0,,,
