id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable
d_ex_redash_07_1_1,d_ex_redash_07_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_07_1_1,False,Office,black,black,1.0,none,,,,commander,1,idle,,,
d_ex_redash_07_1_2,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_2,True,,1,1,1.0,event_bgm_redash_thankstogoddess,commander,Vignetting,,,1,idle,fx_Eventscene_camera_recording,rec,True
d_ex_redash_07_1_3,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_3,True,,1,1,1.0,,commander,Vignetting,,,1,idle,,,
d_ex_redash_07_1_4,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_4,True,,1,1,1.0,,commander,Vignetting,,,1,angry,,,
d_ex_redash_07_1_5,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_5,True,,1,1,1.0,,commander,Vignetting,,,1,angry,,,
d_ex_redash_07_1_6,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_6,True,,1,1,1.0,,commander,Vignetting,,,1,surprise,,,
d_ex_redash_07_1_7,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_7,True,,1,1,1.0,,commander,Vignetting,,,1,surprise,,,
d_ex_redash_07_1_8,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_8,True,,1,1,1.0,,commander,Vignetting,,,1,surprise,,,
d_ex_redash_07_1_9,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_9,False,,1,1,1.0,,commander,Vignetting,,,1,angry,,,
d_ex_redash_07_1_10,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_10,True,,1,1,1.0,,commander,Vignetting,,,1,no,,,
d_ex_redash_07_1_11,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_11,True,,1,1,1.0,,commander,Vignetting,,,1,no,,,
d_ex_redash_07_1_12,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_12,True,,1,1,1.0,,commander,Vignetting,,,1,no,,,
d_ex_redash_07_1_13,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_13,True,,1,1,1.0,,commander,Vignetting,,,1,no,,,
d_ex_redash_07_1_14,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_14,False,,1,1,1.0,none,commander,Vignetting,sfx_scn_heavytrip,,1,surprise,,,
d_ex_redash_07_1_15,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_15,True,,1,1,1.0,,commander,Vignetting,,,17,surprise,,,
d_ex_redash_07_1_16,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_16,True,,1,1,1.0,,commander,Vignetting,,,17,surprise,,,
d_ex_redash_07_1_17,d_ex_redash_07_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_07_1_17,False,,black,black,1.0,,,Vignetting,sfx_scn_windowclack,,17,surprise,,,
