id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_subquest_1064_1,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_1,True,IceLand_n,3,3,1.0,ambient_scn_wind,,,,rapi,3,idle,,neon,1,idle,,anis,13,idle,,,,,,,,,,,,,
d_subquest_1064_2,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_2,True,,3,3,1.0,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
d_subquest_1064_3,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_3,True,,3,3,1.0,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
d_subquest_1064_4,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_4,True,,3,2,1.0,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
d_subquest_1064_5,d_subquest_1064,Speech,anis,anis,Locale_SubScenario:d_subquest_1064_5,True,,2,12,1.0,,,,,,3,think,,,1,idle,,,13,worry,,,,,,,,,,,,,
d_subquest_1064_6,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_6,False,,12,12,1.0,,,,,,3,think,,,1,surprise,,,13,worry,,,,,,,,,,,,,
d_subquest_1064_7,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_7,True,,12,2,1.0,,,,,,3,idle,,,1,surprise,,,13,void,,,,,,,,,,,,,
d_subquest_1064_8,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_8,True,,2,2,1.0,,,,,,3,idle,,,1,surprise,,,13,void,,,,,,,,,,,,,
d_subquest_1064_9,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_9,True,,2,2,1.0,,,,,,3,idle,,,1,worry,,,13,void,,,,,,,,,,,,,
d_subquest_1064_10,d_subquest_1064,Speech,anis,anis,Locale_SubScenario:d_subquest_1064_10,True,,2,130,1.0,,,,,,3,idle,,,1,worry,,,13,sad,,,,,,,,,,,,,
d_subquest_1064_11,d_subquest_1064,Speech,anis,anis,Locale_SubScenario:d_subquest_1064_11,True,,130,130,1.0,,,,,,3,idle,,,1,worry,,,13,sad,,,,,,,,,,,,,
d_subquest_1064_12,d_subquest_1064,Speech,anis,anis,Locale_SubScenario:d_subquest_1064_12,True,,130,130,1.0,,,,,,3,idle,,,1,worry,,,13,pain,,,,,,,,,,,,,
d_subquest_1064_13,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_13,True,,130,S_10,1.0,,,,,,3,idle,,,1,idle,,,13,pain,,,,,,,,,,,,,
d_subquest_1064_14,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_14,True,,30,30,1.0,,,,,,3,idle,,,1,idle,,,13,pain,,,,,,,,,,,,,
d_subquest_1064_15,d_subquest_1064,Speech,anis,anis,Locale_SubScenario:d_subquest_1064_15,True,,30,30,1.0,,,,,,3,idle,,,1,idle,,,13,worry,,,,,,,,,,,,,
d_subquest_1064_16,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_16,True,,30,S_10,0.5,,,,,,3,idle,,,1,idle,,,13,worry,,,,,,,,,,,,,
d_subquest_1064_17,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_17,False,,5,5,1.0,bgm_story_inwonderland,Grey,black,,,3,idle,rapi,,1,idle,neon,,13,idle,anis,soldierfa,5,idle,,,,,,,,,
d_subquest_1064_18,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_18,False,,5,3,1.0,,Grey,,,,,,,,,,,,,,,,5,idle,,soldiereg,3,idle,,,,,
d_subquest_1064_19,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_19,False,,3,1,1.0,,Grey,,,,,,,,,,,,,,,,5,idle,,,3,idle,,idollocean,1,idle,
d_subquest_1064_20,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_20,False,,1,6001,1.0,,Grey,,,,,,,,,,,,,,,,5,idle,,,3,idle,soldiereg,,1,idle,idollocean
d_subquest_1064_21,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_21,False,,6001,6001,1.0,,Grey,,,,,,,,,,,,,,,,5,idle,,,,,,,,,
d_subquest_1064_22,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_22,False,,6001,2,1.0,,Grey,,,,,,,,,,,,,,,,5,idle,,soldiereg,3,idle,,idollocean,1,idle,
d_subquest_1064_23,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_23,False,,2,4,1.0,,Grey,,,,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,
d_subquest_1064_24,d_subquest_1064,Speech,rapi,anis,Locale_SubScenario:d_subquest_1064_24,True,,130,130,1.0,ambient_scn_wind,,white,,rapi,3,idle,,neon,1,idle,,anis,13,void,,,5,idle,soldierfa,,3,idle,soldiereg,,1,idle,idollocean
