id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_anim,characters/6/set_char_position,characters/6/hide_char_id
d_main_12_05_1,d_main_12_05,Speech,shifty,shifty,Locale_MainScenario:d_main_12_05_1,True,Factory,10,10,1.0,bgm_mystery,shifty,OP_leftup,no,,anis,1,idle,neon,13,idle,,,,,,,,,,,,,,,,
d_main_12_05_2,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_2,True,,10,10,1.0,,,,no,,,,idle,,,idle,,,,,,,,,,,,,,,,
d_main_12_05_3,d_main_12_05,Speech,shifty,shifty,Locale_MainScenario:d_main_12_05_3,True,,10,10,1.0,,,,no,,,,idle,,,idle,,,,,,,,,,,,,,,,
d_main_12_05_4,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_4,True,,10,10,1.0,,,,no,,,,idle,,,idle,,,,,,,,,,,,,,,,
d_main_12_05_5,d_main_12_05,Speech,shifty,shifty,Locale_MainScenario:d_main_12_05_5,True,,10,10,1.0,,,,think,,,,idle,,,idle,,maxwell,15,idle,,,,,,,,,,,,
d_main_12_05_6,d_main_12_05,Speech,neon,neon,Locale_MainScenario:d_main_12_05_6,True,,10,S_130,1.0,,,,idle,,,,idle,,,idle,,,,idle,,,,,,,,,,,,
d_main_12_05_7,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_7,True,,S_130,150,1.0,,,,idle,,,,idle,,,idle,,,,idle,,,,,,,,,,,,
d_main_12_05_8,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_8,True,,150,1500,1.0,,,,idle,,,,idle,,,idle,neon,,,idle,,,,,,,,,,,,
d_main_12_05_9,d_main_12_05,Speech,shifty,shifty,Locale_MainScenario:d_main_12_05_9,True,,1500,1500,1.0,,,,think,,,,idle,,,,,,,idle,,,,,,,,,,,,
d_main_12_05_10,d_main_12_05,Speech,shifty,shifty,Locale_MainScenario:d_main_12_05_10,True,,1500,1500,1.0,,,,think,,,,idle,,,,,,,idle,,rapi,5,idle,,,,,,,,
d_main_12_05_11,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_11,True,,1500,1500,1.0,,,,think,,,,idle,,,,,,,idle,,,,idle,,,,,,,,
d_main_12_05_12,d_main_12_05,Speech,shifty,shifty,Locale_MainScenario:d_main_12_05_12,True,,1500,1500,1.0,,,,idle,,,,idle,,,,,,,idle,,,,idle,,,,,,,,
d_main_12_05_13,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_13,True,,1500,150,1.0,,,,idle,shifty,,,idle,,,,,,,sad,,,,idle,,eunhwa,3,angry,,,,
d_main_12_05_14,d_main_12_05,Speech,rapi,rapi,Locale_MainScenario:d_main_12_05_14,True,,53,53,1.0,,,,,,,,idle,,,,,,,sad,,,,idle,,,,angry,,,,
d_main_12_05_15,d_main_12_05,Speech,rapi,rapi,Locale_MainScenario:d_main_12_05_15,True,,53,53,1.0,,,,,,,,idle,laplace,13,idle,,,,sad,,,,idle,,,,angry,,,,
d_main_12_05_16,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_16,True,,53,53,1.0,,,,,,,,idle,,,idle,,,,idle,,,,idle,,,,angry,,,,
d_main_12_05_17,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_17,True,,XS_130,XS_130,1.0,,,,,,,,idle,,,idle,,,,idle,,,,idle,,,,angry,,,,
d_main_12_05_18,d_main_12_05,Speech,rapi,rapi,Locale_MainScenario:d_main_12_05_18,True,,50,50,1.0,,,,,,,,idle,,,idle,,,,idle,,,,idle,,,,angry,,,,
d_main_12_05_19,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_19,True,,XS_130,XS_130,1.0,,,,,,,,idle,,,idle,,,,idle,,,,idle,rapi,,,angry,,,,
d_main_12_05_20,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_20,True,,XS_130,10,1.0,,,,,,,,void,,,idle,,,,idle,,,,,,,,angry,,,,
d_main_12_05_21,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_21,True,,10,10,1.0,,,,,,,,void,,,idle,,,,idle,,,,,,,,angry,,,,
d_main_12_05_22,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_22,True,,10,10,1.0,,,,,,,,void,,,idle,,,,idle,,,,,,,,angry,,,,
d_main_12_05_23,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_23,True,,10,31,1.0,,,,,,,,void,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_24,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_24,True,,31,113,1.0,,,,,,,,void,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_25,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_25,True,,113,113,1.0,,,,,,,,no,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_26,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_26,True,,113,113,1.0,,,,,,,,no,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_27,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_27,True,,113,113,1.0,,,,,,,,no,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_28,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_28,True,,113,113,1.0,,,,,,,,no,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_29,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_29,True,,113,1315,1.0,,,,,,,,no,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_30,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_30,True,,1315,1315,1.0,,,,,,,,idle,,,delight,,,,idle,,,,,,,,idle,,,,
d_main_12_05_31,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_31,True,,1315,1315,1.0,,,,,,,,idle,,,delight,,,,idle,,,,,,,,idle,drake,delight,,
d_main_12_05_32,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_32,True,,1315,1517,0.5,,,,,,,,idle,,,idle,,,,idle,,,,,,,,idle,,delight,17,
d_main_12_05_33,d_main_12_05,Speech,drake,drake,Locale_MainScenario:d_main_12_05_33,True,,1517,1517,1.0,,,,,,,,idle,,,idle,,,,idle,,,,,,,,idle,,delight,,
d_main_12_05_34,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_34,True,,1517,150,1.0,,,,,,,,idle,,,idle,,,,delight,,,,,,,,idle,,delight,,
d_main_12_05_35,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_35,True,,30,30,1.0,,,,,,,,idle,,,idle,,,,delight,,,,,,,,idle,,delight,,drake
d_main_12_05_36,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_36,True,,150,150,1.0,,,,,,,,idle,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_37,d_main_12_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_05_37,True,,150,150,1.0,,,,,,,,idle,,,idle,,,,idle,,,,,,,,idle,,,,
d_main_12_05_38,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_38,True,,30,30,1.0,,,,,,,,idle,,,idle,,,,idle,,emma,5,idle,,,,angry,,,,
d_main_12_05_39,d_main_12_05,Speech,emma,emma,Locale_MainScenario:d_main_12_05_39,True,,30,53,1.0,,,,,,,,idle,,,idle,,,,idle,,,5,idle,,,,angry,,,,
d_main_12_05_40,d_main_12_05,Narration,,Narration,Locale_MainScenario:d_main_12_05_40,True,,53,53,1.0,,,,,,,,idle,,,idle,,,15,idle,maxwell,,4,idle,,,,angry,,,,
d_main_12_05_41,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_41,False,,53,53,1.0,,,,,,,,idle,,,idle,,,,,,,5,idle,,,,idle,,,,
d_main_12_05_42,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_42,True,,53,30,1.0,,,,,,,,idle,,,idle,,,,,,,5,idle,,,,idle,,,,
d_main_12_05_43,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_43,True,,30,30,1.0,,,,,,,,idle,,,idle,,,,,,,5,idle,emma,,,idle,,,,
d_main_12_05_44,d_main_12_05,Speech,anis,anis,Locale_MainScenario:d_main_12_05_44,True,,30,31,1.0,,,,,,,,idle,,,idle,,,,,,rapi,5,idle,,,,idle,,,,
d_main_12_05_45,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_45,True,,31,31,1.0,,,,,,,,idle,,,idle,,,,,,,,idle,,,,angry,,,,
d_main_12_05_46,d_main_12_05,Speech,rapi,rapi,Locale_MainScenario:d_main_12_05_46,True,,31,53,1.0,,,,,,,,idle,,,idle,,,,,,,,idle,,,,angry,,,,
d_main_12_05_47,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_47,True,,53,53,1.0,,,,,,,,idle,,,idle,,,,,,,,idle,,,,idle,,,,
d_main_12_05_48,d_main_12_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_12_05_48,True,,53,53,1.0,,,,,,,,idle,,,idle,,,,,,,,idle,,,,idle,,,,
d_main_12_05_49,d_main_12_05,Speech,laplace,laplace,Locale_MainScenario:d_main_12_05_49,True,,XS_130,XS_1300,1.0,,,,,,,,idle,,,delight,,,,,,,,idle,,,,idle,,,,
