id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/5/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/1/hide_char_id,characters/0/hide_char_id,play_ambient,fade,play_movie,set_filter_01,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
d_main_34_09_e_1,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_1,True,behemoth,9,surprise,leviathan,7,idle,rapi,3,idle,anis,1,void,neon,13,idle,eunhwa_t,15,idle,BlackPuddle,90,9,1.0,bgm_chapter34_field_clash_b,,,,,,,,,,,,,,,,,,
d_main_34_09_e_2,d_main_34_09_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_e_2,True,,9,surprise,,7,angry,,3,idle,,1,void,,13,idle,,15,idle,,9,8,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_3,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_3,True,,9,good,,7,angry,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_4,d_main_34_09_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_e_4,True,,9,good,,7,special,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_5,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_5,True,,9,idle,,7,special,,3,idle,,1,void,,13,idle,,15,idle,,8,8,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_6,d_main_34_09_e,Monologue,behemoth,,Locale_MainScenario:d_main_34_09_e_6,False,,9,idle,,7,special,,3,idle,,1,void,,13,idle,,15,idle,,8,90,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_7,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_7,True,,9,idle,,7,special,,3,idle,,1,void,,13,idle,,15,idle,,90,90,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_8,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_8,True,,9,idle,,7,special,,3,idle,,1,void,,13,idle,,15,idle,,90,90,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_9,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_9,True,,9,idle,,7,special,,3,idle,,1,void,,13,idle,,15,idle,,90,90,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_10,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_10,True,,9,void,,7,special,,3,idle,,1,void,,13,idle,,15,idle,,90,90,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_11,d_main_34_09_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_09_e_11,False,,9,void,,7,special,,3,idle,,1,void,,13,idle,,15,angry,,150,150,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_12,d_main_34_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_34_09_e_12,False,,9,void,,7,special,,3,angry,,1,void,,13,idle,,15,angry,,30,30,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_13,d_main_34_09_e,Monologue,,,Locale_MainScenario:d_main_34_09_e_13,False,,9,void,,7,special,,3,angry,,1,void,,13,idle,,15,angry,,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_14,d_main_34_09_e,Monologue,,,Locale_MainScenario:d_main_34_09_e_14,False,,9,void,,7,special,,3,angry,,1,void,,13,idle,,15,angry,,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_15,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_15,True,,9,idle,,7,special,,3,angry,,1,void,,13,idle,,15,angry,,8,8,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_16,d_main_34_09_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_e_16,True,,9,idle,,7,smile,,3,angry,,1,void,,13,idle,,15,angry,,8,8,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_17,d_main_34_09_e,Speech,rapi,rapi,Locale_MainScenario:d_main_34_09_e_17,True,,9,idle,,7,smile,,3,angry,,1,void,,13,idle,,15,angry,,30,30,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_18,d_main_34_09_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_09_e_18,True,,9,idle,,7,smile,,3,angry,,1,void,,13,idle,,15,angry,,150,150,1.0,,,,,,,,,,,,,,,,,,,
d_main_34_09_e_19,d_main_34_09_e,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_e_19,True,,9,idle,,7,smile,,3,angry,,1,void,,13,idle,,15,angry,,90,90,1.0,,,,,,,,,,,,,,,,,,,
