id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_38_07_e_1,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_1,True,City,S_30,S_30,1.0,none,,neon,3,angry,anis,1,worry,,,,
d_main_38_07_e_2,d_main_38_07_e,Speech,anis,anis,Locale_MainScenario:d_main_38_07_e_2,True,,S_30,2,1.0,,,,3,angry,,1,worry,,,,
d_main_38_07_e_3,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_3,True,,2,2,1.0,,,,3,angry,,1,worry,,,,
d_main_38_07_e_4,d_main_38_07_e,Speech,anis,anis,Locale_MainScenario:d_main_38_07_e_4,True,,2,2,1.0,,,,3,angry,,1,worry,,,,
d_main_38_07_e_5,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_5,True,,2,2,1.0,bgm_story_weare,,,3,angry,,1,worry,,,,
d_main_38_07_e_6,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_6,True,,2,2,1.0,,,,3,angry,,1,worry,,,,
d_main_38_07_e_7,d_main_38_07_e,Speech,anis,anis,Locale_MainScenario:d_main_38_07_e_7,True,,2,2,1.0,,,,3,angry,,1,worry,,,,
d_main_38_07_e_8,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_8,True,,2,S_30,0.7,,,,3,surprise,,1,worry,,,,
d_main_38_07_e_9,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_9,True,,S_30,S_30,1.0,,,,3,surprise,,1,worry,,,,
d_main_38_07_e_10,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_10,True,,S_30,S_30,1.0,,,,3,surprise,,1,worry,,,,
d_main_38_07_e_11,d_main_38_07_e,Speech,anis,anis,Locale_MainScenario:d_main_38_07_e_11,True,,S_30,10,1.0,,,,3,surprise,,1,angry,,,,
d_main_38_07_e_12,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_12,True,,10,2,1.0,,,,3,surprise,,1,angry,,,,
d_main_38_07_e_13,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_13,True,,2,2,1.0,,,,3,surprise,,1,angry,,,,
d_main_38_07_e_14,d_main_38_07_e,Speech,anis,anis,Locale_MainScenario:d_main_38_07_e_14,True,,2,2,1.0,,,,3,surprise,,1,worry,,,,
d_main_38_07_e_15,d_main_38_07_e,Speech,anis,anis,Locale_MainScenario:d_main_38_07_e_15,True,,2,2,1.0,,,,3,surprise,,1,worry,,,,
d_main_38_07_e_16,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_16,True,,2,2,1.0,,,,3,surprise,,1,worry,,,,
d_main_38_07_e_17,d_main_38_07_e,Speech,anis,anis,Locale_MainScenario:d_main_38_07_e_17,True,,2,2,1.0,,,,3,surprise,,1,void,,,,
d_main_38_07_e_18,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_18,True,,2,2,1.0,,,,3,surprise,,1,void,,,,
d_main_38_07_e_19,d_main_38_07_e,Speech,neon,neon,Locale_MainScenario:d_main_38_07_e_19,True,,2,2,1.0,,,,3,surprise,,1,void,,,,
