id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
d_main_32_04_1,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_1,True,CrystalCity,13,13,1.0,bgm_chapter32_field_advance_a,,grave,1,idle,,eunhwa,13,idle,,anis,15,idle,,,,vesti,17,delight,,,,,,,
d_main_32_04_2,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_2,True,,13,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_3,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_3,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_4,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_4,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_5,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_5,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_6,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_6,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_7,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_7,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_8,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_8,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_9,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_9,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_10,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_10,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_11,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_11,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_12,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_12,True,,113,113,1.0,,,,1,idle,,,13,idle,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_13,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_13,False,,113,13,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_14,d_main_32_04,Speech,anis,anis,Locale_MainScenario:d_main_32_04_14,True,,13,1315,1.0,,,,1,idle,,,13,angry,,,15,delight,,,,,17,delight,,,,,,,
d_main_32_04_15,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_15,True,,1315,1315,1.0,,,,1,idle,,,13,angry,,,15,delight,,,,,17,delight,,,,,,,
d_main_32_04_16,d_main_32_04,Speech,anis,anis,Locale_MainScenario:d_main_32_04_16,True,,1315,1315,1.0,,,,1,idle,,,13,angry,,,15,no,,,,,17,delight,,,,,,,
d_main_32_04_17,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_17,False,,1315,1315,1.0,,,,1,idle,,,13,angry,,,15,no,,,,,17,delight,,,,,,,
d_main_32_04_18,d_main_32_04,Speech,vesti,vesti,Locale_MainScenario:d_main_32_04_18,True,,XS_170,XS_170,1.0,,,,1,idle,,,13,angry,,,15,no,,,,,17,delight,,,,,,,
d_main_32_04_19,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_19,True,,L_10,L_10,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_20,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_20,True,,L_10,113,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,17,delight,,,,,,,
d_main_32_04_21,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_21,True,,113,113,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,17,delight,vesti,,,,,,
d_main_32_04_22,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_22,True,,113,113,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,
d_main_32_04_23,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_23,True,,113,113,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,
d_main_32_04_24,d_main_32_04,Speech,grave,grave,Locale_MainScenario:d_main_32_04_24,True,,113,113,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,
d_main_32_04_25,d_main_32_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_04_25,True,,113,113,1.0,,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,
d_main_32_04_26,d_main_32_04,Monologue,grave,,Locale_MainScenario:d_main_32_04_26,False,,black,black,1.0,,,,9,idle,grave,,7,angry,eunhwa,,15,idle,rapi,13,idle,vesti,1,idle,,emma,3,idle,neon,17,idle
d_main_32_04_27,d_main_32_04,Self,grave,,Locale_MainScenario:d_main_32_04_27,False,,31,31,1.0,,,,,,,,,,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
d_main_32_04_28,d_main_32_04,Speech,vesti,vesti,Locale_MainScenario:d_main_32_04_28,True,,31,31,1.0,,,,,,,,,,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
d_main_32_04_29,d_main_32_04,Speech,vesti,vesti,Locale_MainScenario:d_main_32_04_29,True,,31,31,1.0,,,,,,,,,,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
d_main_32_04_30,d_main_32_04,Speech,emma,emma,Locale_MainScenario:d_main_32_04_30,True,,31,31,1.0,,,,,,,,,,,,15,idle,,13,idle,,1,idle,,,3,delight,,17,idle
d_main_32_04_31,d_main_32_04,Monologue,emma,,Locale_MainScenario:d_main_32_04_31,False,,black,black,1.0,,black,grave,9,idle,,eunhwa,7,angry,,,15,idle,,13,idle,,1,idle,,,3,delight,,17,idle
d_main_32_04_32,d_main_32_04,Monologue,eunhwa,,Locale_MainScenario:d_main_32_04_32,False,,6,97,1.5,,,,9,idle,,,7,angry,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
d_main_32_04_33,d_main_32_04,Monologue,eunhwa,,Locale_MainScenario:d_main_32_04_33,False,,97,97,1.0,,,,9,idle,,,7,angry,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
d_main_32_04_34,d_main_32_04,Speech,vesti,vesti,Locale_MainScenario:d_main_32_04_34,True,,113,113,1.0,,,,9,idle,,,7,angry,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
d_main_32_04_35,d_main_32_04,Speech,rapi,rapi,Locale_MainScenario:d_main_32_04_35,True,,113,113,1.0,,,,9,idle,,,7,angry,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
d_main_32_04_36,d_main_32_04,Speech,vesti,vesti,Locale_MainScenario:d_main_32_04_36,True,,113,113,1.0,,,,9,idle,,,7,angry,,,15,idle,,13,idle,,1,idle,,,3,idle,,17,idle
