id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade
d_ex_cafe_06_1,d_ex_cafe_06,Narration,Narration,Locale_SuddenStory:d_ex_cafe_06_1,False,Cafe,black,black,1.0,sfx_scn_autodooropen,,,,,,,,,,,,,,,
d_ex_cafe_06_2,d_ex_cafe_06,Speech,frima,Locale_SuddenStory:d_ex_cafe_06_2,True,,14,14,1.0,,frima,frima,15,idle,bgm_story_tuffguys,,,,,,,,,,
d_ex_cafe_06_3,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_3,True,,14,14,1.0,,milk,,15,idle,,milk,13,delight,,,,,,,
d_ex_cafe_06_4,d_ex_cafe_06,Self,Self,Locale_SuddenStory:d_ex_cafe_06_4,False,,14,14,1.0,,,,15,idle,,,13,delight,,,,,,,
d_ex_cafe_06_5,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_5,True,,14,14,1.0,,milk,,15,idle,,,13,good,,,,,,,
d_ex_cafe_06_6,d_ex_cafe_06,Self,Self,Locale_SuddenStory:d_ex_cafe_06_6,False,,14,14,1.0,,,,15,idle,,,13,good,,,,,,,
d_ex_cafe_06_7,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_7,True,,14,14,1.0,,milk,,15,idle,,,13,good,,,,,,,
d_ex_cafe_06_8,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_8,True,,14,14,1.0,,milk,,15,idle,,,13,good,,,,,,,
d_ex_cafe_06_9,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_9,True,,14,14,1.0,,milk,,15,idle,,,13,good,,,,,,,
d_ex_cafe_06_10,d_ex_cafe_06,Speech,frima,Locale_SuddenStory:d_ex_cafe_06_10,True,,14,14,1.0,,frima,,15,no,,,13,idle,,,,,,,
d_ex_cafe_06_11,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_11,True,,14,14,1.0,,milk,,15,no,,,13,no,,,,,,,
d_ex_cafe_06_12,d_ex_cafe_06,Speech,frima,Locale_SuddenStory:d_ex_cafe_06_12,True,,14,14,1.0,,frima,,15,no,,,13,no,,,,,,,
d_ex_cafe_06_13,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_13,True,,14,14,1.0,,milk,,15,no,,,13,angry,,,,,,,
d_ex_cafe_06_14,d_ex_cafe_06,Self,Self,Locale_SuddenStory:d_ex_cafe_06_14,False,,14,14,1.0,,,,15,think,,,13,angry,,,,,,,
d_ex_cafe_06_15,d_ex_cafe_06,Self,Self,Locale_SuddenStory:d_ex_cafe_06_15,False,,14,14,1.0,,,,15,think,,,13,angry,,,,,,,
d_ex_cafe_06_16,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_16,True,,14,14,1.0,,milk,,15,idle,,,13,idle,,,,,,,
d_ex_cafe_06_17,d_ex_cafe_06,Narration,Narration,Locale_SuddenStory:d_ex_cafe_06_17,False,,14,3,1.5,sfx_scn_autodooropen,,,15,idle,none,,13,idle,,,,,,,
d_ex_cafe_06_18,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_18,True,,3,3,1.0,,tia,,15,idle,bgm_story_leisuretime,,13,idle,tia,3,idle,,,,
d_ex_cafe_06_19,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_19,True,,3,3,1.0,,tia,,15,idle,,,13,idle,,3,idle,,,,
d_ex_cafe_06_20,d_ex_cafe_06,Narration,Narration,Locale_SuddenStory:d_ex_cafe_06_20,False,,3,300,0.5,,,,15,idle,,,13,idle,,3,delight,,,,
d_ex_cafe_06_21,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_21,True,,300,300,1.0,,tia,,15,idle,,,13,idle,,3,delight,,,,
d_ex_cafe_06_22,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_22,True,,300,300,1.0,,naga,,15,idle,,,13,idle,,3,delight,naga,1,worry,
d_ex_cafe_06_23,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_23,True,,300,300,1.0,,naga,,15,idle,,,13,idle,,3,delight,,1,worry,
d_ex_cafe_06_24,d_ex_cafe_06,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_06_24,False,,300,2,0.5,,,,15,idle,,,13,idle,,3,delight,,1,worry,
d_ex_cafe_06_25,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_25,True,,2,2,1.0,,naga,,15,idle,,,13,idle,,3,delight,,1,delight,
d_ex_cafe_06_26,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_26,True,,2,2,1.0,,naga,,15,idle,,,13,idle,,3,delight,,1,delight,
d_ex_cafe_06_27,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_27,True,,2,2,1.0,,naga,,15,idle,,,13,idle,,3,delight,,1,delight,
d_ex_cafe_06_28,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_28,True,,2,2,1.0,,tia,,15,idle,,,13,idle,,3,delight,,1,delight,
d_ex_cafe_06_29,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_29,True,,2,2,1.0,,tia,,15,idle,,,13,idle,,3,delight,,1,delight,
d_ex_cafe_06_30,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_30,True,,2,14,1.0,,milk,,15,idle,,,13,idle,,3,delight,,1,delight,
d_ex_cafe_06_31,d_ex_cafe_06,Speech,frima,Locale_SuddenStory:d_ex_cafe_06_31,True,,14,14,1.0,,frima,,15,idle,,,13,idle,,3,delight,,1,delight,
d_ex_cafe_06_32,d_ex_cafe_06,Self,Self,Locale_SuddenStory:d_ex_cafe_06_32,False,,14,14,1.0,,,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_33,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_33,True,,14,3,1.0,,milk,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_34,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_34,True,,3,3,1.0,,milk,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_35,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_35,True,,3,3,1.0,,tia,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_36,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_36,True,,3,3,1.0,,tia,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_37,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_37,True,,3,3,1.0,,tia,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_38,d_ex_cafe_06,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_06_38,False,,black,black,1.0,,,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_39,d_ex_cafe_06,Speech,frima,Locale_SuddenStory:d_ex_cafe_06_39,True,,14,14,1.0,,frima,,15,delight,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_40,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_40,True,,14,12,1.0,,naga,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_41,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_41,True,,12,12,1.0,,milk,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_42,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_42,True,,12,12,1.0,,milk,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_43,d_ex_cafe_06,Narration,Narration,Locale_SuddenStory:d_ex_cafe_06_43,False,,black,black,1.0,,,,15,idle,none,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_44,d_ex_cafe_06,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_06_44,False,,black,black,1.0,,,,15,idle,bgm_story_languor,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_45,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_45,True,,130,130,1.0,,milk,,15,idle,,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_46,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_46,True,,130,130,1.0,,tia,,15,idle,,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_47,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_47,True,,130,130,1.0,,tia,,15,idle,,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_48,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_48,True,,130,130,1.0,,milk,,15,idle,,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_49,d_ex_cafe_06,Speech,frima,Locale_SuddenStory:d_ex_cafe_06_49,True,,130,14,1.0,,frima,,15,idle,,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_50,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_50,True,,14,12,1.0,,naga,,15,idle,,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_51,d_ex_cafe_06,Speech,naga,Locale_SuddenStory:d_ex_cafe_06_51,True,,12,12,1.0,,naga,,15,idle,,,13,surprise,,3,idle,,1,idle,
d_ex_cafe_06_52,d_ex_cafe_06,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_06_52,False,,black,black,1.0,,,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_53,d_ex_cafe_06,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_06_53,False,,black,black,1.0,,,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_54,d_ex_cafe_06,Narration,Narration,Locale_SuddenStory:d_ex_cafe_06_54,False,,3,3,1.0,sfx_scn_shutter,,,15,idle,,,13,idle,,3,idle,,1,idle,
d_ex_cafe_06_55,d_ex_cafe_06,Speech,milk,Locale_SuddenStory:d_ex_cafe_06_55,False,,3,3,1.0,,milk,,15,idle,,,13,idle,,3,worry,,1,idle,
d_ex_cafe_06_56,d_ex_cafe_06,Speech,tia,Locale_SuddenStory:d_ex_cafe_06_56,True,,3,30,1.0,,tia,,15,idle,,,13,idle,,3,worry,,1,idle,
d_ex_cafe_06_57,d_ex_cafe_06,Narration,Narration,Locale_SuddenStory:d_ex_cafe_06_57,False,,30,30,1.0,sfx_scn_shutter,,,15,idle,,,13,idle,,3,worry,,1,idle,
