id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_subquest_1330_e_1,d_subquest_1330_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1330_e_1,True,DestroyedStreet,10,10,1.0,bgm_collapse,,neon,5,idle,anis,3,void,rapi,1,idle,privaty,13,idle,yulha,15,idle,admi,17,idle
d_subquest_1330_e_2,d_subquest_1330_e,Self,rapi,,Locale_SubScenario:d_subquest_1330_e_2,False,,10,10,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_3,d_subquest_1330_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1330_e_3,True,,10,10,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_4,d_subquest_1330_e,Narration,,,Locale_SubScenario:d_subquest_1330_e_4,False,,black,black,1.0,,black,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_5,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_5,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_6,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_6,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,sad,,15,idle,,17,idle
d_subquest_1330_e_7,d_subquest_1330_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1330_e_7,True,,30,30,1.0,,,,5,idle,,3,angry,,1,idle,,13,sad,,15,idle,,17,idle
d_subquest_1330_e_8,d_subquest_1330_e,Speech,yulha,yulha,Locale_SubScenario:d_subquest_1330_e_8,True,,L_150,L_150,1.0,,,,5,idle,,3,angry,,1,idle,,13,idle,,15,sad,,17,idle
d_subquest_1330_e_9,d_subquest_1330_e,Speech,yulha,yulha,Locale_SubScenario:d_subquest_1330_e_9,True,,L_150,L_150,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,sad,,17,idle
d_subquest_1330_e_10,d_subquest_1330_e,Speech,yulha,yulha,Locale_SubScenario:d_subquest_1330_e_10,True,,L_150,L_150,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_11,d_subquest_1330_e,Speech,admi,admi,Locale_SubScenario:d_subquest_1330_e_11,True,,L_150,XS_170,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
