id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
d_main_38_09_e_1,d_main_38_09_e,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_38_09_e_1,True,SilverBog,4,4,1.0,event_bgm_ubsphere_hunger_loop,,,,,,laplace_p,5,angry_02,,drake_p,3,angry,,maxwell_p,1,worry,,rapi_red,13,angry,,ziz,15,idle,,leviathan,17,pain,,,,,,,,,,,,,
d_main_38_09_e_2,d_main_38_09_e,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_38_09_e_2,True,,4,2,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,idle,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_3,d_main_38_09_e,Speech,drake_p,drake_p,Locale_MainScenario:d_main_38_09_e_3,True,,2,2,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,idle,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_4,d_main_38_09_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_09_e_4,True,,2,13,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,idle,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_5,d_main_38_09_e,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_09_e_5,True,,13,13,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,idle,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_6,d_main_38_09_e,Self,rapi_red,,Locale_MainScenario:d_main_38_09_e_6,False,,13,16,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,idle,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_7,d_main_38_09_e,Speech,ziz,ziz,Locale_MainScenario:d_main_38_09_e_7,True,,16,16,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,rage,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_8,d_main_38_09_e,Speech,leviathan,leviathan,Locale_MainScenario:d_main_38_09_e_8,True,,16,16,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,rage,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_9,d_main_38_09_e,Speech,ziz,ziz,Locale_MainScenario:d_main_38_09_e_9,True,,16,16,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,sad,,,17,pain,,,,,,,,,,,,,
d_main_38_09_e_10,d_main_38_09_e,Self,ziz,,Locale_MainScenario:d_main_38_09_e_10,False,,16,16,1.0,,,,,,,,5,angry_02,,,3,angry,,,1,worry,,,13,angry,,,15,sad,,,17,pain,,,,,,,,,,,,,
