id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id
d_main_09af_05_1,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_1,True,exia,1,idle,rapi,3,idle,anis,5,pain,neon,7,idle,novel,13,idle,BriefingRoom,S_10,S_10,1.0,bgm_story_marrybad,
d_main_09af_05_2,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_2,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,idle,,S_10,S_10,1.0,,
d_main_09af_05_3,d_main_09af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_05_3,False,,1,idle,,3,idle,,5,pain,,7,idle,,13,idle,,S_10,53,1.0,,
d_main_09af_05_4,d_main_09af_05,Speech,anis,anis,Locale_MainScenario:d_main_09af_05_4,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,idle,,53,53,1.0,,
d_main_09af_05_5,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_5,True,,1,idle,,3,idle,,5,pain,,7,worry,,13,idle,,53,S_10,1.0,,
d_main_09af_05_6,d_main_09af_05,Speech,neon,neon,Locale_MainScenario:d_main_09af_05_6,True,,1,idle,,3,idle,,5,pain,,7,worry,,13,idle,,S_70,S_70,1.0,,
d_main_09af_05_7,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_7,False,,1,idle,,3,idle,,5,pain,,7,worry,,13,idle,,S_10,S_10,1.0,,
d_main_09af_05_8,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_8,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,idle,,S_10,S_10,1.0,,
d_main_09af_05_9,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_9,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,idle,,S_10,S_10,1.0,,
d_main_09af_05_10,d_main_09af_05,Speech,novel,novel,Locale_MainScenario:d_main_09af_05_10,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,S_10,113,1.0,,
d_main_09af_05_11,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_11,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,113,1.0,,
d_main_09af_05_12,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_12,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,113,1.0,,
d_main_09af_05_13,d_main_09af_05,Speech,novel,novel,Locale_MainScenario:d_main_09af_05_13,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,113,1.0,,
d_main_09af_05_14,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_14,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,113,1.0,,
d_main_09af_05_15,d_main_09af_05,Speech,novel,novel,Locale_MainScenario:d_main_09af_05_15,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,113,1.0,,
d_main_09af_05_16,d_main_09af_05,Speech,novel,novel,Locale_MainScenario:d_main_09af_05_16,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,113,1.0,,
d_main_09af_05_17,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_17,False,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,113,1.0,,
d_main_09af_05_18,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_18,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,113,S_10,1.0,,
d_main_09af_05_19,d_main_09af_05,Narration,,,Locale_MainScenario:d_main_09af_05_19,False,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,S_10,S_10,1.0,,
d_main_09af_05_20,d_main_09af_05,Speech,exia,exia,Locale_MainScenario:d_main_09af_05_20,True,,1,idle,,3,idle,,5,pain,,7,idle,,13,think,,S_10,S_10,1.0,,
