id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_powerplant_08_1,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_1,True,TechIndoor,4,4,1.0,none,,,tove,5,idle,,quency_e,3,idle_2,,,,
d_ex_powerplant_08_2,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_2,True,,4,4,1.0,bgm_story_orangepop,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_3,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_3,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_4,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_4,True,,4,4,1.0,,,,,5,idle,,,3,delight_2,,,,
d_ex_powerplant_08_5,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_5,True,,4,4,1.0,,,,,5,idle,,,3,delight_2,,,,
d_ex_powerplant_08_6,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_6,True,,4,4,1.0,,,,,5,surprise,,,3,delight_2,,,,
d_ex_powerplant_08_7,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_7,True,,4,4,1.0,,,,,5,surprise,,,3,delight_2,,,,
d_ex_powerplant_08_8,d_ex_powerplant_08,Self,tove,,Locale_SuddenStory:d_ex_powerplant_08_8,False,,4,4,1.0,,,,,5,surprise,,,3,delight_2,,,,
d_ex_powerplant_08_9,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_9,True,,4,S_30,1.0,,,,,5,surprise,,,3,think_2,,,,
d_ex_powerplant_08_10,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_10,True,,S_30,S_30,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_11,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_11,True,,S_30,S_30,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_12,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_12,True,,S_30,S_30,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_13,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_13,True,,S_50,S_50,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_14,d_ex_powerplant_08,Self,tove,,Locale_SuddenStory:d_ex_powerplant_08_14,False,,S_50,S_50,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_15,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_15,True,,S_30,S_30,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_16,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_16,True,,S_30,S_30,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_17,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_17,True,,S_30,S_30,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_18,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_18,True,,S_30,3,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_19,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_19,True,,3,3,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_20,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_20,True,,3,S_50,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_21,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_21,True,,S_50,S_50,1.0,,,,,5,sad,,,3,idle_2,,,,
d_ex_powerplant_08_22,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_22,True,,S_50,S_50,1.0,,,,,5,sad,,,3,idle_2,,,,
d_ex_powerplant_08_23,d_ex_powerplant_08,Self,tove,,Locale_SuddenStory:d_ex_powerplant_08_23,False,,S_50,S_50,1.0,,,,,5,sad,,,3,idle_2,,,,
d_ex_powerplant_08_24,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_24,True,,S_50,5,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_25,d_ex_powerplant_08,Self,tove,,Locale_SuddenStory:d_ex_powerplant_08_25,False,,5,5,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_26,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_26,True,,5,4,1.0,,,,,5,idle,,,3,delight_2,,,,
d_ex_powerplant_08_27,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_27,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_28,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_28,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_29,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_29,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_30,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_30,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_31,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_31,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_32,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_32,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_33,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_33,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_34,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_34,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_35,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_35,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_36,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_36,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_37,d_ex_powerplant_08,Narration,quency_e,,Locale_SuddenStory:d_ex_powerplant_08_37,False,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_38,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_38,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_39,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_39,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_40,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_40,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_41,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_41,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_42,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_42,True,,4,4,1.0,,,,,5,surprise,,,3,delight_2,,,,
d_ex_powerplant_08_43,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_43,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_44,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_44,True,,4,4,1.0,,,,,5,surprise,,,3,idle_2,,,,
d_ex_powerplant_08_45,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_45,True,,4,4,1.0,,,,,5,delight,,,3,idle_2,,,,
d_ex_powerplant_08_46,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_46,True,,4,4,1.0,,,,,5,delight,,,3,idle_2,,,,
d_ex_powerplant_08_47,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_47,True,,4,4,1.0,,,,,5,delight,,,3,idle_2,,,,
d_ex_powerplant_08_48,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_48,True,,4,4,1.0,,,,,5,delight,,,3,idle_2,,,,
d_ex_powerplant_08_49,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_49,True,,4,4,1.0,,,,,5,delight,,,3,idle_2,,,,
d_ex_powerplant_08_50,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_50,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_51,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_51,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_52,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_52,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_53,d_ex_powerplant_08,Speech,quency_e,quency_e,Locale_SuddenStory:d_ex_powerplant_08_53,True,,4,4,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_54,d_ex_powerplant_08,Speech,tove,tove,Locale_SuddenStory:d_ex_powerplant_08_54,True,,4,S_50,1.0,,,,,5,idle,,,3,idle_2,,,,
d_ex_powerplant_08_55,d_ex_powerplant_08,Monologue,tove,,Locale_SuddenStory:d_ex_powerplant_08_55,False,,S_50,S_50,1.0,,,,,5,idle,,,3,idle_2,,,,
