id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_01
d_main_24_09_1,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_1,True,rapi,3,idle,neon,1,idle,anis,13,idle,NikkeRoom,10,10,1.0,bgm_inark,,,,,,,,,,,,,
d_main_24_09_2,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_2,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,,,,,,
d_main_24_09_3,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_3,True,,3,idle,,1,idle,,13,idle,,10,2,1.0,,,,,,,,,,,,,,
d_main_24_09_4,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_4,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,,,,,,
d_main_24_09_5,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_5,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,,,,,,
d_main_24_09_6,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_6,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,,,,,,
d_main_24_09_7,d_main_24_09,Self,,Self,Locale_MainScenario:d_main_24_09_7,False,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,,,,,,
d_main_24_09_8,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_8,True,,3,idle,,1,worry,,13,idle,,2,10,2.0,,,,,,,,,,,,,,
d_main_24_09_9,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_9,True,,3,idle,,1,worry,,13,idle,Jail,1,1,1.0,,rapi,neon,anis,crow,2,idle,ingrid,12,angry,black,,,
d_main_24_09_10,d_main_24_09,Speech,crow,crow,Locale_MainScenario:d_main_24_09_10,True,,,,,,,,,,,1,1,1.0,,,,,,2,idle,,12,angry,,,,
d_main_24_09_11,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_11,True,,,,,,,,,,,1,1,1.0,,,,,,2,idle,,12,idle,,,,
d_main_24_09_12,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_12,True,,,,,,,,,,,1,1,1.0,,,,,,2,idle,,12,idle,,,,
d_main_24_09_13,d_main_24_09,Speech,crow,crow,Locale_MainScenario:d_main_24_09_13,True,,,,,,,,,,,1,1,1.0,,,,,,2,smile,,12,idle,,,,
d_main_24_09_14,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_14,False,,,,,,,,,,,1,L_120,2.0,,,,,,2,smile,,12,think,,,,
d_main_24_09_15,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_15,True,,,,,,,,,,,L_120,L_120,1.0,,,,,,2,idle,,12,idle,,,,
d_main_24_09_16,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_16,True,,,,,,,,,,,L_120,L_120,1.0,,,,,,2,idle,,12,idle,,,,
d_main_24_09_17,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_17,True,,,,,,,,,,,L_120,L_120,1.0,,,,,,2,idle,,12,idle,,,,
d_main_24_09_18,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_18,True,,,,,,,,,,,L_120,1,1.0,,,,,,2,idle,,12,idle,,,,
d_main_24_09_19,d_main_24_09,Speech,crow,crow,Locale_MainScenario:d_main_24_09_19,True,,,,,,,,,,,1,1,1.0,,,,,,2,idle,,12,idle,,,,
d_main_24_09_20,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_20,True,,,,,,,,,,,1,1,1.0,,,,,,2,idle,,12,angry,,,,
d_main_24_09_21,d_main_24_09,Speech,ingrid,ingrid,Locale_MainScenario:d_main_24_09_21,True,,,,,,,,,,,1,1,1.0,,,,,,2,idle,,12,angry,,,,
d_main_24_09_22,d_main_24_09,Speech,crow,crow,Locale_MainScenario:d_main_24_09_22,True,,,,,,,,,,,1,20,1.0,,,,,,2,smile,,12,idle,,,,
d_main_24_09_23,d_main_24_09,Speech,crow,crow,Locale_MainScenario:d_main_24_09_23,True,,,,,,,,,,,20,20,1.0,,,,,,2,smile,,12,idle,,,,
d_main_24_09_24,d_main_24_09,Speech,crow,crow,Locale_MainScenario:d_main_24_09_24,True,,,,,,,,,,,20,20,1.0,,,,,,2,delight,,12,idle,,,,
d_main_24_09_25,d_main_24_09,Speech,crow,crow,Locale_MainScenario:d_main_24_09_25,True,,,,,,,,,,,20,200,1.0,,,,,,2,delight,,12,idle,,,,
d_main_24_09_26,d_main_24_09,Speech,neon,neon,Locale_MainScenario:d_main_24_09_26,True,rapi,3,idle,neon,1,idle,anis,13,idle,NikkeRoom,12,12,1.0,,,,,,2,delight,,12,idle,black,crow,ingrid,
d_main_24_09_27,d_main_24_09,Speech,anis,anis,Locale_MainScenario:d_main_24_09_27,True,,3,idle,,1,idle,,13,no,,12,12,1.0,,,,,,,,,,,,,,
d_main_24_09_28,d_main_24_09,Self,,Self,Locale_MainScenario:d_main_24_09_28,False,,3,idle,,1,idle,,13,no,,12,12,1.0,,,,,,,,,,,,,,
d_main_24_09_29,d_main_24_09,Speech,anis,anis,Locale_MainScenario:d_main_24_09_29,True,,3,idle,,1,idle,,13,worry,,12,12,1.0,none,,,,,,,,,,,,,
d_main_24_09_30,d_main_24_09,Speech,doban,doban,Locale_MainScenario:d_main_24_09_30,True,,3,idle,,1,idle,,13,worry,Office,1,1,1.0,bgm_mystery,rapi,neon,anis,doban,2,idle,mustang,12,idle,black,,,
d_main_24_09_31,d_main_24_09,Speech,doban,doban,Locale_MainScenario:d_main_24_09_31,True,,,,,,,,,,,1,1,1.0,,,,,,2,angry,,12,idle,,,,
