id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id
d_ex_clothingstore_10_1,d_ex_clothingstore_10,Narration,Locale_SuddenStory:d_ex_clothingstore_10_1,False,ClothingStore,1,1,2.0,sfx_scn_toyshopbell,none,,,,,,,,,
d_ex_clothingstore_10_2,d_ex_clothingstore_10,Self,Locale_SuddenStory:d_ex_clothingstore_10_2,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_10_3,d_ex_clothingstore_10,Monologue,Locale_SuddenStory:d_ex_clothingstore_10_3,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_10_4,d_ex_clothingstore_10,Self,Locale_SuddenStory:d_ex_clothingstore_10_4,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_10_5,d_ex_clothingstore_10,Narration,Locale_SuddenStory:d_ex_clothingstore_10_5,False,,black,black,1.0,sfx_scn_heavytrip,,,,,,,,,,
d_ex_clothingstore_10_6,d_ex_clothingstore_10,Monologue,Locale_SuddenStory:d_ex_clothingstore_10_6,False,,black,black,1.0,,,,,,,,,,,
d_ex_clothingstore_10_7,d_ex_clothingstore_10,Self,Locale_SuddenStory:d_ex_clothingstore_10_7,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_10_8,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_8,True,,1,L_10,1.0,,bgm_story_herecomestrouble,phantom,phantom,phantom,1,angry,,,,
d_ex_clothingstore_10_9,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_9,True,,L_10,L_10,1.0,,,phantom,phantom,,1,angry,,,,
d_ex_clothingstore_10_10,d_ex_clothingstore_10,Self,Locale_SuddenStory:d_ex_clothingstore_10_10,False,,L_10,L_10,1.0,,,phantom,,,1,surprise,,,,
d_ex_clothingstore_10_11,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_11,True,,L_10,L_10,1.0,,,phantom,phantom,,1,surprise,,,,
d_ex_clothingstore_10_12,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_12,True,,L_10,L_10,1.0,,,phantom,phantom,,1,angry,,,,
d_ex_clothingstore_10_13,d_ex_clothingstore_10,Monologue,Locale_SuddenStory:d_ex_clothingstore_10_13,False,,L_10,1,1.0,,,phantom,,,1,angry,,,,
d_ex_clothingstore_10_14,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_14,True,,1,1,1.0,,,phantom,phantom,,1,surprise,,,,
d_ex_clothingstore_10_15,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_15,True,,1,L_10,1.0,,,phantom,phantom,,1,no,,,,
d_ex_clothingstore_10_16,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_16,True,,L_10,L_10,1.0,,,phantom,phantom,,1,no,,,,
d_ex_clothingstore_10_17,d_ex_clothingstore_10,Self,Locale_SuddenStory:d_ex_clothingstore_10_17,False,,L_10,L_10,1.0,,,phantom,,,1,no,,,,
d_ex_clothingstore_10_18,d_ex_clothingstore_10,Self,Locale_SuddenStory:d_ex_clothingstore_10_18,False,,L_10,L_10,1.0,,,phantom,,,1,no,,,,
d_ex_clothingstore_10_19,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_19,True,,L_10,L_10,1.0,,,phantom,phantom,,1,idle,,,,
d_ex_clothingstore_10_20,d_ex_clothingstore_10,Self,Locale_SuddenStory:d_ex_clothingstore_10_20,False,,L_10,L_10,1.0,,,phantom,,,1,idle,,,,
d_ex_clothingstore_10_21,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_21,True,,L_10,L_10,1.0,,,phantom,phantom,,1,sad,,,,
d_ex_clothingstore_10_22,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_22,True,,L_10,L_100,1.0,,,phantom,phantom,,1,angry,,,,
d_ex_clothingstore_10_23,d_ex_clothingstore_10,Speech,Locale_SuddenStory:d_ex_clothingstore_10_23,True,,L_100,L_100,1.0,,,phantom,phantom,,1,angry,,,,
