id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,highlight,speaker,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/1/hide_char_id
d_ex_maidcafe_04_1,d_ex_maidcafe_04,Narration,Locale_SuddenStory:d_ex_maidcafe_04_1,False,vesti,1,idle,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,,,,,,,,
d_ex_maidcafe_04_2,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_2,True,,1,idle,,XS_10,XS_10,1.0,,vesti,vesti,bgm_story_orangepop,,,,,
d_ex_maidcafe_04_3,d_ex_maidcafe_04,Self,Locale_SuddenStory:d_ex_maidcafe_04_3,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_maidcafe_04_4,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_4,True,,1,idle,,XS_10,XS_10,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_5,d_ex_maidcafe_04,Self,Locale_SuddenStory:d_ex_maidcafe_04_5,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_maidcafe_04_6,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_6,True,,1,idle,,XS_10,XS_100,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_7,d_ex_maidcafe_04,Self,Locale_SuddenStory:d_ex_maidcafe_04_7,False,,1,idle,,XS_100,XS_100,1.0,,,,,,,,,
d_ex_maidcafe_04_8,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_8,True,,1,idle,,XS_100,XS_100,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_9,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_9,True,,1,idle,,XS_100,XS_100,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_10,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_10,True,,1,idle,,XS_100,XS_100,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_11,d_ex_maidcafe_04,Self,Locale_SuddenStory:d_ex_maidcafe_04_11,False,,1,idle,,XS_100,XS_100,1.0,,,,,,,,,
d_ex_maidcafe_04_12,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_12,True,,1,idle,,XS_100,XS_10,2.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_13,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_13,True,,1,idle,,XS_10,XS_10,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_14,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_14,True,,1,sad,,XS_10,XS_10,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_15,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_15,True,,1,idle,,XS_10,XS_10,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_16,d_ex_maidcafe_04,Self,Locale_SuddenStory:d_ex_maidcafe_04_16,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
d_ex_maidcafe_04_17,d_ex_maidcafe_04,Speech,Locale_SuddenStory:d_ex_maidcafe_04_17,True,,1,idle,,XS_10,XS_10,1.0,,vesti,vesti,,,,,,
d_ex_maidcafe_04_18,d_ex_maidcafe_04,Self,Locale_SuddenStory:d_ex_maidcafe_04_18,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,
