id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,play_sound
d_main_26af_03_1,d_main_26af_03,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_26af_03_1,True,rapi,17,idle,anis,13,idle,neon,15,idle,shifty_c,OP_center,idle,CountryVillage_d,10,10,1.0,bgm_aztec,,
d_main_26af_03_2,d_main_26af_03,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_26af_03_2,True,,17,idle,,13,idle,,15,idle,,OP_center,idle,,10,10,1.0,,,
d_main_26af_03_3,d_main_26af_03,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_26af_03_3,True,,17,idle,,13,idle,,15,idle,,OP_center,idle,,10,10,1.0,,,
d_main_26af_03_4,d_main_26af_03,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_26af_03_4,True,,17,idle,,13,idle,,15,idle,,OP_center,idle,,10,10,1.0,,,
d_main_26af_03_5,d_main_26af_03,Self,,,Locale_MainScenario:d_main_26af_03_5,False,,17,idle,,13,idle,,15,idle,,OP_center,idle,,10,10,1.0,,,
d_main_26af_03_6,d_main_26af_03,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_26af_03_6,True,,17,idle,,13,idle,,15,idle,,OP_center,idle,,10,10,1.0,,,
d_main_26af_03_7,d_main_26af_03,Speech,anis,anis,Locale_MainScenario:d_main_26af_03_7,True,,17,idle,,13,idle,,15,idle,,OP_center,idle,,10,130,1.0,,shifty_c,
d_main_26af_03_8,d_main_26af_03,Speech,neon,neon,Locale_MainScenario:d_main_26af_03_8,True,,17,idle,,13,idle,,15,idle,,,,,130,S_150,1.0,,,
d_main_26af_03_9,d_main_26af_03,Speech,neon,neon,Locale_MainScenario:d_main_26af_03_9,True,,17,idle,,13,idle,,15,idle,,,,,S_150,S_150,1.0,,,
d_main_26af_03_10,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_10,True,,17,idle,,13,idle,,15,idle,shifty,OP_leftup,idle,,S_150,S_150,1.0,,,
d_main_26af_03_11,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_11,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,S_150,S_150,1.0,,,
d_main_26af_03_12,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_12,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,S_150,S_150,1.0,,,
d_main_26af_03_13,d_main_26af_03,Speech,anis,anis,Locale_MainScenario:d_main_26af_03_13,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,S_150,130,1.0,,,
d_main_26af_03_14,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_14,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,130,130,1.0,,,
d_main_26af_03_15,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_15,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,130,130,1.0,,,
d_main_26af_03_16,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_16,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,130,130,2.0,,,
d_main_26af_03_17,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_17,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,130,130,1.0,,,
