id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,speaker,characters/0/hide_char_id,play_sound,set_camera_shake,characters/1/hide_char_id
d_ex_powerplant_07_1,d_ex_powerplant_07,Monologue,laplace,Locale_SuddenStory:d_ex_powerplant_07_1,False,black,black,1.0,bgm_story_tuffguys,,,,,,,,,,,,
d_ex_powerplant_07_2,d_ex_powerplant_07,Monologue,laplace,Locale_SuddenStory:d_ex_powerplant_07_2,False,black,black,1.0,,laplace,12,idle,trony,2,no,TechIndoor,,,,,
d_ex_powerplant_07_3,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_3,True,12,S_120,1.0,,,12,idle,,2,no,,laplace,,,,
d_ex_powerplant_07_4,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_4,True,S_120,S_120,1.0,,,12,idle,,2,no,,laplace,,,,
d_ex_powerplant_07_5,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_5,True,S_120,20,1.0,,,12,idle,,2,no,,trony,,,,
d_ex_powerplant_07_6,d_ex_powerplant_07,Self,trony,Locale_SuddenStory:d_ex_powerplant_07_6,False,20,20,1.0,,,12,idle,,2,no,,,,,,
d_ex_powerplant_07_7,d_ex_powerplant_07,Self,trony,Locale_SuddenStory:d_ex_powerplant_07_7,False,20,1,1.0,,,12,idle,,2,no,,,,,,
d_ex_powerplant_07_8,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_8,True,1,1,1.0,,,12,delight,,2,no,,laplace,,,,
d_ex_powerplant_07_9,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_9,True,1,1,1.0,,,12,delight,,2,no,,laplace,,,,
d_ex_powerplant_07_10,d_ex_powerplant_07,Self,laplace,Locale_SuddenStory:d_ex_powerplant_07_10,False,1,1,1.0,,,12,delight,,2,no,,,,,,
d_ex_powerplant_07_11,d_ex_powerplant_07,Self,laplace,Locale_SuddenStory:d_ex_powerplant_07_11,False,1,1,1.0,,,12,delight,,2,no,,,,,,
d_ex_powerplant_07_12,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_12,True,1,1,1.0,,,12,idle,,2,no,,laplace,,,,
d_ex_powerplant_07_13,d_ex_powerplant_07,Self,laplace,Locale_SuddenStory:d_ex_powerplant_07_13,False,1,1,1.0,,,12,idle,,2,no,,,,,,
d_ex_powerplant_07_14,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_14,True,1,20,1.0,,,12,idle,,2,sad,,trony,,,,
d_ex_powerplant_07_15,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_15,True,20,20,1.0,,,12,idle,,2,sad,,trony,,,,
d_ex_powerplant_07_16,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_16,True,20,20,1.0,,,12,idle,,2,sad,,trony,,,,
d_ex_powerplant_07_17,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_17,True,20,S_120,0.5,,,12,idle,,2,sad,,laplace,,,,
d_ex_powerplant_07_18,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_18,True,S_120,S_120,1.0,,,12,idle,,2,sad,,laplace,,,,
d_ex_powerplant_07_19,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_19,False,S_120,S_120,1.0,,,12,idle,,2,no,,trony,,,,
d_ex_powerplant_07_20,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_20,False,S_120,S_120,1.0,,,12,idle,,2,no,,trony,,,,
d_ex_powerplant_07_21,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_21,True,S_120,S_120,1.0,,,12,delight,,2,no,,laplace,,,,
d_ex_powerplant_07_22,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_22,True,S_120,S_1200,1.0,,,12,delight,,2,no,,laplace,,,,
d_ex_powerplant_07_23,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_23,True,S_1200,200,1.0,,,12,delight,,2,no,,trony,,,,
d_ex_powerplant_07_24,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_24,True,200,1,1.0,,,12,delight,,2,no,,laplace,,,,
d_ex_powerplant_07_25,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_25,True,1,1,1.0,,,12,angry,,2,no,,laplace,,,,
d_ex_powerplant_07_26,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_26,True,1,1,1.0,,,12,angry,,2,surprise,,trony,,,,
d_ex_powerplant_07_27,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_27,True,1,1,1.0,,,12,angry,,2,surprise,,trony,,,,
d_ex_powerplant_07_28,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_28,True,1,1,1.0,,,12,angry,,2,surprise,,laplace,,,,
d_ex_powerplant_07_29,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_29,True,1,1,1.0,,,12,delight,,2,surprise,,laplace,,,,
d_ex_powerplant_07_30,d_ex_powerplant_07,Speech,trony,Locale_SuddenStory:d_ex_powerplant_07_30,True,1,1,1.0,,,12,delight,,2,surprise,,trony,,,,
d_ex_powerplant_07_31,d_ex_powerplant_07,Monologue,trony,Locale_SuddenStory:d_ex_powerplant_07_31,False,black,black,1.0,,,12,delight,,2,surprise,,,,,,
d_ex_powerplant_07_32,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_32,True,12,S_120,1.0,,,12,idle,,2,surprise,,laplace,,,,
d_ex_powerplant_07_33,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_33,True,S_120,S_120,1.0,,,12,idle,,2,surprise,,laplace,,,,
d_ex_powerplant_07_34,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_34,True,S_120,S_120,1.0,,,12,idle,,2,surprise,,laplace,,,,
d_ex_powerplant_07_35,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_35,True,S_120,S_120,1.0,,,12,idle,,2,surprise,,laplace,,,,
d_ex_powerplant_07_36,d_ex_powerplant_07,Speech,laplace,Locale_SuddenStory:d_ex_powerplant_07_36,True,S_120,S_1200,1.0,,,12,angry,,2,surprise,,laplace,laplace,,,
d_ex_powerplant_07_37,d_ex_powerplant_07,Narration,trony,Locale_SuddenStory:d_ex_powerplant_07_37,False,S_1200,S_1200,1.0,,,,,,2,surprise,,,,sfx_scn_windowbreak,Low_2,
