id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_29_02_e_1,d_main_29_02_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_e_1,True,Crystalchunk,5,5,1.0,bgm_chapter29_field_drifting_a,,,,shifty,OP_leftup,worry,,rapi,5,idle,neon,3,idle,anis,1,void,fragile,13,idle,,drilley,15,idle,
d_main_29_02_e_2,d_main_29_02_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_e_2,True,,5,5,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_3,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_3,True,,5,50,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_4,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_4,True,,50,50,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_5,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_5,True,,50,50,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_6,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_6,False,,50,50,1.0,,,,,,OP_leftup,worry,,,5,think,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_7,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_7,True,,50,50,1.0,,,,,,OP_leftup,worry,,,5,think,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_8,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_8,True,,50,50,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_9,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_9,True,,50,50,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_10,d_main_29_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_e_10,True,,50,50,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_11,d_main_29_02_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_e_11,True,,50,5,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_12,d_main_29_02_e,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_e_12,True,,5,5,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_13,d_main_29_02_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_02_e_13,False,,XS_150,XS_150,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,surprise,
d_main_29_02_e_14,d_main_29_02_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_02_e_14,True,,XS_150,XS_150,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,surprise,
d_main_29_02_e_15,d_main_29_02_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_02_e_15,True,,XS_150,13,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,,,15,surprise,
d_main_29_02_e_16,d_main_29_02_e,Monologue,fragile,,Locale_MainScenario:d_main_29_02_e_16,False,,13,13,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,13,idle,fragile,,15,surprise,
d_main_29_02_e_17,d_main_29_02_e,Self,fragile,,Locale_MainScenario:d_main_29_02_e_17,False,,13,13,1.0,,,,,,OP_leftup,worry,,,5,idle,,3,idle,,1,void,,,,,,15,surprise,
d_main_29_02_e_18,d_main_29_02_e,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_e_18,True,CrystalCity,14,14,1.0,,black,,,trony_op_r,OP_rightup,think,shifty,,5,idle,,3,idle,,1,void,fragile,13,idle,,,15,idle,
d_main_29_02_e_19,d_main_29_02_e,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_e_19,True,,14,14,1.0,,,,,,OP_rightup,think,,,5,idle,,3,idle,,1,void,,13,idle,,,15,idle,
d_main_29_02_e_20,d_main_29_02_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_02_e_20,True,,14,14,1.0,,,,,,OP_rightup,think,,,5,idle,,3,idle,,1,void,,13,idle,,,15,angry,
