id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_35bf_02_1,d_main_35bf_02,Narration,Locale_MainScenario:d_main_35bf_02_1,False,City_d,4,4,1.0,sfx_scn_car,bgm_story_fairytalesend_if,,,,,,,,,,,,,,
d_main_35bf_02_2,d_main_35bf_02,Narration,Locale_MainScenario:d_main_35bf_02_2,False,,4,4,1.0,,,,,,,,,,,,,,,,
d_main_35bf_02_3,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_3,True,,4,4,1.0,,,neon,neon,anis,5,idle,neon,3,surprise,rapi_red,1,idle,ingrid,13,idle
d_main_35bf_02_4,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_4,True,,4,4,1.0,,,anis,anis,,5,idle,,3,surprise,,1,idle,,13,idle
d_main_35bf_02_5,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_5,True,,4,4,1.0,,,neon,neon,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_6,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_6,True,,4,4,1.0,,,anis,anis,,5,idle,,3,idle,,1,idle,,13,idle
d_main_35bf_02_7,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_7,True,,4,2,1.0,,,rapi_red,rapi_red,,5,idle,,3,idle,,1,no,,13,idle
d_main_35bf_02_8,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_8,True,,2,2,1.0,,,neon,neon,,5,idle,,3,idle,,1,no,,13,idle
d_main_35bf_02_9,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_9,True,,2,4,1.0,,,anis,anis,,5,angry,,3,idle,,1,no,,13,idle
d_main_35bf_02_10,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_10,True,,4,S_30,0.7,,,neon,neon,,5,angry,,3,surprise,,1,no,,13,idle
d_main_35bf_02_11,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_11,False,,S_30,S_30,1.0,,,neon,neon,,5,angry,,3,surprise,,1,no,,13,idle
d_main_35bf_02_12,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_12,True,,S_30,4,1.5,,,neon,neon,,5,angry,,3,angry,,1,idle,,13,idle
d_main_35bf_02_13,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_13,True,,4,4,1.0,,,anis,anis,,5,delight,,3,angry,,1,idle,,13,idle
d_main_35bf_02_14,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_14,True,,4,12,1.0,,,ingrid,ingrid,,5,delight,,3,angry,,1,idle,,13,delight
d_main_35bf_02_15,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_15,True,,12,12,1.0,,,rapi_red,rapi_red,,5,delight,,3,angry,,1,idle,,13,delight
d_main_35bf_02_16,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_16,True,,12,12,1.0,,,ingrid,ingrid,,5,void,,3,idle,,1,idle,,13,good
d_main_35bf_02_17,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_17,True,,12,13,1.0,,,ingrid,ingrid,,5,void,,3,idle,,1,idle,,13,idle
d_main_35bf_02_18,d_main_35bf_02,Speech,Locale_MainScenario:d_main_35bf_02_18,True,,13,13,1.0,,,ingrid,ingrid,,5,void,,3,idle,,1,idle,,13,idle
