id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_main_29_03_e_1,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_1,True,drilley,5,angry,fragile,3,surprise,rapi,1,idle,anis,13,void,neon,15,idle,CrystalCity,5,5,1.0,bgm_enemyclose,,
d_main_29_03_e_2,d_main_29_03_e,Narration,drilley,,Locale_MainScenario:d_main_29_03_e_2,False,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,5,XS_500,0.6,,sfx_scn_nearrunaway,
d_main_29_03_e_3,d_main_29_03_e,Narration,drilley,,Locale_MainScenario:d_main_29_03_e_3,False,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_500,XS_500,1.0,,,
d_main_29_03_e_4,d_main_29_03_e,Narration,drilley,,Locale_MainScenario:d_main_29_03_e_4,False,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_500,XS_500,1.0,,sfx_scn_drillrapture,Low_2
d_main_29_03_e_5,d_main_29_03_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_03_e_5,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_500,4,1.0,,,
d_main_29_03_e_6,d_main_29_03_e,Self,fragile,,Locale_MainScenario:d_main_29_03_e_6,False,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,4,4,1.0,,,
d_main_29_03_e_7,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_7,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,4,XS_50,1.0,,,
d_main_29_03_e_8,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_8,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_9,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_9,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
d_main_29_03_e_10,d_main_29_03_e,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_e_10,True,,5,angry,,3,surprise,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,,
