id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/4/hide_char_id,characters/5/hide_char_id,play_sound
d_main_37_06_s_1,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_1,True,rapi_red,3,idle,laplace,1,idle,drake,13,angry,JungleBuilding,12,12,1.0,bgm_story_herecomestrouble,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_2,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_2,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_3,d_main_37_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_06_s_3,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_4,d_main_37_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_06_s_4,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_5,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_5,True,,3,idle,,1,idle,,13,delight,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_6,d_main_37_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_06_s_6,True,,3,idle,,1,delight,,13,delight,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_7,d_main_37_06_s,Self,laplace,,Locale_MainScenario:d_main_37_06_s_7,False,,3,idle,,1,delight,,13,delight,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_8,d_main_37_06_s,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_s_8,True,,3,idle,,1,delight,,13,delight,,12,12,1.0,,maxwell_op,OP_leftup,idle,,,,,,,,,,,,,,,,,
d_main_37_06_s_9,d_main_37_06_s,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_s_9,True,,3,idle,,1,delight,,13,delight,,12,12,1.0,,,OP_leftup,idle,,,,,,,,,,,,,,,,,
d_main_37_06_s_10,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_10,True,,3,think,,1,delight,,13,delight,,30,30,1.0,,,OP_leftup,idle,maxwell_op,,,,,,,,,,,,,,,,
d_main_37_06_s_11,d_main_37_06_s,Self,rapi_red,,Locale_MainScenario:d_main_37_06_s_11,False,,3,think,,1,delight,,13,delight,,30,30,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_12,d_main_37_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_06_s_12,True,,3,think,,1,idle,,13,delight,,30,S_10,0.7,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_13,d_main_37_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_06_s_13,True,,3,think,,1,idle,,13,delight,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_14,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_14,True,,3,think,,1,idle,,13,delight,,S_10,130,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_15,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_15,True,,3,think,,1,idle,,13,delight,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_16,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_16,True,,3,think,,1,idle,,13,delight,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_17,d_main_37_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_06_s_17,True,,3,think,,1,angry,,13,delight,,130,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_18,d_main_37_06_s,Self,laplace,,Locale_MainScenario:d_main_37_06_s_18,False,,3,think,,1,angry,,13,delight,,12,3,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_19,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_19,True,,3,think,,1,angry,,13,delight,,3,3,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_20,d_main_37_06_s,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_s_20,True,,3,think,,1,angry,,13,delight,,3,12,1.0,,maxwell_op,OP_leftup,sad,,,,,,,,,,,,,,,,,
d_main_37_06_s_21,d_main_37_06_s,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_s_21,True,,3,think,,1,angry,,13,delight,,12,12,1.0,,,OP_leftup,sad,,,,,,,,,,,,,,,,,
d_main_37_06_s_22,d_main_37_06_s,Speech,helm_op_l,helm_op_l,Locale_MainScenario:d_main_37_06_s_22,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,OP_leftup,idle_02,maxwell_op,mast_op_c,OP_centerup,idle,helm_op_l,OP_leftup,idle,anchor_op_r,OP_rightup,idle,,,,,,,
d_main_37_06_s_23,d_main_37_06_s,Speech,helm_op_l,helm_op_l,Locale_MainScenario:d_main_37_06_s_23,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,,,,OP_centerup,idle,,OP_leftup,idle,,OP_rightup,idle,,,,,,,
d_main_37_06_s_24,d_main_37_06_s,Speech,mast_op_c,mast_op_c,Locale_MainScenario:d_main_37_06_s_24,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,,,,OP_centerup,idle,,OP_leftup,idle,,OP_rightup,idle,,,,,,,
d_main_37_06_s_25,d_main_37_06_s,Speech,helm_op_l,helm_op_l,Locale_MainScenario:d_main_37_06_s_25,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,,,,OP_centerup,idle,,OP_leftup,idle,,OP_rightup,idle,,,,,,,
d_main_37_06_s_26,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_26,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,,,,OP_centerup,idle,,OP_leftup,idle,,OP_rightup,angry,,,,,,,
d_main_37_06_s_27,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_27,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,OP_centerup,idle,,OP_leftup,idle,,OP_rightup,angry,mast_op_c,helm_op_l,anchor_op_r,,,,
d_main_37_06_s_28,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_28,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_29,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_29,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_30,d_main_37_06_s,Speech,drake,drake,Locale_MainScenario:d_main_37_06_s_30,True,,3,idle,,1,idle,,13,delight,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_31,d_main_37_06_s,Speech,laplace,laplace,Locale_MainScenario:d_main_37_06_s_31,True,,3,idle,,1,delight,,13,delight,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_32,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_32,True,,3,no,,1,delight,,13,delight,,30,30,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_33,d_main_37_06_s,Self,rapi_red,,Locale_MainScenario:d_main_37_06_s_33,False,,3,no,,1,delight,,13,delight,,30,30,1.0,,,,,,,,,,,,,,,,,,,,,
d_main_37_06_s_34,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_34,True,,3,idle,,1,idle,,13,idle,,30,3,1.0,,,,,,,,,,,,anchor_op_r,OP_rightup,idle,,,,,,,
d_main_37_06_s_35,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_35,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,OP_rightup,idle,,,,,,,
d_main_37_06_s_36,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_36,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,OP_rightup,angry,,,,,,,
d_main_37_06_s_37,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_37,False,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,OP_rightup,angry,,,,,,,
d_main_37_06_s_38,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_38,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,OP_rightup,angry,,,,,,,
d_main_37_06_s_39,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_39,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,OP_rightup,angry,,,,,,,
d_main_37_06_s_40,d_main_37_06_s,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_37_06_s_40,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,OP_rightup,angry,,,,,,,
d_main_37_06_s_41,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_41,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,,,,,,,,,,OP_rightup,angry,,,,,,,
d_main_37_06_s_42,d_main_37_06_s,Self,rapi_red,,Locale_MainScenario:d_main_37_06_s_42,False,,3,idle,,1,idle,,13,idle,,3,3,1.0,none,,,,,,,,,,,,OP_rightup,angry,,,,,,,
d_main_37_06_s_43,d_main_37_06_s,Narration,rapi_red,,Locale_MainScenario:d_main_37_06_s_43,False,,3,idle,,1,idle,,13,idle,EggArea,black,black,1.0,bgm_chapter37_field_swarmnest,,,,,,,,,,,,OP_rightup,idle,,,anchor_op_r,black,,,
d_main_37_06_s_44,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_44,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,maxwell_op,OP_leftup,idle_02,,,,,,,,,,,,,,,,,
d_main_37_06_s_45,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_45,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,OP_leftup,idle_02,,,,,,,,,,,,,,,,,
d_main_37_06_s_46,d_main_37_06_s,Speech,maxwell_op,maxwell_op,Locale_MainScenario:d_main_37_06_s_46,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,OP_leftup,idle_02,,,,,,,,,,,,,,,,,
d_main_37_06_s_47,d_main_37_06_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_37_06_s_47,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,OP_leftup,idle_02,,,,,,,,,,,,,,,,,
d_main_37_06_s_48,d_main_37_06_s,Self,rapi_red,,Locale_MainScenario:d_main_37_06_s_48,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,OP_leftup,idle_02,,,,,,,,,,,,,,,,,
