id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_15af_05_1,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_1,True,CommanderRoom,2,20,0.5,bgm_story_languor,,neon,4,idle,anis,2,shy,rapi,12,idle
d_main_15af_05_2,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_2,True,,20,20,1.0,,,,4,idle,,2,shy,,12,idle
d_main_15af_05_3,d_main_15af_05,Speech,neon,neon,Locale_MainScenario:d_main_15af_05_3,True,,20,S_40,0.5,,,,4,delight,,2,shy,,12,idle
d_main_15af_05_4,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_4,False,,120,120,1.0,,,,4,delight,,2,idle,,12,think
d_main_15af_05_5,d_main_15af_05,Self,rapi,Self,Locale_MainScenario:d_main_15af_05_5,False,,120,120,1.0,,,,4,delight,,2,idle,,12,think
d_main_15af_05_6,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_6,True,,120,120,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_7,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_7,True,,120,120,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_8,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_8,True,,120,120,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_9,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_9,True,,120,120,1.0,,,,4,idle,,2,idle,,12,worry
d_main_15af_05_10,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_10,True,,120,120,1.0,,,,4,idle,,2,idle,,12,worry
d_main_15af_05_11,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_11,False,,120,20,1.0,,,,4,idle,,2,worry,,12,idle
d_main_15af_05_12,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_12,True,,20,20,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_13,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_13,True,,20,20,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_14,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_14,True,,20,20,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_15,d_main_15af_05,Self,anis,Self,Locale_MainScenario:d_main_15af_05_15,False,,20,20,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_16,d_main_15af_05,Monologue,,,Locale_MainScenario:d_main_15af_05_16,False,,20,1,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_17,d_main_15af_05,Monologue,,,Locale_MainScenario:d_main_15af_05_17,False,,1,1,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_18,d_main_15af_05,Speech,neon,neon,Locale_MainScenario:d_main_15af_05_18,True,,1,3,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_19,d_main_15af_05,Self,neon,Self,Locale_MainScenario:d_main_15af_05_19,False,,3,3,1.0,,,,4,idle,,2,idle,,12,idle
d_main_15af_05_20,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_20,True,,3,1,1.0,,,,4,idle,,2,idle,,12,think
d_main_15af_05_21,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_21,True,,1,120,2.0,,,,4,idle,,2,idle,,12,think
d_main_15af_05_22,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_22,True,,120,120,1.0,,,,4,idle,,2,idle,,12,worry
d_main_15af_05_23,d_main_15af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_05_23,True,,120,120,1.0,,,,4,idle,,2,idle,,12,worry
d_main_15af_05_24,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_24,True,,120,20,1.0,,,,4,idle,,2,worry,,12,idle
d_main_15af_05_25,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_25,True,,20,20,1.0,,,,4,idle,,2,worry,,12,idle
d_main_15af_05_26,d_main_15af_05,Speech,anis,anis,Locale_MainScenario:d_main_15af_05_26,True,,20,20,1.0,,,,4,idle,,2,angry,,12,idle
d_main_15af_05_27,d_main_15af_05,Narration,,Narration,Locale_MainScenario:d_main_15af_05_27,False,,20,1,0.5,none,,,4,idle,,2,angry,,12,idle
d_main_15af_05_28,d_main_15af_05,Self,,Self,Locale_MainScenario:d_main_15af_05_28,False,,1,1,1.0,,,,4,idle,,2,void,,12,idle
d_main_15af_05_29,d_main_15af_05,Narration,,Narration,Locale_MainScenario:d_main_15af_05_29,False,,1,1,1.0,,m_main_15af_05,,4,idle,,2,void,,12,idle
d_main_15af_05_30,d_main_15af_05,Monologue,,,Locale_MainScenario:d_main_15af_05_30,False,,black,black,1.0,bgm_story_kneeldownfools,,,4,idle,,2,void,,12,idle
