id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_22_07_1,d_main_22_07,Narration,Locale_MainScenario:d_main_22_07_1,False,TatamiRoom,black,black,1.0,bgm_mystery,,,sakura,1,idle,dolla,13,idle,
d_main_22_07_2,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_2,True,,113,113,1.0,,dolla,dolla,,1,idle,,13,idle,
d_main_22_07_3,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_3,True,,113,113,1.0,,sakura,sakura,,1,idle,,13,idle,
d_main_22_07_4,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_4,True,,113,113,1.0,,dolla,dolla,,1,idle,,13,idle,
d_main_22_07_5,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_5,True,,113,113,1.0,,sakura,sakura,,1,surprise,,13,idle,
d_main_22_07_6,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_6,True,,113,113,1.0,,dolla,dolla,,1,surprise,,13,good,
d_main_22_07_7,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_7,True,,113,113,1.0,,dolla,dolla,,1,surprise,,13,good,
d_main_22_07_8,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_8,True,,113,113,1.0,,sakura,sakura,,1,surprise,,13,good,
d_main_22_07_9,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_9,True,,113,13,1.0,,dolla,dolla,,1,idle,,13,idle,
d_main_22_07_10,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_10,True,,13,S_130,1.0,,dolla,dolla,,1,idle,,13,idle,
d_main_22_07_11,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_11,True,,10,10,1.0,,sakura,sakura,,1,idle,,13,idle,
d_main_22_07_12,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_12,True,,S_130,S_130,1.0,,dolla,dolla,,1,idle,,13,idle,
d_main_22_07_13,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_13,True,,10,10,1.0,,sakura,sakura,,1,idle,,13,idle,
d_main_22_07_14,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_14,True,,S_130,S_130,1.0,,dolla,dolla,,1,idle,,13,idle,
d_main_22_07_15,d_main_22_07,Speech,Locale_MainScenario:d_main_22_07_15,True,,S_130,S_130,1.0,,dolla,dolla,,1,idle,,13,idle,
