id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound,characters/1/hide_char_id,characters/0/hide_char_id
d_ex_shopping_11_1,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_1,True,eunhwa_t,1,idle,ShoppingMall,100,100,1.0,bgm_inark,,,,,,,
d_ex_shopping_11_2,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_2,True,,1,idle,,100,100,1.0,,,,,,,,
d_ex_shopping_11_3,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_3,True,,1,idle,,100,10,1.0,,,,,,,,
d_ex_shopping_11_4,d_ex_shopping_11,Self,eunhwa_t,,Locale_SuddenStory:d_ex_shopping_11_4,False,,1,idle,,10,10,1.0,,,,,,,,
d_ex_shopping_11_5,d_ex_shopping_11,Speech,ein,ein,Locale_SuddenStory:d_ex_shopping_11_5,True,,1,idle,,10,113,1.0,,ein,13,delight,,,,
d_ex_shopping_11_6,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_6,True,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_7,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_7,True,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_8,d_ex_shopping_11,Speech,ein,ein,Locale_SuddenStory:d_ex_shopping_11_8,True,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_9,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_9,True,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_10,d_ex_shopping_11,Self,eunhwa_t,,Locale_SuddenStory:d_ex_shopping_11_10,False,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_11,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_11,True,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_12,d_ex_shopping_11,Self,eunhwa_t,,Locale_SuddenStory:d_ex_shopping_11_12,False,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_13,d_ex_shopping_11,Speech,ein,ein,Locale_SuddenStory:d_ex_shopping_11_13,True,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_14,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_14,True,,1,idle,,113,113,1.0,,,13,delight,,,,
d_ex_shopping_11_15,d_ex_shopping_11,Self,eunhwa_t,,Locale_SuddenStory:d_ex_shopping_11_15,False,,1,idle,,113,1,1.0,,,13,delight,,,,
d_ex_shopping_11_16,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_16,False,,1,idle,,1,10,1.0,,,13,delight,,,,
d_ex_shopping_11_17,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_17,True,,1,angry,,10,10,1.0,,,13,delight,,,,
d_ex_shopping_11_18,d_ex_shopping_11,Self,eunhwa_t,,Locale_SuddenStory:d_ex_shopping_11_18,False,,1,angry,,10,10,1.0,,,13,delight,,,,
d_ex_shopping_11_19,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_19,True,,1,angry,,10,10,1.0,,,13,delight,,,,
d_ex_shopping_11_20,d_ex_shopping_11,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_shopping_11_20,True,,1,angry,,10,10,1.0,,,13,delight,,,,
d_ex_shopping_11_21,d_ex_shopping_11,Speech,ein,ein,Locale_SuddenStory:d_ex_shopping_11_21,True,,1,angry,,10,113,1.0,,,13,idle,,,,
d_ex_shopping_11_22,d_ex_shopping_11,Speech,ein,ein,Locale_SuddenStory:d_ex_shopping_11_22,True,,1,angry,,113,113,1.0,,,13,idle,,,,
