id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/6/hide_char_id
d_main_27_02_1,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_1,True,rapi,1,idle,anis,13,idle,neon,15,idle,liveryn,3,idle,elegg,5,idle,hammering,7,idle,shifty_c,OP_center,idle,RuinIndoor,190,190,1.0,bgm_aztec_a,
d_main_27_02_2,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_2,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,190,190,1.0,,
d_main_27_02_3,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_3,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,190,190,1.0,,
d_main_27_02_4,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_4,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,190,19,1.0,,
d_main_27_02_5,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_5,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,19,19,1.0,,
d_main_27_02_6,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_6,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,19,19,1.0,,
d_main_27_02_7,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_7,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,19,19,1.0,,
d_main_27_02_8,d_main_27_02,Self,,,Locale_MainScenario:d_main_27_02_8,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,19,19,1.0,,
d_main_27_02_9,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_9,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,19,190,1.0,,
d_main_27_02_10,d_main_27_02,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_27_02_10,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,7,idle,,OP_center,idle,,190,190,1.0,,
