id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/set_char_position,characters/2/show_char_id,characters/2/set_char_anim
d_ex_shopping_02_1,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_1,True,ShoppingMall,XS_130,XS_130,1.0,bgm_story_leisuretime,,folkwang,1,idle,vesti,13,idle,,,
d_ex_shopping_02_2,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_2,True,,XS_130,XS_130,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_3,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_3,True,,10,10,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_4,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_4,True,,10,10,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_5,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_5,True,,10,10,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_6,d_ex_shopping_02,Monologue,,,Locale_SuddenStory:d_ex_shopping_02_6,False,,10,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_7,d_ex_shopping_02,Monologue,,,Locale_SuddenStory:d_ex_shopping_02_7,False,,113,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_8,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_8,True,,113,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_9,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_9,False,,113,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_10,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_10,True,,113,113,1.0,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_11,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_11,True,,113,113,1.0,,,,1,surprise,,13,delight,,,
d_ex_shopping_02_12,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_12,False,,113,113,0.5,,,,1,surprise,,13,delight,,,
d_ex_shopping_02_13,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_13,True,,113,113,1.0,,,,1,delight,,13,delight,,,
d_ex_shopping_02_14,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_14,True,,113,113,1.0,,,,1,delight,,13,delight,,,
d_ex_shopping_02_15,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_15,False,,113,113,1.0,,,,1,delight,,13,delight,,,
d_ex_shopping_02_16,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_16,True,,113,113,1.0,,,,1,delight,,13,delight,,,
d_ex_shopping_02_17,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_17,True,,113,113,1.0,,,,1,idle,,13,delight,,,
d_ex_shopping_02_18,d_ex_shopping_02,Speech,vesti,vesti,Locale_SuddenStory:d_ex_shopping_02_18,True,,113,113,1.0,,,,1,idle,,13,idle,,,
d_ex_shopping_02_19,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_19,True,,113,113,1.0,,,,1,surprise,,13,idle,,,
d_ex_shopping_02_20,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_20,True,,113,113,1.0,,,,1,delight,,13,idle,,,
d_ex_shopping_02_21,d_ex_shopping_02,Self,,,Locale_SuddenStory:d_ex_shopping_02_21,False,,113,113,1.0,,,,1,delight,,13,idle,,,
d_ex_shopping_02_22,d_ex_shopping_02,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_shopping_02_22,True,,113,10,0.5,,,,1,idle,,13,idle,,,
