id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,set_filter_02,jump_target,fade
d_ex_mysteryclub_03_1,d_ex_mysteryclub_03,Narration,Locale_SuddenStory:d_ex_mysteryclub_03_1,False,Bar,1,1,1.0,sfx_scn_chimebell,bgm_story_backtonormal,,,,,,,,,,,,,,,,,,
d_ex_mysteryclub_03_2,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_2,True,,1,10,0.5,,,centi,centi,centi,1,idle,,,,,,,,,,,,,
d_ex_mysteryclub_03_3,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_3,True,,10,10,1.0,,,centi,centi,,1,idle,,,,,,,,,,,,,
d_ex_mysteryclub_03_4,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_4,True,,10,10,1.0,,,centi,centi,,1,idle,,,,,,,,,,,,,
d_ex_mysteryclub_03_5,d_ex_mysteryclub_03,Self,Locale_SuddenStory:d_ex_mysteryclub_03_5,False,,10,10,1.0,,,centi,,,1,idle,,,,,,,,,,,,,
d_ex_mysteryclub_03_6,d_ex_mysteryclub_03,Self,Locale_SuddenStory:d_ex_mysteryclub_03_6,False,,10,10,1.0,,,centi,,,1,idle,,,,,,,,,,,,,
d_ex_mysteryclub_03_7,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_7,True,,10,10,1.0,,,centi,centi,,1,surprise,,,,,,,,,,,,,
d_ex_mysteryclub_03_8,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_8,True,,10,10,1.0,,,centi,centi,,1,idle,,,,,,,,,,,,,
d_ex_mysteryclub_03_9,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_9,True,,10,1,1.0,,,centi,centi,,1,idle,,,,,,,,,,,,,
d_ex_mysteryclub_03_10,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_10,True,,1,1315,1.0,,,mihara,mihara,,1,idle,yuni,13,idle,mihara,15,idle,,,,,,,
d_ex_mysteryclub_03_11,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_11,True,,1315,1315,1.0,,,mihara,mihara,,1,idle,,13,idle,,15,idle,,,,,,,
d_ex_mysteryclub_03_12,d_ex_mysteryclub_03,Speech,Locale_SuddenStory:d_ex_mysteryclub_03_12,True,,1315,1315,1.0,,,yuni,yuni,,1,idle,,13,idle,,15,idle,,,,,,,
