id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/hide_char_id,set_filter_01,set_filter_02,fade
d_subquest_1393_e_1,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_1,False,rapi,1,idle,Grassland,black,black,1.0,bgm_story_weare,,,,,,,,
d_subquest_1393_e_2,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_2,True,,1,idle,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_3,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_3,True,,1,idle,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_4,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_4,True,,1,idle,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_5,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_5,False,,1,idle,,10,10,1.0,,,,,,,,,
d_subquest_1393_e_6,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_6,True,,1,idle,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_7,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_7,True,,1,idle,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_8,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_8,False,,1,idle,,10,10,1.0,,,,,,,,,
d_subquest_1393_e_9,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_9,True,,1,no,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_10,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_10,False,,1,no,,10,10,1.0,,,,,,,,,
d_subquest_1393_e_11,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_11,True,,1,no,,10,10,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_12,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_12,False,,1,no,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_13,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_13,False,,1,idle,,5,5,1.0,,,,,,,,,
d_subquest_1393_e_14,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_14,False,,1,idle,,5,5,1.0,none,,,,,,,,
d_subquest_1393_e_15,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_15,False,,1,idle,,5,5,1.0,,,,sfx_scn_digshovel,Low_2,,,,
d_subquest_1393_e_16,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_16,False,,1,idle,,5,5,1.0,,,,,,,,,
d_subquest_1393_e_17,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_17,False,,1,idle,,5,5,1.0,,,,sfx_scn_digshovel,Low_2,,,,
d_subquest_1393_e_18,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_18,False,,1,idle,,5,5,1.0,,,,,,,,,
d_subquest_1393_e_19,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_19,False,,1,idle,,5,5,1.0,,,,,,,,,
d_subquest_1393_e_20,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_20,False,,1,idle,,black,black,1.0,bgm_story_weare,,,,,,,,
d_subquest_1393_e_21,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_21,True,,1,worry,,10,100,0.7,,rapi,rapi,,,,,,
d_subquest_1393_e_22,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_22,False,,1,worry,,100,100,1.0,,,,,,,,,
d_subquest_1393_e_23,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_23,True,,1,worry,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_24,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_24,False,,1,worry,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_25,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_25,False,,1,worry,,black,black,1.0,,,,sfx_scn_wooddissolve,,,,,
d_subquest_1393_e_26,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_26,False,,1,worry,,black,black,1.0,,,,,,,,,
d_subquest_1393_e_27,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_27,False,,1,worry,,10,100,1.0,,rapi,rapi,,Low_2,,,,
d_subquest_1393_e_28,d_subquest_1393_e,Speech,Locale_SubScenario:d_subquest_1393_e_28,True,,1,worry,,100,100,1.0,,rapi,rapi,,,,,,
d_subquest_1393_e_29,d_subquest_1393_e,Self,Locale_SubScenario:d_subquest_1393_e_29,False,,1,worry,,100,100,1.0,,,,,,,,,
d_subquest_1393_e_30,d_subquest_1393_e,Monologue,Locale_SubScenario:d_subquest_1393_e_30,False,,1,worry,CountryVillage_d,black,black,1.0,none,,,,,rapi,,,
d_subquest_1393_e_31,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_31,False,,1,idle,,1,1,1.0,bgm_story_sunshinesorrow,,,,,,Grey,Vignetting,black
d_subquest_1393_e_32,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_32,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_33,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_33,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_34,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_34,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_35,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_35,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_36,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_36,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_37,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_37,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_38,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_38,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_39,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_39,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_40,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_40,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_41,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_41,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_42,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_42,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_43,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_43,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_44,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_44,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
d_subquest_1393_e_45,d_subquest_1393_e,Narration,Locale_SubScenario:d_subquest_1393_e_45,False,,1,idle,,1,1,1.0,,,,,,,Grey,Vignetting,
