id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_filter_01,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_ex_theater_02_1,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_1,True,City,1,1,1.0,bgm_story_orangepop,,,,,,admi,1,delight
d_ex_theater_02_2,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_2,False,,1,XS_10,1.0,,,,,,,,1,delight
d_ex_theater_02_3,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_3,True,,XS_10,XS_10,1.0,,,,,,,,1,delight
d_ex_theater_02_4,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_4,True,,XS_10,XS_10,1.0,,,,,,,,1,delight
d_ex_theater_02_5,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_5,False,,XS_10,XS_10,1.0,,,,,,,,1,delight
d_ex_theater_02_6,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_6,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_7,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_7,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_8,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_8,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_9,d_ex_theater_02,Choice,,,Locale_SuddenStory:d_ex_theater_02_9,False,,XS_10,XS_10,1.0,,d_ex_theater_02_11,,,,,,1,idle
d_ex_theater_02_10,d_ex_theater_02,Choice,,,Locale_SuddenStory:d_ex_theater_02_10,False,,XS_10,XS_10,1.0,,d_ex_theater_02_16,,,,,,1,idle
d_ex_theater_02_11,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_11,True,,XS_10,XS_100,1.0,,,,,,,,1,delight
d_ex_theater_02_12,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_12,True,,XS_100,XS_100,1.0,,,,,,,,1,delight
d_ex_theater_02_13,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_13,True,,XS_100,XS_100,1.0,,,,,,,,1,delight
d_ex_theater_02_14,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_14,False,,XS_100,XS_100,1.0,,,,,,,,1,delight
d_ex_theater_02_15,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_15,True,,XS_100,XS_100,1.0,,d_ex_theater_02_22,,,,,,1,delight
d_ex_theater_02_16,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_16,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_17,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_17,False,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_18,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_18,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_19,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_19,False,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_20,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_20,True,,XS_10,XS_100,1.0,,,,,,,,1,delight
d_ex_theater_02_21,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_21,True,,XS_100,XS_100,1.0,,d_ex_theater_02_22,,,,,,1,delight
d_ex_theater_02_22,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_22,True,,XS_100,XS_100,1.0,,,,,,,,1,delight
d_ex_theater_02_23,d_ex_theater_02,Monologue,,,Locale_SuddenStory:d_ex_theater_02_23,False,Theater,1,1,1.0,,,black,,,,,1,idle
d_ex_theater_02_24,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_24,False,,1,1,1.0,,,,,,,,1,idle
d_ex_theater_02_25,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_25,True,,1,1,1.0,,,,,,,,1,idle
d_ex_theater_02_26,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_26,False,,1,5,1.0,none,,,Grey,,,,1,idle
d_ex_theater_02_27,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_27,False,,5,5,1.0,,,,Grey,,,,1,idle
d_ex_theater_02_28,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_28,False,,5,5,1.0,,,,Grey,,,,1,idle
d_ex_theater_02_29,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_29,False,,5,5,1.0,,,,Grey,,,,1,idle
d_ex_theater_02_30,d_ex_theater_02,Speech,heroine,heroine,Locale_SuddenStory:d_ex_theater_02_30,True,,5,5,1.0,bgm_story_crawlinganxiety,,,Grey,,,,1,idle
d_ex_theater_02_31,d_ex_theater_02,Speech,heroine,heroine,Locale_SuddenStory:d_ex_theater_02_31,True,,5,5,1.0,,,,Grey,,,,1,idle
d_ex_theater_02_32,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_32,False,,5,1,1.0,,,,,,,,1,idle
d_ex_theater_02_33,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_33,True,,1,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_34,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_34,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_35,d_ex_theater_02,Choice,,,Locale_SuddenStory:d_ex_theater_02_35,False,,XS_10,XS_10,1.0,,d_ex_theater_02_37,,,,,,1,idle
d_ex_theater_02_36,d_ex_theater_02,Choice,,,Locale_SuddenStory:d_ex_theater_02_36,False,,XS_10,XS_10,1.0,,d_ex_theater_02_40,,,,,,1,idle
d_ex_theater_02_37,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_37,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_38,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_38,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_39,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_39,True,,XS_10,XS_10,1.0,,d_ex_theater_02_43,,,,,,1,idle
d_ex_theater_02_40,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_40,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_41,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_41,True,,XS_10,XS_10,1.0,,d_ex_theater_02_43,,,,,,1,idle
d_ex_theater_02_42,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_42,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_43,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_43,False,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_44,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_44,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_45,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_45,False,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_46,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_46,True,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_47,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_47,False,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_48,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_48,True,,XS_10,XS_10,1.0,,,,,,,,1,shy
d_ex_theater_02_49,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_49,False,,XS_10,XS_50,1.0,,,,Grey,,,,1,idle
d_ex_theater_02_50,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_50,False,,XS_50,XS_50,1.0,,,,Grey,,,,1,idle
d_ex_theater_02_51,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_51,False,,XS_50,XS_50,1.0,,,,Grey,,,,1,idle
d_ex_theater_02_52,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_52,False,,XS_50,XS_50,1.0,,,,Grey,sfx_scn_doorrun,Low_2,,1,idle
d_ex_theater_02_53,d_ex_theater_02,Speech,heroine,heroine,Locale_SuddenStory:d_ex_theater_02_53,True,,XS_50,XS_50,1.0,,,,Grey,,Low_2,,1,idle
d_ex_theater_02_54,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_54,False,,XS_100,XS_100,1.0,,,,,,,,1,surprise
d_ex_theater_02_55,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_55,True,,XS_100,XS_100,1.0,none,,,,,,,1,surprise
d_ex_theater_02_56,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_56,True,,XS_100,XS_100,1.0,,,,,,,,1,surprise
d_ex_theater_02_57,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_57,False,,XS_100,XS_100,1.0,,,,,,,,1,surprise
d_ex_theater_02_58,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_58,True,,XS_100,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_59,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_59,False,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_60,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_60,True,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_61,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_61,False,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_62,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_62,True,,XS_10,XS_10,1.0,bgm_story_crawlinganxiety,,,,,,,1,surprise
d_ex_theater_02_63,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_63,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_64,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_64,False,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_65,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_65,False,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_66,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_66,False,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_67,d_ex_theater_02,Speech,heroine,heroine,Locale_SuddenStory:d_ex_theater_02_67,True,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_68,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_68,False,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_69,d_ex_theater_02,Monologue,,,Locale_SuddenStory:d_ex_theater_02_69,False,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_70,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_70,True,,XS_10,XS_10,1.0,,,,,,,,1,shy
d_ex_theater_02_71,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_71,True,,XS_10,XS_100,1.0,,,,,,,,1,shy
d_ex_theater_02_72,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_72,False,,XS_100,XS_100,1.0,,,,,,,,1,shy
d_ex_theater_02_73,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_73,True,,XS_100,XS_100,1.0,,,,,,,,1,shy
d_ex_theater_02_74,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_74,False,,XS_100,XS_100,1.0,,,,,,,,1,shy
d_ex_theater_02_75,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_75,False,,black,black,1.0,none,,,,,,,1,idle
d_ex_theater_02_76,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_76,False,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_77,d_ex_theater_02,Speech,heroine,heroine,Locale_SuddenStory:d_ex_theater_02_77,True,,black,black,1.0,,,,,,,,1,idle
d_ex_theater_02_78,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_78,False,,XS_50,XS_50,1.0,bgm_story_trauma,,,,,,,1,idle
d_ex_theater_02_79,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_79,False,,XS_50,XS_50,1.0,,,,,,,,1,idle
d_ex_theater_02_80,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_80,False,,XS_50,XS_50,1.0,,,,,,,,1,idle
d_ex_theater_02_81,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_81,True,,XS_10,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_82,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_82,False,,XS_10,XS_50,1.0,,,,,,,,1,idle
d_ex_theater_02_83,d_ex_theater_02,Monologue,,,Locale_SuddenStory:d_ex_theater_02_83,False,,XS_50,XS_10,1.0,,,,,,,,1,idle
d_ex_theater_02_84,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_84,False,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_85,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_85,False,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_86,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_86,False,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_87,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_87,True,,XS_10,XS_10,1.0,,,,,,,,1,surprise
d_ex_theater_02_88,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_88,False,,XS_10,XS_100,0.5,,,,,,,,1,surprise
d_ex_theater_02_89,d_ex_theater_02,Narration,,,Locale_SuddenStory:d_ex_theater_02_89,False,,XS_100,XS_100,1.0,none,,,,,,,1,surprise
d_ex_theater_02_90,d_ex_theater_02,Speech,admi,admi,Locale_SuddenStory:d_ex_theater_02_90,True,,XS_100,XS_100,1.0,,,,,,,,1,surprise
d_ex_theater_02_91,d_ex_theater_02,Self,,,Locale_SuddenStory:d_ex_theater_02_91,False,,XS_100,XS_100,1.0,,,,,,,,1,surprise
d_ex_theater_02_92,d_ex_theater_02,Monologue,,,Locale_SuddenStory:d_ex_theater_02_92,False,,XS_100,XS_100,1.0,,,,,,,,5,surprise
