id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_library_05_1,d_ex_library_05,Narration,Locale_SuddenStory:d_ex_library_05_1,False,Library,1,1,1.0,sfx_scn_autodooropen,bgm_story_languor,,,,,,,,,
d_ex_library_05_2,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_2,True,,1,XS_10,1.0,,,rei,rei,rei,1,idle,,,,
d_ex_library_05_3,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_3,False,,XS_10,XS_10,1.0,,,rei,,,1,idle,,,,
d_ex_library_05_4,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_4,True,,XS_10,XS_10,1.0,,,rei,rei,,1,idle,,,,
d_ex_library_05_5,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_5,True,,XS_10,XS_10,1.0,,,rei,rei,,1,idle,,,,
d_ex_library_05_6,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_6,False,,XS_10,XS_10,1.0,,,rei,,,1,idle,d_ex_library_05_8,,,
d_ex_library_05_7,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_7,False,,XS_10,XS_10,1.0,,,rei,,,1,idle,d_ex_library_05_9,,,
d_ex_library_05_8,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_8,True,,XS_10,XS_10,1.0,,,rei,rei,,1,idle,d_ex_library_05_14,,,
d_ex_library_05_9,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_9,True,,XS_10,XS_10,1.0,,,rei,rei,,1,angry,,,,
d_ex_library_05_10,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_10,True,,XS_10,XS_10,1.0,,,rei,rei,,1,angry,,,,
d_ex_library_05_11,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_11,True,,XS_10,XS_10,1.0,,,rei,rei,,1,angry,,,,
d_ex_library_05_12,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_12,True,,XS_10,XS_10,1.0,,,rei,rei,,1,angry,,,,
d_ex_library_05_13,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_13,True,,XS_10,XS_10,1.0,,,rei,rei,,1,idle,d_ex_library_05_14,,,
d_ex_library_05_14,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_14,False,,XS_10,XS_10,1.0,,,rei,,,1,idle,,,,
d_ex_library_05_15,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_15,True,,XS_10,XS_10,1.0,,,rei,rei,,1,idle,,,,
d_ex_library_05_16,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_16,False,,XS_10,XS_10,1.0,,,rei,,,1,idle,d_ex_library_05_18,,,
d_ex_library_05_17,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_17,False,,XS_10,XS_10,1.0,,,rei,,,1,idle,d_ex_library_05_18,,,
d_ex_library_05_18,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_18,True,,XS_10,XS_10,1.0,,,rei,rei,,1,idle,,,,
d_ex_library_05_19,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_19,False,,XS_10,XS_10,1.0,,,rei,naru1,,1,idle,,,,
d_ex_library_05_20,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_20,False,,XS_10,XS_10,1.0,,,rei,,,1,no,,,,
d_ex_library_05_21,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_21,False,,XS_10,XS_10,1.0,,,rei,rei,,1,no,,,,
d_ex_library_05_22,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_22,True,,XS_10,XS_130,1.0,,,noah,noah,,1,surprise,,noah,13,idle
d_ex_library_05_23,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_23,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,idle
d_ex_library_05_24,d_ex_library_05,Self,Locale_SuddenStory:d_ex_library_05_24,False,,XS_130,XS_130,1.0,,,,,,1,surprise,,,13,idle
d_ex_library_05_25,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_25,False,,XS_130,XS_130,1.0,,,,,,1,surprise,d_ex_library_05_27,,13,idle
d_ex_library_05_26,d_ex_library_05,Choice,Locale_SuddenStory:d_ex_library_05_26,False,,XS_130,XS_130,1.0,,,,,,1,surprise,d_ex_library_05_31,,13,idle
d_ex_library_05_27,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_27,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,good
d_ex_library_05_28,d_ex_library_05,Speech,Locale_SuddenStory:d_ex_library_05_28,True,,XS_130,XS_130,1.0,,,noah,noah,,1,surprise,,,13,good
