id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_main_18_03_1,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_1,True,drake,3,idle,laplace,1,angry,maxwell,13,idle,WasteLand_02,S_10,S_10,1.0,bgm_underwaterflowers,
d_main_18_03_2,d_main_18_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_03_2,True,,3,idle,,1,angry,,13,idle,,S_10,130,1.0,,
d_main_18_03_3,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_3,True,,3,idle,,1,angry,,13,idle,,130,12,1.0,,
d_main_18_03_4,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_4,True,,3,idle,,1,angry,,13,idle,,12,12,1.0,,
d_main_18_03_5,d_main_18_03,Speech,drake,drake,Locale_MainScenario:d_main_18_03_5,True,,3,angry,,1,angry,,13,idle,,12,2,1.0,,
d_main_18_03_6,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_6,False,,3,idle,,1,angry,,13,idle,,2,S_10,1.0,,
d_main_18_03_7,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_7,True,,3,idle,,1,delight,,13,idle,,S_10,S_10,1.0,,
d_main_18_03_8,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_8,True,,3,idle,,1,angry,,13,idle,,S_10,S_10,1.0,,
d_main_18_03_9,d_main_18_03,Speech,drake,drake,Locale_MainScenario:d_main_18_03_9,True,,3,delight,,1,think,,13,idle,,30,30,1.0,,
d_main_18_03_10,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_10,False,,3,delight,,1,think,,13,idle,,S_10,S_100,1.0,,Low_2
d_main_18_03_11,d_main_18_03,Speech,drake,drake,Locale_MainScenario:d_main_18_03_11,True,,3,delight,,1,think,,13,idle,,30,300,0.5,,
d_main_18_03_12,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_12,False,,3,delight,,1,think,,13,idle,,S_100,S_100,1.0,,Low_2
d_main_18_03_13,d_main_18_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_03_13,False,,3,idle,,1,think,,13,sad,,S_100,130,2.0,,
d_main_18_03_14,d_main_18_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_03_14,True,,3,idle,,1,think,,13,sad,,130,130,1.0,,
d_main_18_03_15,d_main_18_03,Self,maxwell,,Locale_MainScenario:d_main_18_03_15,False,,3,idle,,1,angry,,13,sad,,130,130,1.0,,
d_main_18_03_16,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_16,True,,3,idle,,1,delight,,13,idle,,S_10,1,1.0,,
d_main_18_03_17,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_17,True,,3,idle,,1,idle,,13,idle,,1,1,1.0,,
d_main_18_03_18,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_18,True,,3,idle,,1,idle,,13,idle,,1,1,1.0,,
d_main_18_03_19,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_19,True,,3,idle,,1,delight,,13,idle,,1,S_10,1.0,,
d_main_18_03_20,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_20,True,,3,idle,,1,delight,,13,idle,,S_10,S_10,1.0,,
d_main_18_03_21,d_main_18_03,Self,laplace,,Locale_MainScenario:d_main_18_03_21,False,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,
d_main_18_03_22,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_22,True,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,
d_main_18_03_23,d_main_18_03,Self,laplace,,Locale_MainScenario:d_main_18_03_23,False,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,
d_main_18_03_24,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_24,True,,3,idle,,1,idle,,13,idle,,S_10,S_100,0.5,,
d_main_18_03_25,d_main_18_03,Speech,laplace,laplace,Locale_MainScenario:d_main_18_03_25,True,,3,idle,,1,idle,,13,idle,,S_100,S_100,1.0,,
